win,lose,probability
Boston Celtics,Philadelphia 76ers,0.56832011244
Golden State Warriors,Oklahoma City Thunder,0.696878098787
Milwaukee Bucks,Charlotte Hornets,0.502943277362
Detroit Pistons,Brooklyn Nets,0.70262963874
Houston Rockets,New Orleans Pelicans,0.87404273041
Indiana Pacers,Memphis Grizzlies,0.86665041005
Los Angeles Clippers,Denver Nuggets,0.519957122867
Atlanta Hawks,New York Knicks,0.509583869182
Miami Heat,Orlando Magic,0.762793981464
Dallas Mavericks,Phoenix Suns,0.692587315989
Utah Jazz,Sacramento Kings,0.83153723966
San Antonio Spurs,Minnesota Timberwolves,0.605006880418
Toronto Raptors,Cleveland Cavaliers,0.777783807795
Philadelphia 76ers,Chicago Bulls,0.873166537015
Portland Trail Blazers,Los Angeles Lakers,0.745248060944
Washington Wizards,Miami Heat,0.520890200787
Brooklyn Nets,New York Knicks,0.508282544646
Oklahoma City Thunder,Los Angeles Clippers,0.526131554283
Atlanta Hawks,Memphis Grizzlies,0.603265328579
Milwaukee Bucks,Indiana Pacers,0.530659597954
Minnesota Timberwolves,Cleveland Cavaliers,0.58239202333
New Orleans Pelicans,Sacramento Kings,0.829329454726
Charlotte Hornets,Orlando Magic,0.686964073758
Toronto Raptors,Boston Celtics,0.754061364571
Utah Jazz,Golden State Warriors,0.622940771829
Detroit Pistons,Chicago Bulls,0.766038746863
Minnesota Timberwolves,Dallas Mavericks,0.790104474054
Denver Nuggets,Phoenix Suns,0.879590797543
Indiana Pacers,Brooklyn Nets,0.836870109179
Houston Rockets,Los Angeles Lakers,0.788297057145
Miami Heat,Charlotte Hornets,0.628875362283
Boston Celtics,New York Knicks,0.80431394013
Philadelphia 76ers,Orlando Magic,0.88574160414
Portland Trail Blazers,San Antonio Spurs,0.627498239509
Toronto Raptors,Washington Wizards,0.66060443046
Cleveland Cavaliers,Atlanta Hawks,0.825609700187
Denver Nuggets,Golden State Warriors,0.546696418964
Houston Rockets,Los Angeles Clippers,0.677255061159
Oklahoma City Thunder,Sacramento Kings,0.82744609197
