VTeam,HTeam
Philadelphia 76ers,Boston Celtics
Oklahoma City Thunder,Golden State Warriors
Milwaukee Bucks,Charlotte Hornets
Brooklyn Nets,Detroit Pistons
New Orleans Pelicans,Houston Rockets
Memphis Grizzlies,Indiana Pacers
Denver Nuggets,Los Angeles Clippers
Atlanta Hawks,New York Knicks
Miami Heat,Orlando Magic
Dallas Mavericks,Phoenix Suns
Utah Jazz,Sacramento Kings
Minnesota Timberwolves,San Antonio Spurs
Cleveland Cavaliers,Toronto Raptors
Chicago Bulls,Philadelphia 76ers
Los Angeles Lakers,Portland Trail Blazers
Miami Heat,Washington Wizards
New York Knicks,Brooklyn Nets
Oklahoma City Thunder,Los Angeles Clippers
Atlanta Hawks,Memphis Grizzlies
Indiana Pacers,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Sacramento Kings,New Orleans Pelicans
Charlotte Hornets,Orlando Magic
Boston Celtics,Toronto Raptors
Golden State Warriors,Utah Jazz
Detroit Pistons,Chicago Bulls
Minnesota Timberwolves,Dallas Mavericks
Phoenix Suns,Denver Nuggets
Brooklyn Nets,Indiana Pacers
Houston Rockets,Los Angeles Lakers
Charlotte Hornets,Miami Heat
Boston Celtics,New York Knicks
Orlando Magic,Philadelphia 76ers
San Antonio Spurs,Portland Trail Blazers
Toronto Raptors,Washington Wizards
Atlanta Hawks,Cleveland Cavaliers
Golden State Warriors,Denver Nuggets
Houston Rockets,Los Angeles Clippers
Sacramento Kings,Oklahoma City Thunder
Orlando Magic,Boston Celtics
Chicago Bulls,Dallas Mavericks
Phoenix Suns,Golden State Warriors
San Antonio Spurs,Los Angeles Lakers
New York Knicks,Milwaukee Bucks
Indiana Pacers,Minnesota Timberwolves
Washington Wizards,Portland Trail Blazers
Charlotte Hornets,Toronto Raptors
Memphis Grizzlies,Utah Jazz
Sacramento Kings,Denver Nuggets
Philadelphia 76ers,Detroit Pistons
Los Angeles Clippers,New Orleans Pelicans
Dallas Mavericks,Atlanta Hawks
Charlotte Hornets,Chicago Bulls
Brooklyn Nets,Cleveland Cavaliers
Washington Wizards,Golden State Warriors
Utah Jazz,Houston Rockets
New York Knicks,Miami Heat
Philadelphia 76ers,Milwaukee Bucks
Los Angeles Lakers,Phoenix Suns
Memphis Grizzlies,Sacramento Kings
Indiana Pacers,San Antonio Spurs
Minnesota Timberwolves,Toronto Raptors
Cleveland Cavaliers,Detroit Pistons
Denver Nuggets,Los Angeles Lakers
Boston Celtics,Oklahoma City Thunder
Portland Trail Blazers,Orlando Magic
Chicago Bulls,Charlotte Hornets
Los Angeles Clippers,Houston Rockets
Milwaukee Bucks,Minnesota Timberwolves
Brooklyn Nets,New Orleans Pelicans
Golden State Warriors,New York Knicks
Washington Wizards,Sacramento Kings
Dallas Mavericks,Toronto Raptors
Chicago Bulls,Atlanta Hawks
Indiana Pacers,Cleveland Cavaliers
Boston Celtics,Detroit Pistons
Phoenix Suns,Memphis Grizzlies
Portland Trail Blazers,Miami Heat
Orlando Magic,Milwaukee Bucks
Utah Jazz,New Orleans Pelicans
Charlotte Hornets,Philadelphia 76ers
Los Angeles Lakers,San Antonio Spurs
Golden State Warriors,Brooklyn Nets
Utah Jazz,Dallas Mavericks
Washington Wizards,Los Angeles Clippers
Phoenix Suns,Oklahoma City Thunder
Golden State Warriors,Chicago Bulls
New Orleans Pelicans,Denver Nuggets
Portland Trail Blazers,Indiana Pacers
Sacramento Kings,Miami Heat
Toronto Raptors,Milwaukee Bucks
Los Angeles Lakers,Minnesota Timberwolves
Brooklyn Nets,New York Knicks
Atlanta Hawks,Philadelphia 76ers
Dallas Mavericks,San Antonio Spurs
Detroit Pistons,Boston Celtics
Miami Heat,Charlotte Hornets
Atlanta Hawks,Cleveland Cavaliers
Portland Trail Blazers,Houston Rockets
Washington Wizards,Memphis Grizzlies
Los Angeles Clippers,Oklahoma City Thunder
Sacramento Kings,Orlando Magic
Philadelphia 76ers,Toronto Raptors
Detroit Pistons,Brooklyn Nets
Denver Nuggets,Chicago Bulls
New Orleans Pelicans,Golden State Warriors
Dallas Mavericks,Los Angeles Lakers
Utah Jazz,Minnesota Timberwolves
Indiana Pacers,New York Knicks
San Antonio Spurs,Phoenix Suns
Sacramento Kings,Atlanta Hawks
Milwaukee Bucks,Boston Celtics
Oklahoma City Thunder,Charlotte Hornets
Denver Nuggets,Cleveland Cavaliers
Los Angeles Clippers,Philadelphia 76ers
New Orleans Pelicans,Portland Trail Blazers
Houston Rockets,Brooklyn Nets
Indiana Pacers,Chicago Bulls
New York Knicks,Dallas Mavericks
Minnesota Timberwolves,Golden State Warriors
Los Angeles Clippers,Orlando Magic
Toronto Raptors,Phoenix Suns
Memphis Grizzlies,Utah Jazz
Oklahoma City Thunder,Washington Wizards
Miami Heat,Atlanta Hawks
Houston Rockets,Chicago Bulls
Cleveland Cavaliers,Charlotte Hornets
Utah Jazz,Denver Nuggets
Boston Celtics,Indiana Pacers
Detroit Pistons,Philadelphia 76ers
Los Angeles Lakers,Portland Trail Blazers
New Orleans Pelicans,San Antonio Spurs
Philadelphia 76ers,Brooklyn Nets
Toronto Raptors,Los Angeles Lakers
Sacramento Kings,Milwaukee Bucks
Memphis Grizzlies,Phoenix Suns
Minnesota Timberwolves,Portland Trail Blazers
Orlando Magic,San Antonio Spurs
New York Knicks,Washington Wizards
Boston Celtics,Denver Nuggets
Miami Heat,Detroit Pistons
Memphis Grizzlies,Golden State Warriors
Houston Rockets,Indiana Pacers
Minnesota Timberwolves,Los Angeles Clippers
Chicago Bulls,New York Knicks
New Orleans Pelicans,Oklahoma City Thunder
Cleveland Cavaliers,Orlando Magic
Toronto Raptors,Utah Jazz
Atlanta Hawks,Charlotte Hornets
Washington Wizards,Dallas Mavericks
Brooklyn Nets,Phoenix Suns
Milwaukee Bucks,Portland Trail Blazers
New York Knicks,Atlanta Hawks
Oklahoma City Thunder,Cleveland Cavaliers
Philadelphia 76ers,Indiana Pacers
Minnesota Timberwolves,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
San Antonio Spurs,Miami Heat
Chicago Bulls,New Orleans Pelicans
Detroit Pistons,Orlando Magic
Toronto Raptors,Sacramento Kings
Dallas Mavericks,Utah Jazz
Milwaukee Bucks,Golden State Warriors
Houston Rockets,Oklahoma City Thunder
Boston Celtics,Phoenix Suns
Los Angeles Clippers,Portland Trail Blazers
Detroit Pistons,Atlanta Hawks
Brooklyn Nets,Denver Nuggets
Indiana Pacers,Miami Heat
Washington Wizards,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Minnesota Timberwolves,Sacramento Kings
Boston Celtics,Utah Jazz
Cleveland Cavaliers,Chicago Bulls
Oklahoma City Thunder,Dallas Mavericks
Brooklyn Nets,Golden State Warriors
Milwaukee Bucks,Los Angeles Clippers
Philadelphia 76ers,Memphis Grizzlies
Washington Wizards,Miami Heat
Phoenix Suns,New Orleans Pelicans
Los Angeles Lakers,Sacramento Kings
Houston Rockets,San Antonio Spurs
New York Knicks,Toronto Raptors
Milwaukee Bucks,Denver Nuggets
Charlotte Hornets,Detroit Pistons
Indiana Pacers,Houston Rockets
Atlanta Hawks,Los Angeles Lakers
Orlando Magic,New York Knicks
Boston Celtics,Portland Trail Blazers
Dallas Mavericks,Chicago Bulls
Golden State Warriors,Los Angeles Clippers
Utah Jazz,Memphis Grizzlies
Philadelphia 76ers,Miami Heat
Brooklyn Nets,Minnesota Timberwolves
Phoenix Suns,Oklahoma City Thunder
San Antonio Spurs,Sacramento Kings
New Orleans Pelicans,Toronto Raptors
Orlando Magic,Washington Wizards
Charlotte Hornets,Cleveland Cavaliers
Houston Rockets,Denver Nuggets
Atlanta Hawks,Golden State Warriors
Chicago Bulls,Boston Celtics
Miami Heat,Brooklyn Nets
Utah Jazz,Dallas Mavericks
Portland Trail Blazers,Los Angeles Lakers
Memphis Grizzlies,Milwaukee Bucks
New Orleans Pelicans,Minnesota Timberwolves
New York Knicks,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
San Antonio Spurs,Phoenix Suns
Detroit Pistons,Toronto Raptors
Cleveland Cavaliers,Washington Wizards
Atlanta Hawks,Denver Nuggets
Golden State Warriors,Houston Rockets
San Antonio Spurs,Los Angeles Clippers
Toronto Raptors,Boston Celtics
Miami Heat,Indiana Pacers
Sacramento Kings,Memphis Grizzlies
Chicago Bulls,Milwaukee Bucks
Portland Trail Blazers,Minnesota Timberwolves
New York Knicks,New Orleans Pelicans
Utah Jazz,Philadelphia 76ers
Brooklyn Nets,Washington Wizards
Utah Jazz,Boston Celtics
Los Angeles Clippers,Brooklyn Nets
Toronto Raptors,Chicago Bulls
Philadelphia 76ers,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Sacramento Kings,Houston Rockets
Atlanta Hawks,Indiana Pacers
Denver Nuggets,New Orleans Pelicans
Los Angeles Lakers,Orlando Magic
Oklahoma City Thunder,Phoenix Suns
