Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Pelicans,26,240.0,44.1,91.6,0.48200000000000004,10.2,28.8,0.355,33.9,62.8,0.54,20.2,26.4,0.765,11.8,36.1,48.0,27.2,7.3,5.7,14.8,22.3,118.7
2,Golden State Warriors,26,241.9,43.5,87.6,0.49700000000000005,11.5,29.5,0.391,32.0,58.0,0.551,18.2,22.1,0.826,9.7,35.7,45.5,27.9,7.2,6.3,14.5,22.3,116.8
3,Toronto Raptors,26,241.9,43.8,89.5,0.49,11.5,33.5,0.344,32.3,56.0,0.5770000000000001,17.2,21.4,0.804,10.2,35.8,46.0,25.2,8.3,5.3,14.2,21.6,116.4
4,Philadelphia 76ers,26,243.8,40.3,87.2,0.462,11.0,31.5,0.35,29.2,55.7,0.524,22.1,28.5,0.775,10.0,38.0,48.0,26.5,6.8,5.4,15.8,23.1,113.7
5,Brooklyn Nets,26,242.9,39.3,89.3,0.441,12.1,34.8,0.348,27.2,54.5,0.5,17.9,24.3,0.735,12.3,32.7,45.0,22.3,6.7,4.0,14.1,23.5,108.7
6,New York Knicks,26,242.9,39.7,91.0,0.436,10.1,29.4,0.344,29.5,61.5,0.48,19.2,24.4,0.785,12.4,33.6,46.0,19.2,7.1,5.2,14.2,23.0,108.6
7,Washington Wizards,25,242.0,41.0,89.2,0.46,10.6,32.7,0.32299999999999995,30.5,56.5,0.539,19.8,26.2,0.757,9.2,32.1,41.3,24.3,8.6,6.1,13.7,22.7,112.4
8,Portland Trail Blazers,25,241.0,41.1,89.8,0.45799999999999996,11.2,31.5,0.355,29.9,58.3,0.513,18.9,23.2,0.815,11.9,37.5,49.4,20.8,6.4,4.6,14.4,20.8,112.3
9,Utah Jazz,26,240.0,39.0,83.7,0.465,10.7,32.0,0.335,28.3,51.8,0.546,18.8,26.2,0.718,9.2,33.7,43.0,24.2,9.0,5.3,15.2,22.0,107.4
10,Los Angeles Clippers,24,243.1,41.5,88.1,0.47200000000000003,9.5,24.9,0.381,32.0,63.2,0.507,23.8,29.5,0.8059999999999999,9.6,36.8,46.4,22.3,6.1,5.3,13.6,22.9,116.4
11,Milwaukee Bucks,23,242.2,44.4,91.2,0.48700000000000004,14.6,40.6,0.36,29.8,50.7,0.588,17.7,23.0,0.768,9.8,40.5,50.3,27.3,7.3,5.9,14.8,21.1,121.1
