Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.7,18,8,20,6,9.85,0.34,10.19,114.6,105.1,9.5,102.9,0.24600000000000002,0.441,0.588,0.557,12.7,22.6,0.18899999999999997,0.506,11.4,81.6,0.158,Fiserv Forum,275642,17228
2,Toronto Raptors,27.3,22,7,21,8,8.14,-0.27,7.87,114.8,106.7,8.1,99.7,0.23199999999999998,0.376,0.584,0.55,12.2,23.7,0.18600000000000003,0.498,12.9,74.9,0.18100000000000002,Scotiabank Arena,297388,19826
3,Boston Celtics,25.8,16,10,19,7,7.62,-0.6,7.02,110.9,103.3,7.6,98.7,0.21100000000000002,0.40299999999999997,0.5579999999999999,0.527,11.4,22.6,0.165,0.495,13.7,79.3,0.19899999999999998,TD Garden,204864,18624
4,Denver Nuggets,24.5,18,9,19,8,6.3,0.26,6.56,112.4,106.0,6.4,97.1,0.253,0.332,0.551,0.519,11.9,27.3,0.188,0.51,12.9,79.0,0.2,Pepsi Center,231848,17834
5,Golden State Warriors,28.1,19,9,19,9,5.86,-0.53,5.33,115.9,110.1,5.8,99.7,0.245,0.349,0.598,0.561,13.1,23.4,0.203,0.509,11.0,77.0,0.19899999999999998,Oracle Arena,274344,19596
6,Oklahoma City Thunder,25.6,17,8,18,7,6.84,-1.77,5.07,109.2,102.5,6.7,102.2,0.266,0.33799999999999997,0.5379999999999999,0.507,12.3,27.6,0.18899999999999997,0.502,14.9,78.5,0.19699999999999998,Chesapeake Energy Arena,236639,18203
7,Indiana Pacers,26.9,17,10,18,9,4.7,-1.66,3.04,108.4,103.6,4.8,98.0,0.24,0.29100000000000004,0.562,0.532,13.6,21.0,0.17800000000000002,0.509,14.2,78.6,0.177,Bankers Life Fieldhouse,217026,16694
8,Charlotte Hornets,26.8,13,13,16,10,3.31,-0.54,2.77,113.2,109.9,3.3,100.0,0.258,0.371,0.562,0.523,10.4,21.3,0.207,0.524,13.0,76.1,0.191,Spectrum Center,217043,15503
9,Portland Trail Blazers,26.2,15,12,15,12,1.59,0.63,2.23,112.3,110.7,1.6,99.4,0.261,0.35,0.562,0.519,12.8,26.6,0.213,0.516,10.4,77.5,0.17600000000000002,Moda Center,271151,19368
10,Los Angeles Clippers,27.8,17,10,15,12,2.11,0.09,2.2,112.8,110.7,2.1,100.7,0.33299999999999996,0.284,0.5720000000000001,0.521,12.2,22.2,0.26899999999999996,0.499,10.2,75.1,0.21,STAPLES Center,203820,16985
11,New Orleans Pelicans,26.6,14,15,16,13,1.83,0.24,2.07,114.1,112.3,1.8,102.9,0.28600000000000003,0.317,0.574,0.537,12.8,25.7,0.22,0.531,11.3,77.0,0.191,Smoothie King Center,215981,15427
12,Philadelphia 76ers,26.0,19,9,16,12,2.43,-0.61,1.82,110.5,108.1,2.4,101.6,0.326,0.363,0.57,0.526,13.6,23.4,0.253,0.49700000000000005,10.9,78.1,0.205,Wells Fargo Center,305060,20337
13,Los Angeles Lakers,26.5,17,10,15,12,2.22,-0.74,1.48,109.7,107.5,2.2,102.7,0.251,0.33399999999999996,0.5589999999999999,0.532,13.1,22.8,0.177,0.505,12.4,75.9,0.18600000000000003,STAPLES Center,284955,18997
14,Dallas Mavericks,26.6,14,11,14,11,2.08,-0.81,1.27,110.0,107.9,2.1,99.6,0.3,0.391,0.5660000000000001,0.528,13.9,24.0,0.226,0.525,13.4,79.0,0.187,American Airlines Center,276390,19742
15,Utah Jazz,26.9,13,15,13,15,-0.57,1.74,1.17,107.9,108.5,-0.6,99.4,0.311,0.379,0.563,0.529,13.9,21.8,0.223,0.53,13.5,78.6,0.192,Vivint Smart Home Arena,183060,18306
16,Minnesota Timberwolves,26.9,13,14,13,14,-0.11,1.08,0.97,110.3,110.4,-0.1,99.5,0.261,0.32,0.547,0.505,11.8,24.5,0.21,0.518,13.3,72.8,0.18600000000000003,Target Center,214692,14313
17,Memphis Grizzlies,28.3,15,11,13,13,0.54,0.4,0.94,107.1,106.6,0.5,94.9,0.281,0.332,0.5529999999999999,0.515,12.2,17.9,0.213,0.514,14.8,76.6,0.23399999999999999,FedEx Forum,183528,15294
18,Sacramento Kings,24.4,14,12,12,14,-0.65,0.3,-0.36,110.1,110.8,-0.7,103.8,0.245,0.307,0.563,0.5379999999999999,12.3,22.5,0.171,0.535,14.3,75.6,0.207,Golden 1 Center,181595,16509
19,Houston Rockets,29.2,12,14,12,14,-1.12,-0.08,-1.2,112.5,113.7,-1.2,95.5,0.272,0.48700000000000004,0.565,0.53,12.7,25.1,0.204,0.532,12.9,74.3,0.23399999999999999,Toyota Center,198605,18055
20,Miami Heat,27.1,11,15,13,13,-0.35,-1.48,-1.83,107.6,107.9,-0.3,100.1,0.27699999999999997,0.374,0.535,0.502,12.8,26.1,0.196,0.505,12.4,76.5,0.215,AmericanAirlines Arena,274486,19606
21,Detroit Pistons,27.2,13,12,12,13,-1.2,-0.73,-1.93,107.4,108.6,-1.2,99.9,0.282,0.36200000000000004,0.527,0.49,11.9,26.4,0.204,0.521,13.1,79.7,0.23800000000000002,Little Caesars Arena,239893,15993
22,San Antonio Spurs,29.3,14,14,12,16,-2.04,-0.11,-2.14,111.4,113.4,-2.0,98.3,0.242,0.27,0.557,0.516,11.0,22.9,0.201,0.544,11.3,79.0,0.165,AT&T Center,255993,18285
23,Brooklyn Nets,25.6,10,18,12,16,-1.93,-0.57,-2.49,109.5,111.4,-1.9,97.9,0.268,0.384,0.5429999999999999,0.509,12.4,26.1,0.195,0.513,11.8,74.9,0.22899999999999998,Barclays Center,193547,13825
24,Orlando Magic,25.8,12,15,11,16,-3.37,0.59,-2.78,106.5,110.0,-3.5,97.8,0.192,0.358,0.542,0.512,11.7,19.6,0.15,0.525,12.6,76.9,0.19399999999999998,Amway Center,231608,16543
25,Washington Wizards,26.9,11,16,10,17,-4.81,-0.24,-5.06,109.1,113.8,-4.7,101.5,0.289,0.368,0.556,0.518,11.8,19.8,0.218,0.5379999999999999,13.8,72.3,0.221,Capital One Arena,197298,16442
26,New York Knicks,23.5,8,20,9,19,-6.61,0.7,-5.91,107.6,114.2,-6.6,99.5,0.264,0.322,0.535,0.494,12.3,25.5,0.205,0.5429999999999999,12.4,75.9,0.21,Madison Square Garden (IV),249904,19223
27,Cleveland Cavaliers,26.0,6,21,7,20,-8.33,0.6,-7.73,107.4,116.1,-8.7,95.9,0.23800000000000002,0.27699999999999997,0.5329999999999999,0.495,11.9,26.2,0.187,0.5539999999999999,11.5,77.5,0.17800000000000002,Quicken Loans Arena,272048,19432
28,Atlanta Hawks,25.5,6,20,6,20,-10.31,0.57,-9.74,102.3,112.1,-9.8,105.5,0.263,0.39799999999999996,0.54,0.505,15.1,21.2,0.195,0.54,13.9,75.9,0.226,State Farm Arena,188789,14522
