Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1,Milwaukee Bucks,26.7,18,8,20,6,9.85,0.34,10.19,114.6,105.1,+9.5,102.9,.246,.441,.588,.557,12.7,22.6,.189,.506,11.4,81.6,.158,Fiserv Forum,275642,17228
2,Toronto Raptors,27.3,22,7,21,8,8.14,-0.27,7.87,114.8,106.7,+8.1,99.7,.232,.376,.584,.550,12.2,23.7,.186,.498,12.9,74.9,.181,Scotiabank Arena,297388,19826
3,Boston Celtics,25.8,16,10,19,7,7.62,-0.60,7.02,110.9,103.3,+7.6,98.7,.211,.403,.558,.527,11.4,22.6,.165,.495,13.7,79.3,.199,TD Garden,204864,18624
4,Denver Nuggets,24.5,18,9,19,8,6.30,0.26,6.56,112.4,106.0,+6.4,97.1,.253,.332,.551,.519,11.9,27.3,.188,.510,12.9,79.0,.200,Pepsi Center,231848,17834
5,Golden State Warriors,28.1,19,9,19,9,5.86,-0.53,5.33,115.9,110.1,+5.8,99.7,.245,.349,.598,.561,13.1,23.4,.203,.509,11.0,77.0,.199,Oracle Arena,274344,19596
6,Oklahoma City Thunder,25.6,17,8,18,7,6.84,-1.77,5.07,109.2,102.5,+6.7,102.2,.266,.338,.538,.507,12.3,27.6,.189,.502,14.9,78.5,.197,Chesapeake Energy Arena,236639,18203
7,Indiana Pacers,26.9,17,10,18,9,4.70,-1.66,3.04,108.4,103.6,+4.8,98.0,.240,.291,.562,.532,13.6,21.0,.178,.509,14.2,78.6,.177,Bankers Life Fieldhouse,217026,16694
8,Charlotte Hornets,26.8,13,13,16,10,3.31,-0.54,2.77,113.2,109.9,+3.3,100.0,.258,.371,.562,.523,10.4,21.3,.207,.524,13.0,76.1,.191,Spectrum Center,217043,15503
9,Portland Trail Blazers,26.2,15,12,15,12,1.59,0.63,2.23,112.3,110.7,+1.6,99.4,.261,.350,.562,.519,12.8,26.6,.213,.516,10.4,77.5,.176,Moda Center,271151,19368
10,Los Angeles Clippers,27.8,17,10,15,12,2.11,0.09,2.20,112.8,110.7,+2.1,100.7,.333,.284,.572,.521,12.2,22.2,.269,.499,10.2,75.1,.210,STAPLES Center,203820,16985
11,New Orleans Pelicans,26.6,14,15,16,13,1.83,0.24,2.07,114.1,112.3,+1.8,102.9,.286,.317,.574,.537,12.8,25.7,.220,.531,11.3,77.0,.191,Smoothie King Center,215981,15427
12,Philadelphia 76ers,26.0,19,9,16,12,2.43,-0.61,1.82,110.5,108.1,+2.4,101.6,.326,.363,.570,.526,13.6,23.4,.253,.497,10.9,78.1,.205,Wells Fargo Center,305060,20337
13,Los Angeles Lakers,26.5,17,10,15,12,2.22,-0.74,1.48,109.7,107.5,+2.2,102.7,.251,.334,.559,.532,13.1,22.8,.177,.505,12.4,75.9,.186,STAPLES Center,284955,18997
