Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies,23,244.3,36.1,80.9,0.447,10.6,29.5,0.358,25.6,51.3,0.498,19.5,25.3,0.77,9.2,35.7,44.9,22.6,6.4,4.6,16.0,22.6,102.3
2,Oklahoma City Thunder,23,240.0,38.6,87.6,0.44,9.7,30.0,0.32299999999999995,28.9,57.5,0.502,17.1,22.4,0.765,10.0,33.8,43.9,23.2,7.7,4.8,16.8,23.0,104.0
3,Detroit Pistons,22,244.5,40.0,86.2,0.46399999999999997,9.0,28.9,0.313,31.0,57.3,0.54,20.4,26.0,0.784,8.4,36.4,44.8,23.0,7.4,5.3,14.6,23.9,109.5
4,Indiana Pacers,24,240.0,37.5,84.4,0.444,11.9,31.5,0.379,25.5,52.9,0.483,15.3,20.0,0.763,9.5,32.8,42.3,23.3,7.4,5.7,15.8,19.8,102.1
5,Denver Nuggets,24,242.1,38.3,85.1,0.45,10.2,32.2,0.316,28.1,52.9,0.531,16.6,22.3,0.746,9.3,32.2,41.5,23.4,7.6,5.7,14.1,21.6,103.4
6,Boston Celtics,24,242.1,37.9,86.6,0.43799999999999994,10.5,32.5,0.322,27.5,54.1,0.507,17.7,23.5,0.753,9.5,36.2,45.8,21.6,6.8,3.8,15.5,20.5,104.0
7,Miami Heat,23,241.1,39.6,88.8,0.446,10.8,29.8,0.36200000000000004,28.8,59.0,0.489,19.4,25.5,0.76,11.0,35.0,46.0,21.7,7.5,6.0,13.8,23.0,109.4
8,Dallas Mavericks,23,241.1,40.7,87.2,0.467,11.1,30.4,0.365,29.6,56.8,0.521,17.1,22.2,0.769,9.4,33.0,42.4,24.3,9.3,4.7,15.0,24.7,109.6
9,Milwaukee Bucks,23,242.2,41.1,93.3,0.44,12.6,35.7,0.35200000000000004,28.5,57.7,0.495,15.7,21.4,0.7340000000000001,9.3,34.1,43.3,23.8,7.2,4.6,13.2,21.1,110.4
10,Houston Rockets,24,242.1,40.0,84.3,0.474,9.7,27.6,0.35100000000000003,30.3,56.7,0.534,20.1,25.8,0.779,10.1,32.8,43.0,21.6,8.5,4.7,14.1,20.9,109.8
11,Los Angeles Lakers,24,241.0,41.5,93.1,0.446,10.8,30.8,0.35200000000000004,30.7,62.3,0.493,17.2,21.1,0.815,11.6,35.2,46.8,23.3,8.2,5.3,14.5,21.6,111.1
12,Charlotte Hornets,24,242.1,41.0,88.8,0.462,11.7,34.0,0.34299999999999997,29.4,54.8,0.536,17.4,22.2,0.784,10.5,35.7,46.2,25.3,6.9,6.7,15.0,21.4,111.2
13,Cleveland Cavaliers,24,240.0,41.8,85.8,0.48700000000000004,11.3,31.3,0.363,30.4,54.5,0.5579999999999999,16.4,21.6,0.759,9.2,33.1,42.3,23.4,7.3,5.5,12.7,20.3,111.2
14,Sacramento Kings,23,240.0,42.8,91.0,0.47,12.0,35.5,0.33799999999999997,30.8,55.5,0.555,19.0,25.5,0.747,11.2,36.6,47.8,25.0,8.4,5.4,16.4,22.7,116.6
15,Los Angeles Clippers,24,243.1,41.3,93.6,0.441,9.7,29.3,0.33,31.7,64.3,0.4920000000000001,19.9,25.7,0.773,12.2,34.2,46.4,23.1,7.9,6.1,12.0,25.1,112.2
16,Orlando Magic,25,241.0,40.1,86.7,0.462,11.1,30.4,0.366,29.0,56.4,0.514,16.8,22.0,0.762,10.0,36.1,46.2,23.4,6.6,4.9,14.2,19.4,108.0
17,Minnesota Timberwolves,25,240.0,40.5,90.0,0.45,12.1,33.8,0.358,28.4,56.2,0.506,16.3,21.0,0.777,12.1,34.1,46.2,25.4,6.6,5.0,15.1,21.6,109.5
18,Portland Trail Blazers,25,241.0,41.7,91.8,0.45399999999999996,11.4,30.8,0.369,30.3,61.0,0.4970000000000001,15.9,21.5,0.74,10.8,33.4,44.2,23.9,7.6,5.7,12.0,20.4,110.6
19,Utah Jazz,26,240.0,40.5,86.1,0.47100000000000003,9.8,27.5,0.35600000000000004,30.7,58.5,0.525,16.3,22.2,0.735,9.0,33.3,42.3,21.6,8.8,4.5,15.0,23.3,107.2
20,Chicago Bulls,25,243.0,41.8,91.0,0.45899999999999996,12.0,34.2,0.35,29.8,56.8,0.525,16.8,21.3,0.789,11.0,38.3,49.2,24.7,8.3,6.7,14.0,19.0,112.3
21,Toronto Raptors,26,241.9,40.5,91.4,0.44299999999999995,10.2,30.7,0.33299999999999996,30.3,60.7,0.498,16.8,22.3,0.755,11.9,32.0,43.9,24.2,7.3,4.7,14.8,20.8,108.0
22,San Antonio Spurs,25,242.0,43.6,89.6,0.486,11.7,31.5,0.3720000000000001,31.8,58.2,0.547,14.9,19.7,0.7559999999999999,9.0,35.6,44.6,25.4,7.6,4.6,12.5,21.4,113.7
23,Phoenix Suns,25,241.0,41.9,86.6,0.484,9.9,28.2,0.35,32.0,58.3,0.5489999999999999,20.2,26.7,0.754,10.7,35.6,46.3,25.4,9.5,4.8,14.6,19.3,113.8
24,Brooklyn Nets,26,242.9,41.0,88.4,0.46399999999999997,8.9,25.7,0.345,32.2,62.7,0.513,20.2,25.8,0.782,11.3,35.2,46.5,21.2,7.5,4.9,13.3,21.7,111.1
25,Golden State Warriors,26,241.9,41.0,91.1,0.451,11.3,33.8,0.33399999999999996,29.8,57.3,0.519,17.9,24.5,0.73,10.6,31.5,42.1,23.8,8.1,3.6,12.3,20.5,111.2
26,Philadelphia 76ers,26,243.8,41.3,93.5,0.442,10.2,30.5,0.336,31.1,63.0,0.493,19.0,24.6,0.772,10.3,33.7,44.0,21.5,7.9,5.0,12.5,24.1,111.8
27,Washington Wizards,25,242.0,42.1,90.4,0.466,12.1,33.0,0.366,30.0,57.4,0.523,20.5,26.1,0.785,12.4,36.2,48.5,25.3,7.7,4.8,16.2,23.2,116.7
28,Atlanta Hawks,25,240.0,42.8,90.2,0.474,12.9,33.9,0.381,29.8,56.3,0.53,20.6,27.2,0.757,10.7,37.0,47.7,27.7,10.3,5.5,16.6,23.6,119.0
29,New York Knicks,26,242.9,42.3,88.8,0.47600000000000003,11.8,32.2,0.3670000000000001,30.5,56.6,0.5379999999999999,18.6,24.7,0.752,10.8,35.4,46.2,25.8,7.4,6.8,14.2,22.2,114.9
30,New Orleans Pelicans,26,240.0,43.2,92.5,0.467,12.1,33.2,0.364,31.1,59.3,0.524,17.9,23.6,0.759,10.4,33.0,43.5,25.2,8.9,5.1,13.3,22.8,116.3
