Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Pelicans,29,240.0,43.7,90.8,.481,10.1,28.8,.351,33.6,62.0,.541,20.0,25.9,.770,11.4,36.0,47.4,27.2,7.3,5.6,15.0,22.2,117.4
2,Toronto Raptors,29,242.6,43.6,89.9,.485,11.7,33.8,.347,31.9,56.1,.568,16.8,20.8,.805,10.1,35.6,45.7,25.4,8.2,5.6,13.8,21.5,115.7
3,Golden State Warriors,28,241.8,43.3,87.8,.492,12.1,30.6,.394,31.2,57.2,.545,17.8,21.5,.829,9.8,35.8,45.5,27.9,7.2,6.2,14.6,22.4,116.4
4,Philadelphia 76ers,28,243.6,40.4,87.4,.462,11.1,31.7,.350,29.3,55.6,.526,22.1,28.5,.774,10.3,37.4,47.7,26.5,7.0,5.6,15.7,23.1,113.9
5,Los Angeles Clippers,27,243.7,41.2,87.9,.469,9.2,24.9,.370,32.0,63.0,.508,23.6,29.3,.807,9.8,36.4,46.2,22.4,6.0,5.3,14.0,22.7,115.3
6,Milwaukee Bucks,26,241.9,43.7,91.3,.478,14.3,40.3,.356,29.3,51.0,.575,17.3,22.5,.769,10.0,40.5,50.5,26.5,7.2,5.7,14.8,20.8,118.9
7,San Antonio Spurs,28,241.8,41.5,89.5,.463,9.4,24.1,.389,32.1,65.4,.490,18.0,21.6,.832,10.4,33.9,44.4,24.0,6.0,4.2,12.2,18.4,110.3
8,Los Angeles Lakers,27,240.9,43.1,91.1,.474,10.7,30.4,.350,32.5,60.6,.536,16.1,22.8,.706,10.3,36.2,46.6,23.9,8.4,6.1,15.3,20.8,113.1
9,Brooklyn Nets,28,243.6,39.6,89.6,.442,12.0,34.4,.350,27.6,55.2,.500,17.5,24.0,.729,12.4,33.1,45.5,22.5,6.7,4.0,14.2,23.7,108.7
10,New York Knicks,28,242.7,39.8,90.8,.438,10.1,29.2,.348,29.6,61.6,.481,18.6,24.0,.778,12.1,33.5,45.6,19.6,7.1,5.0,14.2,22.9,108.4
