schedule.awayTeam.abbreviation,schedule.awayTeam.id,schedule.homeTeam.abbreviation,schedule.homeTeam.id,schedule.id,schedule.playedStatus,schedule.scheduleStatus,schedule.startTime,schedule.venue.id,schedule.venue.name,schedule.venueAllegiance,score.awayScoreTotal,score.homeScoreTotal
BOS,82,CLE,86,42070,COMPLETED,NORMAL,2017-10-18T00:00:00.000Z,80,Quicken Loans Arena,HOME,99.0,102.0
HOU,109,GSW,101,42071,COMPLETED,NORMAL,2017-10-18T02:30:00.000Z,95,Oracle Arena,HOME,122.0,121.0
CHA,93,DET,88,42072,COMPLETED,NORMAL,2017-10-18T23:00:00.000Z,145,Little Caesars Arena,HOME,90.0,102.0
PHI,85,WAS,94,42073,COMPLETED,NORMAL,2017-10-18T23:00:00.000Z,13,Capital One Arena,HOME,115.0,120.0
BRO,84,IND,87,42074,COMPLETED,NORMAL,2017-10-18T23:00:00.000Z,81,Bankers Life Fieldhouse,HOME,131.0,140.0
MIA,92,ORL,95,42075,COMPLETED,NORMAL,2017-10-18T23:00:00.000Z,89,Amway Center,HOME,109.0,116.0
MIL,90,BOS,82,42076,COMPLETED,NORMAL,2017-10-18T23:30:00.000Z,27,TD Garden,HOME,108.0,100.0
NOP,110,MEM,107,42077,COMPLETED,NORMAL,2017-10-19T00:00:00.000Z,100,FedEx Forum,HOME,91.0,103.0
ATL,91,DAL,108,42078,COMPLETED,NORMAL,2017-10-19T00:30:00.000Z,2,American Airlines Center,HOME,117.0,111.0
DEN,99,UTA,98,42079,COMPLETED,NORMAL,2017-10-19T01:00:00.000Z,92,Vivint Smart Home Arena,HOME,96.0,106.0
MIN,100,SAS,106,42080,COMPLETED,NORMAL,2017-10-19T01:30:00.000Z,99,AT&T Center,HOME,99.0,107.0
HOU,109,SAC,103,42081,COMPLETED,NORMAL,2017-10-19T02:00:00.000Z,97,Sleep Train Arena,HOME,105.0,100.0
POR,97,PHX,104,42082,COMPLETED,NORMAL,2017-10-19T02:00:00.000Z,98,Talking Stick Resort Arena,HOME,124.0,76.0
CHI,89,TOR,81,42083,COMPLETED,NORMAL,2017-10-19T23:30:00.000Z,1,Air Canada Center,HOME,101.0,117.0
NYK,83,OKL,96,42084,COMPLETED,NORMAL,2017-10-20T00:00:00.000Z,90,Chesapeake Energy Arena,HOME,84.0,105.0
LAC,102,LAL,105,42085,COMPLETED,NORMAL,2017-10-20T02:30:00.000Z,25,Staples Center,HOME,108.0,92.0
DET,88,WAS,94,42086,COMPLETED,NORMAL,2017-10-20T23:00:00.000Z,13,Capital One Arena,HOME,111.0,115.0
CLE,86,MIL,90,42087,COMPLETED,NORMAL,2017-10-20T23:00:00.000Z,84,BMO Bradley Harris Center,HOME,116.0,97.0
POR,97,IND,87,42088,COMPLETED,NORMAL,2017-10-20T23:00:00.000Z,81,Bankers Life Fieldhouse,HOME,114.0,96.0
ATL,91,CHA,93,42089,COMPLETED,NORMAL,2017-10-20T23:00:00.000Z,87,Spectrum Center,HOME,91.0,109.0
BOS,82,PHI,85,42090,COMPLETED,NORMAL,2017-10-20T23:00:00.000Z,29,Wells Fargo Center,HOME,102.0,92.0
ORL,95,BRO,84,42091,COMPLETED,NORMAL,2017-10-20T23:30:00.000Z,78,Barclays Center,HOME,121.0,126.0
UTA,98,MIN,100,42092,COMPLETED,NORMAL,2017-10-21T00:00:00.000Z,94,Target Center,HOME,97.0,100.0
SAC,103,DAL,108,42093,COMPLETED,NORMAL,2017-10-21T00:30:00.000Z,2,American Airlines Center,HOME,93.0,88.0
GSW,101,NOP,110,42094,COMPLETED,NORMAL,2017-10-21T01:30:00.000Z,103,Smoothie King Center,HOME,128.0,120.0
LAL,105,PHX,104,42095,COMPLETED,NORMAL,2017-10-21T02:00:00.000Z,98,Talking Stick Resort Arena,HOME,132.0,130.0
PHI,85,TOR,81,42096,COMPLETED,NORMAL,2017-10-21T23:30:00.000Z,1,Air Canada Center,HOME,94.0,128.0
IND,87,MIA,92,42097,COMPLETED,NORMAL,2017-10-22T00:00:00.000Z,86,American Airlines Arena,HOME,108.0,112.0
GSW,101,MEM,107,42098,COMPLETED,NORMAL,2017-10-22T00:00:00.000Z,100,FedEx Forum,HOME,101.0,111.0
ORL,95,CLE,86,42099,COMPLETED,NORMAL,2017-10-22T00:00:00.000Z,80,Quicken Loans Arena,HOME,114.0,93.0
DAL,108,HOU,109,42100,COMPLETED,NORMAL,2017-10-22T00:00:00.000Z,102,Toyota Center,HOME,91.0,107.0
DET,88,NYK,83,42101,COMPLETED,NORMAL,2017-10-22T00:00:00.000Z,12,Madison Square Garden,HOME,111.0,107.0
SAS,106,CHI,89,42102,COMPLETED,NORMAL,2017-10-22T00:00:00.000Z,10,KeyBank Center,HOME,87.0,77.0
POR,97,MIL,90,42103,COMPLETED,NORMAL,2017-10-22T00:30:00.000Z,84,BMO Bradley Harris Center,HOME,110.0,113.0
SAC,103,DEN,99,42104,COMPLETED,NORMAL,2017-10-22T01:00:00.000Z,19,Pepsi Center,HOME,79.0,96.0
OKL,96,UTA,98,42105,COMPLETED,NORMAL,2017-10-22T01:00:00.000Z,92,Vivint Smart Home Arena,HOME,87.0,96.0
PHX,104,LAC,102,42106,COMPLETED,NORMAL,2017-10-22T02:30:00.000Z,25,Staples Center,HOME,88.0,130.0
ATL,91,BRO,84,42107,COMPLETED,NORMAL,2017-10-22T19:30:00.000Z,78,Barclays Center,HOME,104.0,116.0
MIN,100,OKL,96,42108,COMPLETED,NORMAL,2017-10-22T23:00:00.000Z,90,Chesapeake Energy Arena,HOME,115.0,113.0
NOP,110,LAL,105,42109,COMPLETED,NORMAL,2017-10-23T01:30:00.000Z,25,Staples Center,HOME,119.0,112.0
PHI,85,DET,88,42110,COMPLETED,NORMAL,2017-10-23T23:00:00.000Z,145,Little Caesars Arena,HOME,97.0,86.0
ATL,91,MIA,92,42111,COMPLETED,NORMAL,2017-10-23T23:30:00.000Z,86,American Airlines Arena,HOME,93.0,104.0
CHA,93,MIL,90,42112,COMPLETED,NORMAL,2017-10-24T00:00:00.000Z,84,BMO Bradley Harris Center,HOME,94.0,103.0
MEM,107,HOU,109,42113,COMPLETED,NORMAL,2017-10-24T00:00:00.000Z,102,Toyota Center,HOME,98.0,90.0
GSW,101,DAL,108,42114,COMPLETED,NORMAL,2017-10-24T00:30:00.000Z,2,American Airlines Center,HOME,133.0,103.0
TOR,81,SAS,106,42115,COMPLETED,NORMAL,2017-10-24T00:30:00.000Z,99,AT&T Center,HOME,97.0,101.0
WAS,94,DEN,99,42116,COMPLETED,NORMAL,2017-10-24T01:00:00.000Z,19,Pepsi Center,HOME,109.0,104.0
SAC,103,PHX,104,42117,COMPLETED,NORMAL,2017-10-24T02:00:00.000Z,98,Talking Stick Resort Arena,HOME,115.0,117.0
BRO,84,ORL,95,42118,COMPLETED,NORMAL,2017-10-24T23:00:00.000Z,89,Amway Center,HOME,121.0,125.0
CHI,89,CLE,86,42119,COMPLETED,NORMAL,2017-10-24T23:00:00.000Z,80,Quicken Loans Arena,HOME,112.0,119.0
NYK,83,BOS,82,42120,COMPLETED,NORMAL,2017-10-24T23:30:00.000Z,27,TD Garden,HOME,89.0,110.0
IND,87,MIN,100,42121,COMPLETED,NORMAL,2017-10-25T00:00:00.000Z,94,Target Center,HOME,130.0,107.0
NOP,110,POR,97,42122,COMPLETED,NORMAL,2017-10-25T02:00:00.000Z,91,Moda Center,HOME,93.0,103.0
UTA,98,LAC,102,42123,COMPLETED,NORMAL,2017-10-25T02:30:00.000Z,25,Staples Center,HOME,84.0,102.0
DEN,99,CHA,93,42124,COMPLETED,NORMAL,2017-10-25T23:00:00.000Z,87,Spectrum Center,HOME,93.0,110.0
MIN,100,DET,88,42125,COMPLETED,NORMAL,2017-10-25T23:00:00.000Z,145,Little Caesars Arena,HOME,101.0,122.0
HOU,109,PHI,85,42126,COMPLETED,NORMAL,2017-10-25T23:00:00.000Z,29,Wells Fargo Center,HOME,105.0,104.0
CLE,86,BRO,84,42127,COMPLETED,NORMAL,2017-10-25T23:30:00.000Z,78,Barclays Center,HOME,107.0,112.0
IND,87,OKL,96,42128,COMPLETED,NORMAL,2017-10-26T00:00:00.000Z,90,Chesapeake Energy Arena,HOME,96.0,114.0
SAS,106,MIA,92,42129,COMPLETED,NORMAL,2017-10-26T00:00:00.000Z,86,American Airlines Arena,HOME,117.0,100.0
MEM,107,DAL,108,42130,COMPLETED,NORMAL,2017-10-26T00:30:00.000Z,2,American Airlines Center,HOME,94.0,103.0
UTA,98,PHX,104,42131,COMPLETED,NORMAL,2017-10-26T02:00:00.000Z,98,Talking Stick Resort Arena,HOME,88.0,97.0
TOR,81,GSW,101,42132,COMPLETED,NORMAL,2017-10-26T02:30:00.000Z,95,Oracle Arena,HOME,112.0,117.0
WAS,94,LAL,105,43365,COMPLETED,NORMAL,2017-10-26T02:30:00.000Z,25,Staples Center,NEUTRAL,99.0,102.0
ATL,91,CHI,89,42134,COMPLETED,NORMAL,2017-10-27T00:00:00.000Z,10,KeyBank Center,HOME,86.0,91.0
DAL,108,MEM,107,42135,COMPLETED,NORMAL,2017-10-27T00:00:00.000Z,100,FedEx Forum,HOME,91.0,96.0
BOS,82,MIL,90,42136,COMPLETED,NORMAL,2017-10-27T00:00:00.000Z,84,BMO Bradley Harris Center,HOME,96.0,89.0
LAC,102,POR,97,42137,COMPLETED,NORMAL,2017-10-27T02:00:00.000Z,91,Moda Center,HOME,104.0,103.0
NOP,110,SAC,103,42138,COMPLETED,NORMAL,2017-10-27T02:30:00.000Z,97,Sleep Train Arena,HOME,114.0,106.0
HOU,109,CHA,93,42139,COMPLETED,NORMAL,2017-10-27T23:00:00.000Z,87,Spectrum Center,HOME,109.0,93.0
SAS,106,ORL,95,42140,COMPLETED,NORMAL,2017-10-27T23:00:00.000Z,89,Amway Center,HOME,87.0,114.0
BRO,84,NYK,83,42141,COMPLETED,NORMAL,2017-10-27T23:30:00.000Z,12,Madison Square Garden,HOME,86.0,107.0
DEN,99,ATL,91,42142,COMPLETED,NORMAL,2017-10-27T23:30:00.000Z,20,Philips Arena,HOME,105.0,100.0
OKL,96,MIN,100,42143,COMPLETED,NORMAL,2017-10-28T00:00:00.000Z,94,Target Center,HOME,116.0,119.0
TOR,81,LAL,105,42144,COMPLETED,NORMAL,2017-10-28T02:30:00.000Z,25,Staples Center,HOME,101.0,92.0
WAS,94,GSW,101,42145,COMPLETED,NORMAL,2017-10-28T02:30:00.000Z,95,Oracle Arena,HOME,117.0,120.0
CLE,86,NOP,110,42146,COMPLETED,NORMAL,2017-10-28T23:00:00.000Z,103,Smoothie King Center,HOME,101.0,123.0
OKL,96,CHI,89,42147,COMPLETED,NORMAL,2017-10-29T00:00:00.000Z,10,KeyBank Center,HOME,101.0,69.0
BOS,82,MIA,92,42148,COMPLETED,NORMAL,2017-10-29T00:00:00.000Z,86,American Airlines Arena,HOME,96.0,90.0
HOU,109,MEM,107,43367,COMPLETED,NORMAL,2017-10-29T00:00:00.000Z,100,FedEx Forum,NEUTRAL,89.0,103.0
PHI,85,DAL,108,42150,COMPLETED,NORMAL,2017-10-29T00:30:00.000Z,2,American Airlines Center,HOME,112.0,110.0
LAL,105,UTA,98,42151,COMPLETED,NORMAL,2017-10-29T01:00:00.000Z,92,Vivint Smart Home Arena,HOME,81.0,96.0
PHX,104,POR,97,42152,COMPLETED,NORMAL,2017-10-29T02:00:00.000Z,91,Moda Center,HOME,107.0,114.0
DET,88,LAC,102,42153,COMPLETED,NORMAL,2017-10-29T02:30:00.000Z,25,Staples Center,HOME,95.0,87.0
