game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
BOS,CLE,42070,2017-10-18T00:00:00.000Z,4,4,102,11,10,56,28,50.0,32,8,25.0,88,36,40.9,25,19,76.0,0,0,0,0,0,24,25,24,0,27,25,-3,24,99,37,15,52,0,1,0,0,BOS,82
MIL,BOS,42076,2017-10-18T23:30:00.000Z,2,4,108,12,12,63,28,44.4,28,11,39.3,91,39,42.9,21,11,52.4,0,0,0,0,0,27,22,27,0,28,22,-8,23,100,33,21,54,0,1,0,0,BOS,82
BOS,PHI,42090,2017-10-20T23:00:00.000Z,5,4,92,4,19,55,25,45.4,29,10,34.5,84,35,41.7,32,22,68.8,0,0,0,0,0,24,30,24,0,24,30,10,16,102,41,23,64,0,0,1,1,BOS,82
NYK,BOS,42120,2017-10-24T23:30:00.000Z,7,2,89,11,12,46,23,50.0,29,14,48.3,75,37,49.3,27,22,81.5,0,0,0,0,0,24,17,24,0,25,17,21,26,110,39,11,50,0,0,1,1,BOS,82
BOS,MIL,42136,2017-10-27T00:00:00.000Z,4,3,89,7,15,48,22,45.8,30,11,36.7,78,33,42.3,22,19,86.4,0,0,0,0,0,14,20,14,0,15,20,7,21,96,40,11,52,0,0,1,1,BOS,82
BOS,MIA,42148,2017-10-29T00:00:00.000Z,5,9,90,11,12,58,28,48.3,23,6,26.1,81,34,42.0,26,22,84.6,0,0,0,0,0,14,23,14,0,15,23,6,15,96,32,16,48,0,0,1,1,BOS,82
SAS,BOS,42163,2017-10-30T23:30:00.000Z,6,4,94,10,13,57,31,54.4,31,11,35.5,88,42,47.7,16,13,81.2,0,0,0,0,0,22,14,22,0,22,14,14,24,108,42,18,61,0,0,1,1,BOS,82
SAC,BOS,42178,2017-11-01T23:30:00.000Z,3,5,86,10,16,41,23,56.1,41,17,41.5,82,40,48.8,19,16,84.2,0,0,0,0,0,19,18,19,0,19,18,27,30,113,37,21,59,0,0,1,1,BOS,82
BOS,OKL,42198,2017-11-04T01:30:00.000Z,2,7,94,6,10,56,23,41.1,28,13,46.4,84,36,42.9,24,16,66.7,0,0,0,0,0,14,18,14,0,14,18,7,23,101,39,19,59,0,0,1,1,BOS,82
BOS,ORL,42208,2017-11-05T23:00:00.000Z,1,4,88,10,13,56,28,50.0,33,11,33.3,89,39,43.8,20,15,75.0,0,0,0,0,0,21,19,21,0,21,19,16,26,104,47,16,63,0,0,1,1,BOS,82
BOS,ATL,42215,2017-11-07T00:30:00.000Z,3,4,107,3,13,45,25,55.6,36,14,38.9,81,39,48.2,22,18,81.8,0,0,0,0,0,21,22,21,1,21,22,3,28,110,36,13,50,0,0,1,1,BOS,82
LAL,BOS,42230,2017-11-09T01:00:00.000Z,6,8,96,8,13,69,31,44.9,29,7,24.1,98,38,38.8,31,24,77.4,0,0,0,0,0,20,30,20,0,21,30,11,20,107,37,28,65,0,0,1,1,BOS,82
CHA,BOS,42239,2017-11-11T00:30:00.000Z,5,7,87,6,13,53,21,39.6,31,9,29.0,84,30,35.7,25,21,84.0,0,0,0,0,0,26,21,26,0,27,21,3,15,90,41,15,56,0,0,1,1,BOS,82
TOR,BOS,42257,2017-11-12T20:30:00.000Z,2,8,94,9,14,61,25,41.0,26,10,38.5,87,35,40.2,19,15,79.0,0,0,0,0,0,18,20,18,0,18,20,1,24,95,33,23,56,0,0,1,1,BOS,82
BOS,BRO,42270,2017-11-15T00:30:00.000Z,3,3,102,8,14,59,30,50.8,27,9,33.3,86,39,45.4,27,22,81.5,0,0,0,0,0,14,24,14,0,14,24,7,15,109,42,17,59,0,0,1,1,BOS,82
GSW,BOS,42284,2017-11-17T01:00:00.000Z,5,10,88,8,15,47,19,40.4,32,7,21.9,79,26,32.9,38,33,86.8,0,0,0,0,0,15,24,15,0,15,24,4,15,92,47,16,64,0,0,1,1,BOS,82
BOS,ATL,42300,2017-11-19T00:30:00.000Z,6,1,99,9,16,48,23,47.9,34,16,47.1,82,39,47.6,20,16,80.0,0,0,0,0,0,22,19,22,0,23,19,11,21,110,34,15,49,0,0,1,1,BOS,82
BOS,DAL,42319,2017-11-21T01:30:00.000Z,4,3,102,8,17,48,25,52.1,36,13,36.1,84,38,45.2,26,21,80.8,0,0,0,0,0,24,22,24,0,25,22,8,24,110,51,9,60,0,0,1,1,BOS,82
