game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
BRO,IND,42074,2017-10-18T23:00:00.000Z,2,9,140,7,20,64,33,51.6,30,12,40.0,94,45,47.9,32,29,90.6,0,0,0,0,0,25,25,25,0,25,25,-9,22,131,34,17,51,0,1,0,0,BRO,84
ORL,BRO,42091,2017-10-20T23:30:00.000Z,6,3,121,13,18,65,37,56.9,27,9,33.3,92,46,50.0,35,25,71.4,0,0,0,0,0,17,27,17,0,17,27,5,22,126,34,22,57,0,0,1,1,BRO,84
ATL,BRO,42107,2017-10-22T19:30:00.000Z,8,2,104,12,18,59,30,50.8,28,11,39.3,87,41,47.1,34,23,67.6,0,0,0,0,0,27,25,27,0,28,25,12,27,116,42,22,64,0,0,1,1,BRO,84
BRO,ORL,42118,2017-10-24T23:00:00.000Z,4,5,125,8,16,59,29,49.2,37,11,29.7,96,40,41.7,34,30,88.2,0,0,0,0,0,27,23,27,0,28,23,-4,21,121,36,21,57,0,1,0,0,BRO,84
CLE,BRO,42127,2017-10-25T23:30:00.000Z,3,7,107,11,12,47,23,48.9,46,17,37.0,93,40,43.0,21,15,71.4,0,0,0,0,0,22,17,22,0,22,17,5,22,112,31,18,49,0,0,1,1,BRO,84
BRO,NYK,42141,2017-10-27T23:30:00.000Z,1,6,107,5,16,45,19,42.2,29,11,37.9,74,30,40.5,21,15,71.4,0,0,0,0,0,20,19,20,0,23,19,-21,18,86,33,9,43,0,1,0,0,BRO,84
DEN,BRO,42157,2017-10-29T22:00:00.000Z,4,7,124,5,15,65,27,41.5,31,12,38.7,96,39,40.6,31,21,67.7,0,0,0,0,0,18,22,18,0,19,22,-13,24,111,43,25,68,0,1,0,0,BRO,84
PHX,BRO,42171,2017-10-31T23:30:00.000Z,4,5,122,9,7,71,33,46.5,31,9,29.0,102,42,41.2,30,21,70.0,0,0,0,0,0,22,26,22,0,23,26,-8,15,114,39,13,52,0,1,0,0,BRO,84
BRO,LAL,42199,2017-11-04T02:30:00.000Z,5,7,124,8,16,53,28,52.8,38,9,23.7,91,37,40.7,38,29,76.3,0,0,0,0,0,22,29,22,0,22,29,-12,23,112,40,13,53,0,1,0,0,BRO,84
BRO,PHX,42216,2017-11-07T02:00:00.000Z,4,7,92,10,16,55,27,49.1,32,8,25.0,87,35,40.2,29,20,69.0,0,0,0,0,0,30,29,30,0,31,29,6,20,98,41,20,61,0,0,1,1,BRO,84
