game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
CHA,DET,42072,2017-10-18T23:00:00.000Z,3,3,102,4,17,43,20,46.5,30,9,30.0,73,29,39.7,29,23,79.3,0,0,0,0,0,15,21,15,0,16,21,-12,16,90,45,11,56,0,1,0,0,CHA,93
ATL,CHA,42089,2017-10-20T23:00:00.000Z,4,4,91,5,21,50,26,52.0,36,11,30.6,86,37,43.0,30,24,80.0,0,0,0,0,0,18,29,18,0,19,29,18,17,109,46,20,67,0,0,1,1,CHA,93
CHA,MIL,42112,2017-10-24T00:00:00.000Z,5,4,103,3,14,52,26,50.0,26,7,26.9,78,33,42.3,36,21,58.3,0,0,0,0,0,21,27,21,0,22,27,-9,17,94,38,19,60,0,1,0,0,CHA,93
DEN,CHA,42124,2017-10-25T23:00:00.000Z,5,1,93,5,14,50,25,50.0,30,13,43.3,80,38,47.5,26,21,80.8,0,0,0,0,0,16,23,16,0,16,23,17,18,110,44,13,57,0,0,1,1,CHA,93
HOU,CHA,42139,2017-10-27T23:00:00.000Z,5,6,109,6,9,59,22,37.3,29,11,37.9,88,33,37.5,28,16,57.1,0,0,0,0,0,14,26,14,0,14,26,-16,16,93,36,22,58,0,1,0,0,CHA,93
ORL,CHA,42156,2017-10-29T22:00:00.000Z,7,5,113,6,16,80,47,58.8,18,6,33.3,98,53,54.1,17,8,47.1,0,0,0,0,0,24,20,24,0,24,20,7,31,120,48,23,71,0,0,1,1,CHA,93
CHA,MEM,42164,2017-10-31T00:00:00.000Z,7,8,99,3,11,72,30,41.7,17,7,41.2,89,37,41.6,29,23,79.3,0,0,0,0,0,22,22,22,1,24,22,5,15,104,47,19,66,0,0,1,1,CHA,93
MIL,CHA,42176,2017-11-01T23:00:00.000Z,3,3,121,5,11,59,31,52.5,25,14,56.0,84,45,53.6,29,22,75.9,0,0,0,0,0,18,25,18,0,19,25,5,21,126,34,13,47,0,0,1,1,CHA,93
CHA,SAS,42195,2017-11-04T00:30:00.000Z,1,6,108,11,12,56,25,44.6,24,8,33.3,80,33,41.2,42,27,64.3,0,0,0,0,0,20,26,20,0,22,26,-7,16,101,38,22,60,0,1,0,0,CHA,93
CHA,MIN,42212,2017-11-06T01:00:00.000Z,3,4,112,8,11,59,28,47.5,28,9,32.1,87,37,42.5,21,11,52.4,0,0,0,0,0,24,19,24,0,26,19,-18,24,94,32,14,47,0,1,0,0,CHA,93
CHA,NYK,42221,2017-11-08T00:30:00.000Z,2,5,118,8,13,54,27,50.0,37,15,40.5,91,42,46.2,17,14,82.4,0,0,0,0,0,22,19,22,0,22,19,-5,24,113,24,21,46,0,1,0,0,CHA,93
CHA,BOS,42239,2017-11-11T00:30:00.000Z,7,5,90,5,14,58,25,43.1,22,6,27.3,80,31,38.8,33,19,57.6,0,0,0,0,0,21,26,21,0,22,26,-3,20,87,43,22,65,0,1,0,0,CHA,93
CLE,CHA,42277,2017-11-16T01:00:00.000Z,7,4,115,7,13,60,35,58.3,26,6,23.1,86,41,47.7,28,19,67.9,0,0,0,0,0,19,24,19,0,19,24,-8,21,107,35,17,52,0,1,0,0,CHA,93
CHA,CHI,42292,2017-11-18T01:00:00.000Z,2,3,123,3,12,60,32,53.3,21,10,47.6,81,42,51.8,34,26,76.5,0,0,0,0,0,15,23,15,1,16,23,-3,19,120,38,15,53,0,1,0,0,CHA,93
LAC,CHA,42297,2017-11-19T00:00:00.000Z,9,6,87,7,8,61,23,37.7,26,11,42.3,87,34,39.1,29,23,79.3,0,0,0,0,0,16,22,16,0,17,22,15,20,102,41,17,59,0,0,1,1,CHA,93
MIN,CHA,42311,2017-11-21T00:00:00.000Z,7,6,102,5,17,59,31,52.5,26,11,42.3,85,42,49.4,29,23,79.3,0,0,0,0,0,18,21,18,0,19,21,16,22,118,43,17,60,0,0,1,1,CHA,93
