game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
CHI,TOR,42083,2017-10-19T23:30:00.000Z,2,4,117,7,19,56,26,46.4,33,11,33.3,89,37,41.6,19,16,84.2,0,0,0,0,0,23,19,23,0,23,19,-16,22,101,30,17,47,0,1,0,0,CHI,89
SAS,CHI,42102,2017-10-22T00:00:00.000Z,5,3,87,3,19,54,23,42.6,28,8,28.6,82,31,37.8,9,7,77.8,0,0,0,0,0,15,14,15,0,15,14,-10,18,77,40,11,51,0,1,0,0,CHI,89
CHI,CLE,42119,2017-10-24T23:00:00.000Z,3,3,119,3,9,55,25,45.4,33,17,51.5,88,42,47.7,13,11,84.6,0,0,0,0,0,20,14,20,0,20,14,-7,28,112,31,14,45,0,1,0,0,CHI,89
ATL,CHI,42134,2017-10-27T00:00:00.000Z,4,5,86,5,13,54,24,44.4,32,7,21.9,86,31,36.0,29,22,75.9,0,0,0,0,0,15,23,15,0,15,23,5,20,91,43,24,69,0,0,1,1,CHI,89
OKL,CHI,42147,2017-10-29T00:00:00.000Z,5,8,101,9,19,41,12,29.3,37,10,27.0,78,22,28.2,20,15,75.0,0,0,0,0,0,16,17,16,0,16,17,-32,16,69,36,17,54,0,1,0,0,CHI,89
CHI,MIA,42179,2017-11-01T23:30:00.000Z,6,0,97,7,12,61,29,47.5,28,7,25.0,89,36,40.4,19,12,63.2,0,0,0,0,0,19,19,19,0,19,19,-6,20,91,47,14,61,0,1,0,0,CHI,89
CHI,ORL,42191,2017-11-03T23:00:00.000Z,2,2,83,6,14,56,26,46.4,29,14,48.3,85,40,47.1,12,11,91.7,0,0,0,0,0,13,11,13,0,13,11,22,23,105,42,13,56,0,0,1,1,CHI,89
NOP,CHI,43372,2017-11-05T00:00:00.000Z,5,4,96,10,17,57,24,42.1,42,11,26.2,99,35,35.4,12,9,75.0,0,0,0,0,0,19,9,19,0,20,9,-6,23,90,45,17,63,0,1,0,0,CHI,89
CHI,TOR,42222,2017-11-08T00:30:00.000Z,2,0,119,10,13,51,29,56.9,29,11,37.9,80,40,50.0,28,23,82.1,0,0,0,0,0,23,22,23,0,23,22,-5,26,114,31,13,44,0,1,0,0,CHI,89
IND,CHI,42240,2017-11-11T01:00:00.000Z,3,3,105,10,12,66,30,45.4,27,7,25.9,93,37,39.8,9,6,66.7,0,0,0,0,0,13,17,13,0,13,17,-18,24,87,33,14,47,0,1,0,0,CHI,89
CHI,SAS,42252,2017-11-12T01:30:00.000Z,4,6,133,9,13,63,34,54.0,23,6,26.1,86,40,46.5,13,8,61.5,0,0,0,0,0,15,16,15,0,15,16,-39,22,94,26,9,35,0,1,0,0,CHI,89
CHI,OKL,42276,2017-11-16T01:00:00.000Z,2,2,92,7,13,46,15,32.6,29,11,37.9,75,26,34.7,20,16,80.0,0,0,0,0,0,27,19,27,0,27,19,-13,16,79,35,14,49,0,1,0,0,CHI,89
CHA,CHI,42292,2017-11-18T01:00:00.000Z,3,2,120,9,11,57,30,52.6,34,17,50.0,91,47,51.6,13,12,92.3,0,0,0,0,0,23,15,23,0,26,15,3,26,123,32,7,39,0,0,1,1,CHI,89
CHI,PHX,42308,2017-11-20T01:00:00.000Z,1,4,113,5,11,65,30,46.2,36,12,33.3,101,42,41.6,14,9,64.3,0,0,0,0,0,21,16,21,1,22,16,-8,20,105,37,19,57,0,1,0,0,CHI,89
CHI,LAL,42321,2017-11-22T03:30:00.000Z,4,6,103,4,14,58,25,43.1,36,11,30.6,94,36,38.3,16,11,68.8,0,0,0,0,0,19,16,19,0,21,16,-9,22,94,43,19,63,0,1,0,0,CHI,89
CHI,UTA,42334,2017-11-23T02:00:00.000Z,1,5,110,3,16,57,24,42.1,21,5,23.8,78,29,37.2,20,17,85.0,0,0,0,0,0,21,15,21,0,21,15,-30,15,80,35,13,48,0,1,0,0,CHI,89
CHI,GSW,42345,2017-11-25T03:30:00.000Z,2,11,143,7,15,63,22,34.9,36,13,36.1,99,35,35.4,15,11,73.3,0,0,0,0,0,17,15,17,0,18,15,-49,18,94,31,22,53,0,1,0,0,CHI,89
MIA,CHI,42356,2017-11-26T20:30:00.000Z,2,5,100,10,14,56,19,33.9,33,14,42.4,89,33,37.1,16,13,81.2,0,0,0,0,0,18,14,18,0,18,14,-7,25,93,39,13,56,0,1,0,0,CHI,89
