game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
BOS,CLE,42070,2017-10-18T00:00:00.000Z,4,4,99,3,17,61,33,54.1,22,5,22.7,83,38,45.8,25,21,84.0,0,0,0,0,0,25,24,25,0,27,24,3,19,102,43,12,55,0,0,1,1,CLE,86
CLE,MIL,42087,2017-10-20T23:00:00.000Z,3,2,97,8,16,55,33,60.0,26,11,42.3,81,44,54.3,17,17,100.0,0,0,1,0,0,10,17,10,0,10,17,19,25,116,35,11,48,0,0,1,1,CLE,86
ORL,CLE,42099,2017-10-22T00:00:00.000Z,7,6,114,4,16,61,26,42.6,25,7,28.0,86,33,38.4,27,20,74.1,0,0,0,0,0,14,28,14,0,14,28,-21,15,93,35,20,55,0,1,0,0,CLE,86
CHI,CLE,42119,2017-10-24T23:00:00.000Z,3,3,112,5,9,45,27,60.0,38,16,42.1,83,43,51.8,22,17,77.3,0,0,0,0,0,14,20,14,0,14,20,7,28,119,34,14,48,0,0,1,1,CLE,86
CLE,BRO,42127,2017-10-25T23:30:00.000Z,7,3,112,5,21,46,27,58.7,35,12,34.3,81,39,48.2,26,17,65.4,0,0,0,0,0,17,22,17,0,17,22,-5,21,107,41,20,61,0,1,0,0,CLE,86
CLE,NOP,42146,2017-10-28T23:00:00.000Z,2,4,123,8,18,46,24,52.2,32,12,37.5,78,36,46.2,23,17,73.9,0,0,0,0,0,19,20,19,0,20,20,-22,19,101,34,9,43,0,1,0,0,CLE,86
NYK,CLE,42159,2017-10-29T23:00:00.000Z,5,6,114,5,15,48,21,43.8,33,10,30.3,81,31,38.3,27,23,85.2,0,0,0,0,0,23,26,23,0,23,26,-19,20,95,35,13,48,0,1,0,0,CLE,86
IND,CLE,42174,2017-11-01T23:00:00.000Z,3,1,124,6,16,55,36,65.4,31,7,22.6,86,43,50.0,20,14,70.0,0,0,1,0,0,19,23,19,0,19,23,-17,25,107,33,13,46,0,1,0,0,CLE,86
CLE,WAS,42189,2017-11-03T23:00:00.000Z,4,2,122,11,14,55,34,61.8,27,12,44.4,82,46,56.1,28,26,92.9,0,0,0,0,0,27,24,27,0,27,24,8,20,130,29,10,39,0,0,1,1,CLE,86
ATL,CLE,42205,2017-11-05T20:00:00.000Z,6,6,117,6,13,60,32,53.3,36,10,27.8,96,42,43.8,23,21,91.3,0,0,0,0,0,29,20,29,0,29,20,-2,27,115,34,21,55,0,1,0,0,CLE,86
