game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
ATL,DAL,42078,2017-10-19T00:30:00.000Z,4,6,117,5,15,41,21,51.2,45,17,37.8,86,38,44.2,21,18,85.7,0,0,0,0,0,19,18,19,1,19,18,-6,27,111,34,12,46,0,1,0,0,DAL,108
SAC,DAL,42093,2017-10-21T00:30:00.000Z,7,3,93,8,12,42,20,47.6,33,11,33.3,75,31,41.3,21,15,71.4,0,0,0,0,0,13,18,13,0,15,18,-5,19,88,31,9,41,0,1,0,0,DAL,108
DAL,HOU,42100,2017-10-22T00:00:00.000Z,0,4,107,6,14,53,18,34.0,31,13,41.9,84,31,36.9,21,16,76.2,0,0,0,0,0,19,24,19,0,20,24,-16,19,91,37,10,47,0,1,0,0,DAL,108
GSW,DAL,42114,2017-10-24T00:30:00.000Z,0,8,133,11,12,67,29,43.3,29,9,31.0,96,38,39.6,30,18,60.0,0,0,0,0,0,20,23,20,0,20,23,-30,21,103,29,26,55,0,1,0,0,DAL,108
MEM,DAL,42130,2017-10-26T00:30:00.000Z,4,2,94,6,11,48,25,52.1,26,11,42.3,74,36,48.6,29,20,69.0,0,0,0,0,0,20,22,20,0,21,22,9,20,103,33,13,46,0,0,1,1,DAL,108
DAL,MEM,42135,2017-10-27T00:00:00.000Z,3,6,96,10,14,60,22,36.7,34,10,29.4,94,32,34.0,20,17,85.0,0,0,0,0,0,22,23,22,0,25,23,-5,20,91,36,24,61,0,1,0,0,DAL,108
PHI,DAL,42150,2017-10-29T00:30:00.000Z,2,1,112,7,17,34,19,55.9,40,19,47.5,74,38,51.4,19,15,79.0,0,0,0,0,0,15,21,15,0,15,21,-2,22,110,32,8,40,0,1,0,0,DAL,108
DAL,UTA,42167,2017-10-31T01:00:00.000Z,2,8,104,4,24,52,22,42.3,24,12,50.0,76,34,44.7,11,9,81.8,0,0,0,0,0,16,17,16,0,16,17,-15,17,89,35,14,49,0,1,0,0,DAL,108
DAL,LAC,42185,2017-11-02T02:30:00.000Z,4,5,119,8,14,53,23,43.4,36,12,33.3,89,35,39.3,20,16,80.0,0,0,0,0,0,22,20,22,1,24,20,-21,20,98,29,14,43,0,1,0,0,DAL,108
NOP,DAL,42194,2017-11-04T00:30:00.000Z,7,4,99,4,15,54,25,46.3,34,9,26.5,88,34,38.6,22,17,77.3,0,0,1,0,0,24,22,24,0,25,22,-5,19,94,39,11,51,0,1,0,0,DAL,108
