game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
DEN,UTA,42079,2017-10-19T01:00:00.000Z,3,5,106,4,21,50,23,46.0,27,13,48.2,77,36,46.8,12,11,91.7,0,0,0,0,0,18,18,18,0,19,18,-10,21,96,32,11,43,0,1,0,0,DEN,99
SAC,DEN,42104,2017-10-22T01:00:00.000Z,2,3,79,7,16,55,27,49.1,30,10,33.3,85,37,43.5,20,12,60.0,0,0,0,0,0,19,21,19,0,20,21,17,25,96,42,24,67,0,0,1,1,DEN,99
WAS,DEN,42116,2017-10-24T01:00:00.000Z,2,3,109,5,23,57,31,54.4,23,8,34.8,80,39,48.8,23,18,78.3,0,0,0,0,0,22,24,22,0,23,24,-5,27,104,37,15,52,0,1,0,0,DEN,99
DEN,CHA,42124,2017-10-25T23:00:00.000Z,1,5,110,6,13,68,30,44.1,31,8,25.8,99,38,38.4,15,9,60.0,0,0,0,0,0,23,16,23,0,23,16,-17,18,93,34,23,57,0,1,0,0,DEN,99
DEN,ATL,42142,2017-10-27T23:30:00.000Z,4,4,100,8,11,71,38,53.5,20,4,20.0,91,42,46.2,23,17,73.9,0,0,0,0,0,12,21,12,0,12,21,5,24,105,39,23,62,0,0,1,1,DEN,99
DEN,BRO,42157,2017-10-29T22:00:00.000Z,7,4,111,7,6,74,36,48.6,20,11,55.0,94,47,50.0,22,19,86.4,0,0,0,0,0,22,18,22,0,22,18,13,23,124,42,7,49,0,0,1,1,DEN,99
DEN,NYK,42162,2017-10-30T23:30:00.000Z,5,10,116,13,13,44,17,38.6,41,18,43.9,85,35,41.2,31,22,71.0,0,0,0,0,0,22,27,22,0,22,27,-6,20,110,24,19,43,0,1,0,0,DEN,99
TOR,DEN,42184,2017-11-02T01:00:00.000Z,4,4,111,9,12,56,31,55.4,32,16,50.0,88,47,53.4,29,19,65.5,0,0,0,0,0,20,25,20,0,20,25,18,35,129,37,20,57,0,0,1,1,DEN,99
MIA,DEN,42197,2017-11-04T01:00:00.000Z,6,6,94,9,17,57,27,47.4,23,9,39.1,80,36,45.0,25,14,56.0,0,0,0,0,0,16,24,16,0,17,24,1,17,95,31,20,52,0,0,1,1,DEN,99
GSW,DEN,42204,2017-11-05T01:00:00.000Z,6,4,127,9,17,63,34,54.0,24,6,25.0,87,40,46.0,27,22,81.5,0,0,0,0,0,18,23,18,0,18,23,-19,26,108,38,16,54,0,1,0,0,DEN,99
