game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
CHA,DET,42072,2017-10-18T23:00:00.000Z,3,3,90,14,8,70,32,45.7,26,9,34.6,96,41,42.7,12,11,91.7,0,0,0,0,0,21,15,21,0,22,15,12,24,102,39,11,50,0,0,1,1,DET,88
DET,WAS,42086,2017-10-20T23:00:00.000Z,1,7,115,12,19,64,33,51.6,23,10,43.5,87,43,49.4,20,15,75.0,0,0,0,0,0,32,18,32,0,32,18,-4,19,111,29,14,43,0,1,0,0,DET,88
DET,NYK,42101,2017-10-22T00:00:00.000Z,2,2,107,5,12,61,35,57.4,30,9,30.0,91,44,48.4,15,14,93.3,0,0,0,0,0,25,21,25,0,25,21,4,21,111,29,17,47,0,0,1,1,DET,88
PHI,DET,42110,2017-10-23T23:00:00.000Z,2,0,97,5,14,55,27,49.1,30,6,20.0,85,33,38.8,19,14,73.7,0,0,0,0,0,21,24,21,0,22,24,-11,14,86,31,15,46,0,1,0,0,DET,88
MIN,DET,42125,2017-10-25T23:00:00.000Z,3,4,101,7,15,58,33,56.9,34,15,44.1,92,48,52.2,17,11,64.7,0,0,0,0,0,22,19,22,0,22,19,21,32,122,37,18,55,0,0,1,1,DET,88
DET,LAC,42153,2017-10-29T02:30:00.000Z,6,6,87,11,12,60,27,45.0,28,9,32.1,88,36,40.9,21,14,66.7,0,0,0,0,0,20,18,20,0,21,18,8,16,95,40,21,61,0,0,1,1,DET,88
DET,GSW,42160,2017-10-30T00:30:00.000Z,0,11,107,16,13,66,31,47.0,27,12,44.4,93,43,46.2,17,17,100.0,0,0,0,0,0,9,14,9,0,11,14,8,22,115,22,19,42,0,0,1,1,DET,88
DET,LAL,42173,2017-11-01T02:30:00.000Z,3,5,113,7,13,61,31,50.8,33,10,30.3,94,41,43.6,3,1,33.3,0,0,0,0,0,11,14,11,0,12,14,-20,21,93,34,12,47,0,1,0,0,DET,88
MIL,DET,42188,2017-11-03T23:00:00.000Z,4,6,96,10,12,52,29,55.8,26,8,30.8,78,37,47.4,28,23,82.1,0,0,0,0,0,11,24,11,0,12,24,9,21,105,34,14,49,0,0,1,1,DET,88
SAC,DET,42201,2017-11-04T23:00:00.000Z,3,1,99,10,15,55,27,49.1,24,13,54.2,79,40,50.6,22,15,68.2,0,0,0,0,0,19,23,19,0,20,23,9,28,108,32,16,48,0,0,1,1,DET,88
IND,DET,42229,2017-11-09T00:00:00.000Z,5,3,97,3,15,56,31,55.4,27,12,44.4,83,43,51.8,25,16,64.0,0,0,0,0,0,22,24,22,0,24,24,17,25,114,43,15,59,0,0,1,1,DET,88
ATL,DET,42238,2017-11-11T00:00:00.000Z,5,7,104,7,17,59,27,45.8,30,12,40.0,89,39,43.8,27,21,77.8,0,0,0,0,0,18,21,18,0,18,21,7,23,111,34,22,56,0,0,1,1,DET,88
MIA,DET,42258,2017-11-12T21:00:00.000Z,5,5,103,2,13,59,28,47.5,28,14,50.0,87,42,48.3,20,14,70.0,0,0,0,0,0,17,22,17,0,17,22,9,24,112,44,15,60,0,0,1,1,DET,88
DET,MIL,42281,2017-11-16T01:00:00.000Z,3,16,99,7,16,48,15,31.2,37,15,40.5,85,30,35.3,23,20,87.0,0,0,0,0,0,20,19,20,0,21,19,-4,23,95,28,24,52,0,1,0,0,DET,88
DET,IND,42287,2017-11-18T00:00:00.000Z,8,5,107,4,11,60,25,41.7,33,14,42.4,93,39,41.9,10,8,80.0,0,0,0,0,0,18,13,18,0,18,13,-7,20,100,35,17,52,0,1,0,0,DET,88
DET,MIN,42307,2017-11-20T00:00:00.000Z,2,4,97,10,19,58,31,53.4,25,8,32.0,83,39,47.0,20,14,70.0,0,0,0,0,0,21,20,21,0,21,20,3,25,100,30,16,46,0,0,1,1,DET,88
CLE,DET,42313,2017-11-21T00:00:00.000Z,2,2,116,7,14,47,21,44.7,30,13,43.3,77,34,44.2,13,7,53.8,0,0,0,0,0,20,14,20,0,20,14,-28,23,88,29,12,41,0,1,0,0,DET,88
DET,OKL,42342,2017-11-25T01:00:00.000Z,5,6,98,6,20,47,25,53.2,37,14,37.8,84,39,46.4,9,7,77.8,0,0,0,0,0,17,12,17,0,17,12,1,22,99,37,12,49,0,0,1,1,DET,88
DET,BOS,42361,2017-11-28T00:30:00.000Z,2,4,108,8,8,60,33,55.0,25,11,44.0,85,44,51.8,23,19,82.6,0,0,0,0,0,19,23,19,0,20,23,10,26,118,33,12,45,0,0,1,1,DET,88
PHX,DET,42373,2017-11-30T00:00:00.000Z,6,4,107,11,19,61,38,62.3,28,13,46.4,89,51,57.3,21,16,76.2,0,0,0,0,0,22,19,22,0,23,19,24,31,131,39,11,50,0,0,1,1,DET,88
DET,WAS,42387,2017-12-02T00:00:00.000Z,5,6,109,7,15,49,26,53.1,30,9,30.0,79,35,44.3,19,12,63.2,0,0,0,0,0,21,20,21,0,22,20,-18,20,91,31,14,45,0,1,0,0,DET,88
DET,PHI,42399,2017-12-03T00:30:00.000Z,2,4,108,8,16,47,25,53.2,31,9,29.0,78,34,43.6,32,26,81.2,0,0,0,0,0,27,24,27,0,27,24,-5,20,103,31,17,48,0,1,0,0,DET,88
DET,SAS,42417,2017-12-05T01:30:00.000Z,2,7,96,8,10,58,27,46.6,27,8,29.6,85,35,41.2,24,15,62.5,0,0,0,0,0,22,20,22,0,22,20,-3,15,93,36,16,52,0,1,0,0,DET,88
DET,MIL,42428,2017-12-07T01:00:00.000Z,0,5,104,5,10,57,26,45.6,30,10,33.3,87,36,41.4,27,18,66.7,0,0,0,0,0,20,21,20,0,20,21,-4,20,100,33,25,58,0,1,0,0,DET,88
GSW,DET,42436,2017-12-09T00:00:00.000Z,2,15,102,8,11,65,26,40.0,27,12,44.4,92,38,41.3,19,10,52.6,0,0,0,0,0,17,19,17,0,17,19,-4,20,98,38,22,60,0,1,0,0,DET,88
