game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
HOU,GSW,42071,2017-10-18T02:30:00.000Z,9,5,122,5,17,50,27,54.0,30,16,53.3,80,43,53.8,21,19,90.5,0,0,0,0,0,25,16,25,1,25,16,-1,34,121,36,6,42,0,1,0,0,GSW,101
GSW,NOP,42094,2017-10-21T01:30:00.000Z,8,2,120,5,18,51,29,56.9,40,18,45.0,91,47,51.6,20,16,80.0,0,0,0,0,0,23,19,23,0,24,19,8,31,128,40,12,52,0,0,1,1,GSW,101
GSW,MEM,42098,2017-10-22T00:00:00.000Z,7,4,111,10,17,46,21,45.6,38,12,31.6,84,33,39.3,27,23,85.2,0,0,0,0,0,28,25,28,0,31,25,-10,20,101,34,12,46,0,1,0,0,GSW,101
GSW,DAL,42114,2017-10-24T00:30:00.000Z,8,0,103,6,16,47,33,70.2,39,15,38.5,86,48,55.8,26,22,84.6,0,0,0,0,0,23,20,23,0,24,20,30,33,133,44,13,57,0,0,1,1,GSW,101
TOR,GSW,42132,2017-10-26T02:30:00.000Z,7,6,112,10,17,51,31,60.8,26,12,46.2,77,43,55.8,22,19,86.4,0,0,0,0,0,15,16,15,0,15,16,5,32,117,32,9,41,0,0,1,1,GSW,101
WAS,GSW,42145,2017-10-28T02:30:00.000Z,13,6,117,7,17,57,36,63.2,38,10,26.3,95,46,48.4,20,18,90.0,0,0,0,0,0,20,21,20,0,23,21,3,33,120,39,20,59,0,0,1,1,GSW,101
DET,GSW,42160,2017-10-30T00:30:00.000Z,11,0,115,3,25,50,34,68.0,27,10,37.0,77,44,57.1,12,9,75.0,0,0,0,0,0,14,9,14,0,14,9,-8,29,107,30,14,44,0,1,0,0,GSW,101
GSW,LAC,42169,2017-10-31T02:30:00.000Z,8,3,113,8,12,60,38,63.3,29,14,48.3,89,52,58.4,30,23,76.7,0,0,0,0,0,23,20,23,0,25,20,28,37,141,34,18,52,0,0,1,1,GSW,101
GSW,SAS,42186,2017-11-03T00:00:00.000Z,11,7,92,11,14,55,29,52.7,28,14,50.0,83,43,51.8,16,12,75.0,0,0,0,0,0,20,10,20,0,21,10,20,30,112,38,10,48,0,0,1,1,GSW,101
GSW,DEN,42204,2017-11-05T01:00:00.000Z,4,6,108,13,13,51,32,62.8,40,18,45.0,91,50,55.0,17,9,52.9,0,0,0,0,0,23,18,23,0,23,18,19,38,127,36,10,46,0,0,1,1,GSW,101
MIA,GSW,42217,2017-11-07T03:30:00.000Z,10,6,80,12,14,55,21,38.2,32,11,34.4,87,32,36.8,24,22,91.7,0,0,0,0,0,21,20,21,0,22,20,17,20,97,43,17,60,0,0,1,1,GSW,101
MIN,GSW,42232,2017-11-09T03:30:00.000Z,9,0,101,10,19,49,33,67.4,36,15,41.7,85,48,56.5,18,14,77.8,0,0,0,0,0,23,14,23,0,23,14,24,37,125,43,6,49,0,0,1,1,GSW,101
PHI,GSW,42253,2017-11-12T01:30:00.000Z,11,2,114,15,23,55,34,61.8,27,14,51.8,82,48,58.5,26,25,96.2,0,0,0,0,0,23,19,23,0,25,19,21,31,135,39,7,46,0,0,1,1,GSW,101
ORL,GSW,42268,2017-11-14T03:30:00.000Z,5,3,100,4,16,65,36,55.4,23,8,34.8,88,44,50.0,16,14,87.5,0,0,0,0,0,21,18,21,0,21,18,10,35,110,42,13,56,0,0,1,1,GSW,101
GSW,BOS,42284,2017-11-17T01:00:00.000Z,10,5,92,9,15,50,23,46.0,32,10,31.2,82,33,40.2,19,12,63.2,0,0,0,0,0,24,15,24,0,24,15,-4,22,88,42,8,50,0,1,0,0,GSW,101
GSW,PHI,42299,2017-11-19T00:30:00.000Z,6,5,116,5,12,69,43,62.3,23,7,30.4,92,50,54.4,20,17,85.0,0,0,0,0,0,18,22,18,0,19,22,8,25,124,39,15,54,0,0,1,1,GSW,101
GSW,BRO,42306,2017-11-19T23:00:00.000Z,14,2,111,8,15,66,36,54.6,24,10,41.7,90,46,51.1,23,16,69.6,0,0,0,0,0,27,21,27,0,28,21,7,29,118,52,11,63,0,0,1,1,GSW,101
