game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
HOU,GSW,42071,2017-10-18T02:30:00.000Z,5,9,121,9,12,56,32,57.1,41,15,36.6,97,47,48.4,19,13,68.4,0,0,0,0,0,16,25,16,0,17,25,1,28,122,33,20,53,0,0,1,1,HOU,109
HOU,SAC,42081,2017-10-19T02:00:00.000Z,3,4,100,7,14,38,21,55.3,45,12,26.7,83,33,39.8,29,27,93.1,0,0,0,0,0,14,20,14,0,14,20,5,19,105,34,17,51,0,0,1,1,HOU,109
DAL,HOU,42100,2017-10-22T00:00:00.000Z,4,0,91,12,13,35,28,80.0,47,11,23.4,82,39,47.6,22,18,81.8,0,0,0,0,0,24,19,24,0,26,19,16,17,107,47,9,58,0,0,1,1,HOU,109
MEM,HOU,42113,2017-10-24T00:00:00.000Z,2,2,98,5,17,39,23,59.0,38,9,23.7,77,32,41.6,23,17,73.9,0,0,0,0,0,31,21,31,0,34,21,-8,25,90,33,13,46,0,1,0,0,HOU,109
HOU,PHI,42126,2017-10-25T23:00:00.000Z,13,7,104,11,19,36,24,66.7,39,12,30.8,75,36,48.0,24,21,87.5,0,0,0,0,0,13,19,13,0,13,19,1,22,105,34,9,43,0,0,1,1,HOU,109
HOU,CHA,42139,2017-10-27T23:00:00.000Z,6,5,93,5,15,28,16,57.1,57,22,38.6,85,38,44.7,13,11,84.6,0,0,0,0,0,26,14,26,0,27,14,16,21,109,45,13,58,0,0,1,1,HOU,109
HOU,MEM,43367,2017-10-29T00:00:00.000Z,3,6,103,4,17,39,15,38.5,38,14,36.8,77,29,37.7,21,17,81.0,0,0,0,0,0,23,20,23,0,23,20,-14,18,89,38,11,51,0,1,0,0,HOU,109
PHI,HOU,42166,2017-10-31T00:00:00.000Z,3,4,115,12,15,36,20,55.6,47,13,27.7,83,33,39.8,38,28,73.7,0,0,0,0,0,23,31,23,0,23,31,-8,17,107,28,18,46,0,1,0,0,HOU,109
HOU,NYK,42180,2017-11-02T00:00:00.000Z,4,1,97,6,15,36,23,63.9,52,19,36.5,88,42,47.7,21,16,76.2,0,0,0,0,0,20,18,20,0,20,18,22,21,119,39,13,53,0,0,1,1,HOU,109
HOU,ATL,42192,2017-11-03T23:30:00.000Z,4,8,104,14,13,42,26,61.9,47,16,34.0,89,42,47.2,23,19,82.6,0,0,0,0,0,16,16,16,0,16,16,15,28,119,36,12,48,0,0,1,1,HOU,109
UTA,HOU,42210,2017-11-06T00:00:00.000Z,7,3,110,9,21,42,25,59.5,39,23,59.0,81,48,59.3,21,18,85.7,0,0,0,0,0,24,18,24,0,24,18,27,26,137,39,9,48,0,0,1,1,HOU,109
CLE,HOU,42235,2017-11-10T01:00:00.000Z,5,1,113,11,22,31,20,64.5,46,16,34.8,77,36,46.8,36,29,80.6,0,0,0,0,0,27,30,27,0,28,30,4,21,117,28,24,52,0,0,1,1,HOU,109
MEM,HOU,42249,2017-11-12T01:00:00.000Z,4,5,96,14,16,38,21,55.3,45,16,35.6,83,37,44.6,28,21,75.0,0,0,0,0,0,19,20,19,0,19,20,15,18,111,36,15,52,0,0,1,1,HOU,109
HOU,IND,42259,2017-11-12T23:00:00.000Z,6,7,95,10,13,43,26,60.5,47,17,36.2,90,43,47.8,18,15,83.3,0,0,0,0,0,20,15,20,0,22,15,23,24,118,37,16,53,0,0,1,1,HOU,109
TOR,HOU,42271,2017-11-15T01:00:00.000Z,4,4,129,4,19,40,21,52.5,39,12,30.8,79,33,41.8,41,35,85.4,0,0,0,0,0,27,30,27,0,32,30,-16,21,113,36,21,57,0,1,0,0,HOU,109
HOU,PHX,42285,2017-11-17T03:30:00.000Z,9,5,116,9,14,46,22,47.8,44,21,47.7,90,43,47.8,38,35,92.1,0,0,0,0,0,20,22,20,0,20,22,26,27,142,40,12,54,0,0,1,1,HOU,109
HOU,MEM,42301,2017-11-19T01:00:00.000Z,9,7,83,8,16,35,17,48.6,43,18,41.9,78,35,44.9,21,17,81.0,0,0,0,0,0,24,18,24,0,24,18,22,21,105,39,13,52,0,0,1,1,HOU,109
DEN,HOU,42329,2017-11-23T01:00:00.000Z,4,5,95,13,18,41,27,65.8,41,18,43.9,82,45,54.9,23,17,73.9,0,0,0,0,0,22,14,22,0,22,14,30,30,125,39,12,51,0,0,1,1,HOU,109
NYK,HOU,42350,2017-11-26T01:00:00.000Z,6,3,102,12,7,47,23,48.9,47,18,38.3,94,41,43.6,22,17,77.3,0,0,0,0,0,15,20,15,0,15,20,15,30,117,34,17,51,0,0,1,1,HOU,109
BRO,HOU,42363,2017-11-28T01:00:00.000Z,4,4,103,8,15,36,22,61.1,50,20,40.0,86,42,48.8,20,13,65.0,0,0,0,0,0,19,19,19,0,19,19,14,31,117,42,11,53,0,0,1,1,HOU,109
IND,HOU,42378,2017-11-30T01:00:00.000Z,0,7,97,9,17,46,24,52.2,40,18,45.0,86,42,48.8,21,16,76.2,0,0,0,0,0,10,17,10,0,10,17,21,26,118,40,17,57,0,0,1,1,HOU,109
HOU,LAL,43390,2017-12-04T02:30:00.000Z,4,6,95,10,15,53,31,58.5,37,14,37.8,90,45,50.0,17,14,82.4,0,0,0,0,0,23,22,23,0,23,22,23,17,118,37,11,48,0,0,1,1,HOU,109
HOU,UTA,42435,2017-12-08T03:30:00.000Z,5,5,101,10,17,39,20,51.3,42,18,42.9,81,38,46.9,24,18,75.0,0,0,0,0,0,25,21,25,0,27,21,11,22,112,40,17,57,0,0,1,1,HOU,109
HOU,POR,42453,2017-12-10T03:00:00.000Z,2,5,117,13,12,50,30,60.0,25,10,40.0,75,40,53.3,42,34,81.0,0,0,0,0,0,17,28,17,0,18,28,7,14,124,30,14,44,0,0,1,1,HOU,109
NOP,HOU,42460,2017-12-12T01:00:00.000Z,7,2,123,12,9,43,31,72.1,45,17,37.8,88,48,54.6,25,17,68.0,0,0,0,0,0,15,19,15,0,15,19,7,30,130,32,10,42,0,0,1,1,HOU,109
CHA,HOU,42481,2017-12-14T02:30:00.000Z,5,5,96,7,10,43,22,51.2,45,17,37.8,88,39,44.3,19,13,68.4,0,0,0,0,0,18,15,18,0,18,15,12,24,108,39,10,49,0,0,1,1,HOU,109
SAS,HOU,42497,2017-12-16T02:30:00.000Z,3,5,109,15,13,41,25,61.0,50,18,36.0,91,43,47.2,25,20,80.0,0,0,0,0,0,16,17,16,0,16,17,15,20,124,37,21,58,0,0,1,1,HOU,109
MIL,HOU,42503,2017-12-17T01:00:00.000Z,4,7,111,7,15,41,24,58.5,35,11,31.4,76,35,46.0,42,34,81.0,0,0,0,0,0,23,34,23,0,24,34,4,16,115,37,11,48,0,0,1,1,HOU,109
UTA,HOU,42513,2017-12-19T01:00:00.000Z,7,1,99,5,14,34,23,67.6,43,17,39.5,77,40,52.0,27,23,85.2,0,0,0,0,0,13,22,13,0,13,22,21,25,120,42,13,55,0,0,1,1,HOU,109
LAL,HOU,42528,2017-12-21T01:00:00.000Z,5,5,122,7,14,48,20,41.7,42,17,40.5,90,37,41.1,32,25,78.1,0,0,0,0,0,30,25,30,0,31,25,-6,19,116,39,20,59,0,1,0,0,HOU,109
LAC,HOU,42543,2017-12-23T01:00:00.000Z,4,5,128,4,17,38,19,50.0,40,17,42.5,78,36,46.2,35,29,82.9,0,0,0,0,0,26,25,26,0,29,25,-10,16,118,35,17,52,0,1,0,0,HOU,109
HOU,OKL,42565,2017-12-26T01:00:00.000Z,4,10,112,11,13,44,23,52.3,37,12,32.4,81,35,43.2,31,25,80.6,0,0,0,0,0,20,20,20,0,20,20,-5,23,107,30,16,47,0,1,0,0,HOU,109
HOU,BOS,42586,2017-12-29T01:00:00.000Z,3,8,99,9,16,37,16,43.2,43,14,32.6,80,30,37.5,31,24,77.4,0,0,0,0,0,23,22,23,0,23,22,-1,16,98,37,16,53,0,1,0,0,HOU,109
HOU,WAS,42590,2017-12-30T00:00:00.000Z,2,5,121,11,14,41,24,58.5,48,14,29.2,89,38,42.7,16,13,81.2,0,0,0,0,0,13,15,13,0,14,15,-18,15,103,28,15,43,0,1,0,0,HOU,109
LAL,HOU,42612,2018-01-01T00:00:00.000Z,9,4,142,7,11,54,31,57.4,52,18,34.6,106,49,46.2,39,32,82.0,0,0,0,0,0,33,32,33,1,33,32,6,29,148,37,21,58,0,0,1,1,HOU,109
HOU,ORL,42625,2018-01-04T00:00:00.000Z,3,3,98,6,15,55,27,49.1,34,15,44.1,89,42,47.2,21,17,81.0,0,0,0,0,0,19,19,19,0,19,19,18,25,116,46,11,57,0,0,1,1,HOU,109
GSW,HOU,42635,2018-01-05T01:00:00.000Z,3,6,124,7,10,39,25,64.1,50,17,34.0,89,42,47.2,22,13,59.1,0,0,0,0,0,17,18,17,0,18,18,-10,20,114,34,13,47,0,1,0,0,HOU,109
HOU,DET,42649,2018-01-07T00:00:00.000Z,4,4,108,5,13,43,23,53.5,47,15,31.9,90,38,42.2,11,10,90.9,0,0,0,0,0,20,15,20,0,21,15,-7,29,101,30,18,48,0,1,0,0,HOU,109
HOU,CHI,42663,2018-01-09T01:00:00.000Z,6,5,107,6,16,32,19,59.4,54,20,37.0,86,39,45.4,24,18,75.0,0,0,0,0,0,14,17,14,0,15,17,9,28,116,40,18,58,0,0,1,1,HOU,109
POR,HOU,42679,2018-01-11T01:00:00.000Z,5,6,112,7,13,62,33,53.2,38,12,31.6,100,45,45.0,25,19,76.0,0,0,0,0,0,30,26,30,0,32,26,9,25,121,35,22,58,0,0,1,1,HOU,109
HOU,PHX,42695,2018-01-13T03:30:00.000Z,4,3,95,11,11,47,24,51.1,47,15,31.9,94,39,41.5,22,19,86.4,0,0,0,0,0,14,19,14,0,14,19,17,18,112,40,18,58,0,0,1,1,HOU,109
HOU,LAC,42717,2018-01-16T03:30:00.000Z,4,10,113,9,12,50,25,50.0,44,13,29.6,94,38,40.4,16,13,81.2,0,0,0,0,0,21,17,21,0,26,17,-11,21,102,29,19,48,0,1,0,0,HOU,109
MIN,HOU,42734,2018-01-19T02:30:00.000Z,5,8,98,11,9,49,25,51.0,39,17,43.6,88,42,47.7,17,15,88.2,0,0,0,0,0,15,16,15,0,15,16,18,24,116,37,13,50,0,0,1,1,HOU,109
GSW,HOU,42748,2018-01-21T01:30:00.000Z,3,10,108,14,15,50,27,54.0,37,14,37.8,87,41,47.1,29,20,69.0,0,0,0,0,0,18,24,18,0,19,24,8,19,116,36,23,59,0,0,1,1,HOU,109
MIA,HOU,42760,2018-01-23T01:00:00.000Z,3,4,90,10,14,44,21,47.7,37,15,40.5,81,36,44.4,18,12,66.7,0,0,0,0,0,15,18,15,0,15,18,9,20,99,33,14,47,0,0,1,1,HOU,109
HOU,DAL,42775,2018-01-25T01:00:00.000Z,3,2,97,8,9,31,15,48.4,51,21,41.2,82,36,43.9,23,11,47.8,0,0,0,0,0,19,21,19,0,19,21,7,20,104,38,16,54,0,0,1,1,HOU,109
HOU,NOP,42786,2018-01-27T01:00:00.000Z,2,5,115,10,12,42,24,57.1,36,12,33.3,78,36,46.2,35,29,82.9,0,0,0,0,0,23,26,23,0,23,26,-2,22,113,34,7,41,0,1,0,0,HOU,109
PHX,HOU,42800,2018-01-28T20:30:00.000Z,2,2,102,8,12,35,21,60.0,37,11,29.7,72,32,44.4,49,38,77.6,0,0,0,0,0,21,29,21,1,23,29,11,17,113,41,15,56,0,0,1,1,HOU,109
ORL,HOU,42816,2018-01-31T01:00:00.000Z,5,4,107,5,12,42,26,61.9,35,13,37.1,77,39,50.6,28,23,82.1,0,0,0,0,0,15,22,15,0,15,22,7,17,114,33,15,48,0,0,1,1,HOU,109
HOU,SAS,42832,2018-02-02T01:00:00.000Z,7,5,91,10,9,41,23,56.1,42,14,33.3,83,37,44.6,17,14,82.4,0,0,0,0,0,16,12,16,0,16,12,11,20,102,33,11,44,0,0,1,1,HOU,109
HOU,CLE,42848,2018-02-04T01:30:00.000Z,5,3,88,6,8,42,25,59.5,51,19,37.2,93,44,47.3,16,13,81.2,0,0,0,0,0,19,16,19,0,19,16,32,28,120,48,9,57,0,0,1,1,HOU,109
HOU,BRO,42868,2018-02-07T00:30:00.000Z,7,2,113,7,11,48,29,60.4,33,16,48.5,81,45,55.6,21,17,81.0,0,0,0,0,0,14,17,14,0,14,17,10,16,123,33,12,45,0,0,1,1,HOU,109
HOU,MIA,42875,2018-02-08T00:30:00.000Z,6,3,101,8,9,43,26,60.5,31,12,38.7,74,38,51.4,26,21,80.8,0,0,0,0,0,16,17,16,0,16,17,8,16,109,32,12,44,0,0,1,1,HOU,109
DEN,HOU,42890,2018-02-10T01:00:00.000Z,7,2,104,5,11,45,24,53.3,41,19,46.3,86,43,50.0,34,25,73.5,0,0,0,0,0,16,20,16,0,17,20,26,26,130,39,19,58,0,0,1,1,HOU,109
DAL,HOU,42907,2018-02-12T00:00:00.000Z,7,4,97,9,9,33,21,63.6,45,13,28.9,78,34,43.6,33,23,69.7,0,0,0,0,0,18,25,18,0,18,25,7,15,104,41,12,53,0,0,1,1,HOU,109
HOU,MIN,42918,2018-02-14T01:00:00.000Z,4,4,108,1,6,36,19,52.8,47,22,46.8,83,41,49.4,29,22,75.9,0,0,0,0,0,23,20,23,0,24,20,18,25,126,32,14,46,0,0,1,1,HOU,109
SAC,HOU,42929,2018-02-15T01:00:00.000Z,5,5,91,10,13,34,19,55.9,49,14,28.6,83,33,39.8,22,20,90.9,0,0,0,0,0,14,20,14,0,14,20,9,19,100,42,10,52,0,0,1,1,HOU,109
MIN,HOU,42948,2018-02-24T01:00:00.000Z,2,3,102,6,11,44,26,59.1,38,14,36.8,82,40,48.8,30,26,86.7,0,0,0,0,0,17,22,17,0,18,22,18,24,120,36,19,55,0,0,1,1,HOU,109
HOU,DEN,42965,2018-02-26T01:00:00.000Z,3,6,114,7,18,42,24,57.1,35,15,42.9,77,39,50.6,32,26,81.2,0,0,0,0,0,23,27,23,0,24,27,5,18,119,32,16,48,0,0,1,1,HOU,109
HOU,UTA,42974,2018-02-27T02:00:00.000Z,2,4,85,15,15,46,25,54.4,33,9,27.3,79,34,43.0,25,19,76.0,0,0,0,0,0,21,19,21,0,21,19,11,15,96,31,17,48,0,0,1,1,HOU,109
HOU,LAC,42990,2018-03-01T03:30:00.000Z,5,2,92,11,10,42,23,54.8,43,13,30.2,85,36,42.4,24,20,83.3,0,0,0,0,0,21,19,21,0,21,19,13,21,105,33,16,49,0,0,1,1,HOU,109
BOS,HOU,43008,2018-03-04T01:30:00.000Z,5,3,120,11,10,38,20,52.6,49,19,38.8,87,39,44.8,30,26,86.7,0,0,0,0,0,21,21,21,1,22,21,3,24,123,32,18,50,0,0,1,1,HOU,109
HOU,OKL,43029,2018-03-07T01:00:00.000Z,7,3,112,11,21,38,21,55.3,33,17,51.5,71,38,53.5,34,29,85.3,0,0,0,0,0,20,28,20,0,20,28,10,25,122,31,13,44,0,0,1,1,HOU,109
HOU,MIL,43036,2018-03-08T01:00:00.000Z,5,3,99,9,16,42,25,59.5,40,14,35.0,82,39,47.6,27,18,66.7,0,0,0,0,0,21,22,21,0,21,22,11,22,110,38,18,56,0,0,1,1,HOU,109
HOU,TOR,43048,2018-03-10T00:30:00.000Z,3,2,108,9,13,54,31,57.4,27,9,33.3,81,40,49.4,23,16,69.6,0,0,0,0,0,13,20,13,0,15,20,-3,15,105,30,14,44,0,1,0,0,HOU,109
HOU,DAL,43297,2018-03-11T23:00:00.000Z,5,2,82,5,11,39,22,56.4,45,17,37.8,84,39,46.4,14,10,71.4,0,0,0,0,0,22,18,22,0,22,18,23,21,105,40,11,51,0,0,1,1,HOU,109
SAS,HOU,43062,2018-03-13T00:00:00.000Z,4,2,93,6,15,36,26,72.2,44,13,29.6,80,39,48.8,23,18,78.3,0,0,0,0,0,24,17,24,0,24,17,16,24,109,43,14,57,0,0,1,1,HOU,109
LAC,HOU,43083,2018-03-16T00:00:00.000Z,9,4,96,4,11,49,23,46.9,41,12,29.3,90,35,38.9,23,19,82.6,0,0,0,0,0,13,21,13,0,14,21,5,20,101,36,23,59,0,0,1,1,HOU,109
HOU,NOP,43095,2018-03-17T23:00:00.000Z,5,7,101,10,8,51,24,47.1,41,15,36.6,92,39,42.4,18,14,77.8,0,0,0,0,0,19,19,19,0,20,19,6,19,107,32,21,53,0,0,1,1,HOU,109
HOU,MIN,43108,2018-03-18T23:00:00.000Z,8,1,120,7,11,43,27,62.8,35,16,45.7,78,43,55.1,36,27,75.0,0,0,0,0,0,26,26,26,0,27,26,9,28,129,26,14,40,0,0,1,1,HOU,109
HOU,POR,43124,2018-03-21T02:30:00.000Z,4,7,111,3,9,43,19,44.2,36,19,52.8,79,38,48.1,29,20,69.0,0,0,0,0,0,23,18,23,0,23,18,4,18,115,34,16,50,0,0,1,1,HOU,109
DET,HOU,43134,2018-03-23T00:00:00.000Z,3,5,96,9,12,48,23,47.9,51,12,23.5,99,35,35.4,28,18,64.3,0,0,1,0,0,19,17,19,0,21,17,4,19,100,42,24,66,0,0,1,1,HOU,109
NOP,HOU,43152,2018-03-25T00:00:00.000Z,8,6,91,10,19,46,27,58.7,47,18,38.3,93,45,48.4,8,6,75.0,0,0,0,0,0,17,14,17,0,17,14,23,22,114,44,13,58,0,0,1,1,HOU,109
ATL,HOU,43161,2018-03-26T00:00:00.000Z,4,2,99,7,11,38,24,63.2,52,20,38.5,90,44,48.9,11,10,90.9,0,0,0,0,0,12,14,12,0,13,14,19,28,118,41,7,49,0,0,1,1,HOU,109
CHI,HOU,43172,2018-03-28T00:00:00.000Z,6,1,86,15,10,36,23,63.9,57,18,31.6,93,41,44.1,21,18,85.7,0,0,0,0,0,12,17,12,0,13,17,32,28,118,41,14,55,0,0,1,1,HOU,109
PHX,HOU,43191,2018-03-31T00:00:00.000Z,7,5,103,9,10,43,21,48.8,38,14,36.8,81,35,43.2,29,20,69.0,0,0,0,0,0,12,21,12,0,12,21,1,22,104,32,14,46,0,0,1,1,HOU,109
HOU,SAS,43204,2018-04-01T19:30:00.000Z,3,8,100,3,9,46,19,41.3,31,7,22.6,77,26,33.8,29,24,82.8,0,0,0,0,0,19,19,19,0,20,19,-17,12,83,36,15,51,0,1,0,0,HOU,109
WAS,HOU,43222,2018-04-04T00:00:00.000Z,3,1,104,13,9,38,27,71.0,46,16,34.8,84,43,51.2,27,18,66.7,0,0,0,0,0,14,21,14,0,15,21,16,26,120,36,17,53,0,0,1,1,HOU,109
POR,HOU,43236,2018-04-06T00:00:00.000Z,5,2,94,10,15,36,21,58.3,37,13,35.1,73,34,46.6,24,15,62.5,0,0,0,0,0,16,20,16,0,16,20,2,16,96,33,12,45,0,0,1,1,HOU,109
OKL,HOU,43255,2018-04-08T00:30:00.000Z,6,5,108,7,17,39,22,56.4,37,14,37.8,76,36,47.4,23,16,69.6,0,0,0,0,0,24,20,24,0,26,20,-6,23,102,36,16,52,0,1,0,0,HOU,109
HOU,LAL,43278,2018-04-11T02:30:00.000Z,5,4,99,9,18,41,21,51.2,47,16,34.0,88,37,42.0,16,15,93.8,0,0,0,0,0,19,19,19,0,19,19,6,19,105,42,12,54,0,0,1,1,HOU,109
HOU,SAC,43289,2018-04-12T02:30:00.000Z,6,3,96,2,14,36,18,50.0,46,13,28.3,82,31,37.8,12,8,66.7,0,0,0,0,0,24,14,24,0,24,14,-13,11,83,34,13,47,0,1,0,0,HOU,109
NOP,HOU,47578,2018-10-18T00:00:00.000Z,7,3,131,8,11,44,23,52.3,48,16,33.3,92,39,42.4,24,18,75.0,0,0,0,0,0,22,25,22,0,23,25,-19,21,112,32,17,49,0,1,0,0,HOU,109
HOU,LAL,47604,2018-10-21T02:30:00.000Z,4,10,115,7,16,54,28,51.8,42,16,38.1,96,44,45.8,30,20,66.7,0,1,0,0,0,21,21,21,0,23,21,9,22,124,45,24,69,0,0,1,1,HOU,109
HOU,LAC,47608,2018-10-22T01:00:00.000Z,6,7,115,6,12,54,28,51.8,35,15,42.9,89,43,48.3,15,11,73.3,0,0,0,0,0,23,16,23,0,23,16,-3,28,112,32,11,43,0,1,0,0,HOU,109
