game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
BRO,IND,42074,2017-10-18T23:00:00.000Z,9,2,131,12,14,68,44,64.7,34,9,26.5,102,53,52.0,32,25,78.1,0,0,0,0,0,25,25,25,0,25,25,9,29,140,35,22,57,0,0,1,1,IND,87
POR,IND,42088,2017-10-20T23:00:00.000Z,4,6,114,1,12,60,31,51.7,18,4,22.2,78,35,44.9,33,22,66.7,0,0,0,0,0,18,25,18,0,18,25,-18,15,96,35,14,49,0,1,0,0,IND,87
IND,MIA,42097,2017-10-22T00:00:00.000Z,4,11,112,9,11,77,36,46.8,19,7,36.8,96,43,44.8,21,15,71.4,0,0,0,0,0,18,19,18,0,19,19,-4,17,108,35,17,54,0,1,0,0,IND,87
IND,MIN,42121,2017-10-25T00:00:00.000Z,2,4,107,8,17,62,46,74.2,22,10,45.4,84,56,66.7,11,8,72.7,0,0,0,0,0,21,14,21,0,22,14,23,31,130,37,11,48,0,0,1,1,IND,87
IND,OKL,42128,2017-10-26T00:00:00.000Z,2,8,114,13,19,54,18,33.3,29,10,34.5,83,28,33.7,35,30,85.7,0,0,0,0,0,23,27,23,0,23,27,-18,13,96,31,19,52,0,1,0,0,IND,87
SAS,IND,42155,2017-10-29T20:30:00.000Z,3,8,94,9,19,55,26,47.3,22,10,45.4,77,36,46.8,20,15,75.0,0,0,0,0,0,20,11,20,0,20,11,3,21,97,40,14,54,0,0,1,1,IND,87
SAC,IND,42170,2017-10-31T23:00:00.000Z,7,5,83,8,14,56,24,42.9,29,12,41.4,85,36,42.4,22,17,77.3,0,0,0,0,0,17,18,17,0,17,18,18,25,101,39,17,56,0,0,1,1,IND,87
IND,CLE,42174,2017-11-01T23:00:00.000Z,1,3,107,9,11,64,33,51.6,26,16,61.5,90,49,54.4,13,10,76.9,0,1,0,0,0,23,19,23,0,23,19,17,35,124,36,11,47,0,0,1,1,IND,87
IND,PHI,42190,2017-11-03T23:00:00.000Z,6,9,121,6,11,69,37,53.6,28,8,28.6,97,45,46.4,19,12,63.2,0,0,0,0,0,18,20,18,0,19,20,-11,25,110,34,19,53,0,1,0,0,IND,87
IND,NYK,42211,2017-11-06T00:30:00.000Z,2,7,108,6,12,54,25,46.3,25,12,48.0,79,37,46.8,17,15,88.2,0,0,0,0,0,17,21,17,0,17,21,-7,24,101,33,7,41,0,1,0,0,IND,87
