game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
LAC,LAL,42085,2017-10-20T02:30:00.000Z,3,7,92,12,14,74,30,40.5,33,12,36.4,107,42,39.2,13,12,92.3,0,0,0,0,0,20,15,20,0,20,15,16,23,108,43,26,69,0,0,1,1,LAC,102
PHX,LAC,42106,2017-10-22T02:30:00.000Z,2,3,88,12,12,62,36,58.1,26,12,46.2,88,48,54.6,30,22,73.3,0,0,0,0,0,32,27,32,0,32,27,42,26,130,42,15,57,0,0,1,1,LAC,102
UTA,LAC,42123,2017-10-25T02:30:00.000Z,4,7,84,12,13,54,29,53.7,29,10,34.5,83,39,47.0,21,14,66.7,0,0,0,0,0,16,23,16,0,16,23,18,21,102,36,15,51,0,0,1,1,LAC,102
LAC,POR,42137,2017-10-27T02:00:00.000Z,5,4,103,4,11,49,27,55.1,28,9,32.1,77,36,46.8,36,23,63.9,0,0,0,0,0,19,26,19,0,19,26,1,11,104,34,23,57,0,0,1,1,LAC,102
DET,LAC,42153,2017-10-29T02:30:00.000Z,6,6,95,6,18,46,13,28.3,38,15,39.5,84,28,33.3,22,16,72.7,0,0,0,0,0,18,20,18,0,18,20,-8,19,87,38,22,60,0,1,0,0,LAC,102
GSW,LAC,42169,2017-10-31T02:30:00.000Z,3,8,141,4,13,61,29,47.5,25,10,40.0,86,39,45.4,30,25,83.3,0,0,0,0,0,20,23,20,0,20,23,-28,21,113,26,18,44,0,1,0,0,LAC,102
DAL,LAC,42185,2017-11-02T02:30:00.000Z,5,4,98,9,16,49,28,57.1,28,13,46.4,77,41,53.2,29,24,82.8,0,0,0,0,0,20,22,20,0,23,22,21,27,119,44,12,56,0,0,1,1,LAC,102
MEM,LAC,42200,2017-11-04T19:30:00.000Z,7,7,113,7,13,57,34,59.6,26,4,15.4,83,38,45.8,31,24,77.4,0,0,0,0,0,22,28,22,0,22,28,-9,18,104,29,22,51,0,1,0,0,LAC,102
MIA,LAC,42206,2017-11-05T20:30:00.000Z,4,6,104,11,15,56,25,44.6,31,9,29.0,87,34,39.1,30,24,80.0,0,0,0,0,0,22,26,22,0,24,26,-3,16,101,35,24,60,0,1,0,0,LAC,102
LAC,SAS,42223,2017-11-08T01:30:00.000Z,4,3,120,6,17,52,31,59.6,30,11,36.7,82,42,51.2,17,12,70.6,0,0,0,0,0,19,21,19,0,19,21,-13,20,107,31,17,48,0,1,0,0,LAC,102
LAC,OKL,42241,2017-11-11T02:00:00.000Z,2,7,120,4,18,54,27,50.0,30,12,40.0,84,39,46.4,30,21,70.0,0,0,0,0,0,30,29,30,0,32,29,-9,13,111,30,23,55,0,1,0,0,LAC,102
LAC,NOP,42247,2017-11-12T00:00:00.000Z,1,4,111,12,11,60,25,41.7,26,10,38.5,86,35,40.7,27,23,85.2,0,0,0,0,0,24,19,24,0,26,19,-8,16,103,29,11,41,0,1,0,0,LAC,102
PHI,LAC,42269,2017-11-14T03:30:00.000Z,4,2,109,8,15,50,24,48.0,32,12,37.5,82,36,43.9,32,21,65.6,0,0,0,0,0,26,26,26,0,26,26,-4,16,105,27,15,42,0,1,0,0,LAC,102
LAC,CLE,42290,2017-11-18T00:30:00.000Z,10,4,118,7,15,68,36,52.9,35,10,28.6,103,46,44.7,14,11,78.6,0,0,0,0,0,26,20,26,0,26,20,-5,29,113,43,16,59,0,1,0,0,LAC,102
LAC,CHA,42297,2017-11-19T00:00:00.000Z,6,9,102,5,14,54,25,46.3,29,8,27.6,83,33,39.8,19,13,68.4,0,0,0,0,0,22,16,22,0,22,16,-15,18,87,42,14,56,0,1,0,0,LAC,102
LAC,NYK,42314,2017-11-21T00:30:00.000Z,3,5,107,12,21,48,20,41.7,32,10,31.2,80,30,37.5,21,15,71.4,0,0,0,0,0,23,26,23,0,24,26,-22,20,85,27,16,43,0,1,0,0,LAC,102
LAC,ATL,42326,2017-11-23T00:30:00.000Z,4,2,103,7,15,46,29,63.0,30,15,50.0,76,44,57.9,19,13,68.4,0,0,0,0,0,15,20,15,0,15,20,13,30,116,30,11,41,0,0,1,1,LAC,102
LAC,SAC,42355,2017-11-26T03:00:00.000Z,5,8,95,11,16,52,29,55.8,28,9,32.1,80,38,47.5,13,12,92.3,0,0,0,0,0,13,17,13,0,14,17,2,23,97,33,13,46,0,0,1,1,LAC,102
LAL,LAC,42366,2017-11-28T03:30:00.000Z,3,5,115,7,17,57,31,54.4,28,10,35.7,85,41,48.2,30,28,93.3,0,0,0,0,0,22,29,22,0,22,29,5,19,120,36,13,49,0,0,1,1,LAC,102
UTA,LAC,42386,2017-12-01T03:30:00.000Z,6,2,126,8,19,41,28,68.3,29,10,34.5,70,38,54.3,30,21,70.0,0,0,0,0,0,16,20,16,0,17,20,-19,23,107,25,16,42,0,1,0,0,LAC,102
LAC,DAL,42396,2017-12-02T19:00:00.000Z,6,7,108,8,10,64,24,37.5,22,6,27.3,86,30,34.9,23,16,69.6,0,0,0,0,0,20,20,20,0,22,20,-26,16,82,29,22,51,0,1,0,0,LAC,102
LAC,MIN,42404,2017-12-04T00:00:00.000Z,7,1,112,3,16,39,22,56.4,34,15,44.1,73,37,50.7,22,17,77.3,0,0,0,0,0,26,16,26,0,26,16,-6,21,106,33,10,43,0,1,0,0,LAC,102
MIN,LAC,42431,2017-12-07T03:30:00.000Z,3,7,113,6,9,67,34,50.8,32,10,31.2,99,44,44.4,15,9,60.0,0,0,0,0,0,17,17,17,0,17,17,-6,23,107,28,22,50,0,1,0,0,LAC,102
WAS,LAC,42444,2017-12-09T20:30:00.000Z,4,2,112,8,10,48,25,52.1,32,14,43.8,80,39,48.8,24,21,87.5,0,0,0,0,0,19,18,19,0,20,18,1,22,113,32,7,39,0,0,1,1,LAC,102
TOR,LAC,42465,2017-12-12T03:30:00.000Z,7,6,91,6,13,55,26,47.3,36,8,22.2,91,34,37.4,24,20,83.3,0,0,0,0,0,20,22,20,0,20,22,5,18,96,44,18,62,0,0,1,1,LAC,102
LAC,ORL,42474,2017-12-14T00:00:00.000Z,6,6,95,10,8,62,27,43.6,26,12,46.2,88,39,44.3,20,16,80.0,0,0,0,0,0,19,13,19,0,19,13,11,25,106,47,12,59,0,0,1,1,LAC,102
LAC,WAS,42488,2017-12-16T00:00:00.000Z,6,7,100,12,21,61,26,42.6,24,7,29.2,85,33,38.8,29,18,62.1,0,0,0,0,0,20,26,20,0,20,26,-9,17,91,38,22,60,0,1,0,0,LAC,102
LAC,MIA,42501,2017-12-17T01:00:00.000Z,5,8,90,3,17,52,27,51.9,28,8,28.6,80,35,43.8,14,7,50.0,0,0,0,0,0,22,15,22,0,24,15,-5,18,85,39,23,62,0,1,0,0,LAC,102
LAC,SAS,42518,2017-12-19T01:30:00.000Z,4,4,109,12,17,55,28,50.9,29,9,31.0,84,37,44.0,16,8,50.0,0,0,0,0,0,23,19,23,0,25,19,-18,21,91,35,15,50,0,1,0,0,LAC,102
PHX,LAC,42534,2017-12-21T03:30:00.000Z,4,3,95,1,9,57,31,54.4,30,10,33.3,87,41,47.1,24,16,66.7,0,0,0,0,0,19,25,19,0,19,25,13,22,108,43,15,58,0,0,1,1,LAC,102
LAC,HOU,42543,2017-12-23T01:00:00.000Z,5,4,118,8,8,49,25,51.0,42,18,42.9,91,43,47.2,31,24,77.4,0,0,0,0,0,25,26,25,0,26,26,10,24,128,31,19,51,0,0,1,1,LAC,102
LAC,MEM,42555,2017-12-24T01:00:00.000Z,7,5,115,4,10,46,26,56.5,34,13,38.2,80,39,48.8,28,21,75.0,0,0,0,0,0,22,26,22,0,22,26,-3,14,112,34,14,48,0,1,0,0,LAC,102
SAC,LAC,42574,2017-12-27T03:30:00.000Z,9,6,95,7,14,49,31,63.3,31,13,41.9,80,44,55.0,27,21,77.8,0,0,0,0,0,13,19,13,0,13,19,27,31,122,42,15,57,0,0,1,1,LAC,102
LAC,LAL,42598,2017-12-30T03:30:00.000Z,6,3,106,7,13,54,33,61.1,32,9,28.1,86,42,48.8,34,28,82.4,0,0,0,0,0,21,22,21,0,21,22,15,23,121,37,24,61,0,0,1,1,LAC,102
CHA,LAC,42611,2018-01-01T00:00:00.000Z,5,3,98,9,16,48,26,54.2,28,10,35.7,76,36,47.4,27,24,88.9,0,0,0,0,0,21,21,21,1,23,21,8,24,106,37,11,48,0,0,1,1,LAC,102
MEM,LAC,42622,2018-01-03T03:30:00.000Z,3,2,105,5,19,48,30,62.5,23,9,39.1,71,39,54.9,31,26,83.9,0,0,0,0,0,24,29,24,0,25,29,8,23,113,35,8,43,0,0,1,1,LAC,102
