game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
LAC,LAL,42085,2017-10-20T02:30:00.000Z,7,3,108,8,19,75,33,44.0,16,4,25.0,91,37,40.7,23,14,60.9,0,0,0,0,0,15,20,15,0,16,20,-16,21,92,40,19,60,0,1,0,0,LAL,105
LAL,PHX,42095,2017-10-21T02:00:00.000Z,3,9,130,8,19,68,36,52.9,26,12,46.2,94,48,51.1,33,24,72.7,0,0,0,0,0,31,25,31,1,32,25,2,22,132,40,11,51,0,0,1,1,LAL,105
NOP,LAL,42109,2017-10-23T01:30:00.000Z,6,5,119,7,17,63,35,55.6,27,9,33.3,90,44,48.9,20,15,75.0,0,0,0,0,0,24,20,24,0,24,20,-7,27,112,30,12,43,0,1,0,0,LAL,105
WAS,LAL,43365,2017-10-26T02:30:00.000Z,5,5,99,9,21,62,34,54.8,30,7,23.3,92,41,44.6,16,13,81.2,0,0,0,0,0,26,19,26,0,26,19,3,27,102,48,14,62,0,0,1,1,LAL,105
TOR,LAL,42144,2017-10-28T02:30:00.000Z,6,4,101,7,21,56,33,58.9,23,3,13.0,79,36,45.6,24,17,70.8,0,0,0,0,0,22,24,22,0,22,24,-9,20,92,42,16,58,0,1,0,0,LAL,105
LAL,UTA,42151,2017-10-29T01:00:00.000Z,4,5,96,12,16,59,26,44.1,22,5,22.7,81,31,38.3,20,14,70.0,0,0,0,0,0,20,20,20,0,20,20,-15,17,81,25,21,46,0,1,0,0,LAL,105
DET,LAL,42173,2017-11-01T02:30:00.000Z,5,3,93,9,14,65,33,50.8,26,12,46.2,91,45,49.4,14,11,78.6,0,0,0,0,0,14,11,14,0,14,11,20,30,113,42,15,57,0,0,1,1,LAL,105
LAL,POR,42187,2017-11-03T02:30:00.000Z,8,4,113,8,11,61,39,63.9,18,4,22.2,79,43,54.4,27,20,74.1,0,0,0,0,0,20,21,20,0,20,21,-3,16,110,33,10,43,0,1,0,0,LAL,105
BRO,LAL,42199,2017-11-04T02:30:00.000Z,7,5,112,10,16,73,39,53.4,21,9,42.9,94,48,51.1,27,19,70.4,0,0,0,0,0,29,22,29,0,29,22,12,26,124,50,14,64,0,0,1,1,LAL,105
MEM,LAL,42214,2017-11-06T02:30:00.000Z,4,7,102,5,16,58,31,53.4,27,9,33.3,85,40,47.1,23,18,78.3,0,0,0,0,0,16,22,16,0,17,22,5,25,107,40,15,55,0,0,1,1,LAL,105
