game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
NOP,MEM,42077,2017-10-19T00:00:00.000Z,8,12,91,9,11,63,30,47.6,29,9,31.0,92,39,42.4,28,16,57.1,0,0,0,0,0,29,31,29,0,29,31,12,19,103,32,27,59,0,0,1,1,MEM,107
GSW,MEM,42098,2017-10-22T00:00:00.000Z,4,7,101,8,14,50,26,52.0,27,10,37.0,77,36,46.8,37,29,78.4,0,0,0,0,0,25,28,25,0,25,28,10,20,111,34,6,40,0,0,1,1,MEM,107
MEM,HOU,42113,2017-10-24T00:00:00.000Z,2,2,90,5,12,49,23,46.9,19,6,31.6,68,29,42.6,37,34,91.9,0,0,0,0,0,21,31,21,0,22,31,8,16,98,38,9,47,0,0,1,1,MEM,107
MEM,DAL,42130,2017-10-26T00:30:00.000Z,2,4,103,7,17,41,21,51.2,31,12,38.7,72,33,45.8,24,16,66.7,0,0,0,0,0,22,20,22,0,23,20,-9,14,94,34,13,48,0,1,0,0,MEM,107
DAL,MEM,42135,2017-10-27T00:00:00.000Z,6,3,91,7,18,39,20,51.3,34,10,29.4,73,30,41.1,30,26,86.7,0,0,0,0,0,23,22,23,0,23,22,5,18,96,40,11,51,0,0,1,1,MEM,107
HOU,MEM,43367,2017-10-29T00:00:00.000Z,6,3,89,10,9,52,26,50.0,33,14,42.4,85,40,47.1,12,9,75.0,0,0,0,0,0,20,23,20,0,21,23,14,26,103,39,10,49,0,0,1,1,MEM,107
CHA,MEM,42164,2017-10-31T00:00:00.000Z,8,7,104,7,7,58,24,41.4,35,8,22.9,93,32,34.4,33,27,81.8,0,0,0,0,0,22,22,22,1,23,22,-5,17,99,39,20,59,0,1,0,0,MEM,107
ORL,MEM,42182,2017-11-02T00:00:00.000Z,3,8,101,12,13,52,29,55.8,30,10,33.3,82,39,47.6,16,11,68.8,0,0,0,0,0,16,22,16,1,17,22,-2,21,99,30,12,42,0,1,0,0,MEM,107
MEM,LAC,42200,2017-11-04T19:30:00.000Z,7,7,104,8,11,53,27,50.9,31,13,41.9,84,40,47.6,24,20,83.3,0,0,0,0,0,28,22,28,0,28,22,9,21,113,30,19,49,0,0,1,1,MEM,107
MEM,LAL,42214,2017-11-06T02:30:00.000Z,7,4,107,6,12,50,29,58.0,37,11,29.7,87,40,46.0,14,11,78.6,0,0,0,0,0,22,16,22,0,22,16,-5,23,102,35,10,45,0,1,0,0,MEM,107
MEM,POR,42227,2017-11-08T03:00:00.000Z,10,1,97,8,14,54,28,51.8,19,7,36.8,73,35,48.0,25,21,84.0,0,0,0,0,0,21,18,21,0,21,18,1,18,98,31,9,41,0,0,1,1,MEM,107
MEM,HOU,42249,2017-11-12T01:00:00.000Z,5,4,111,9,19,59,32,54.2,20,6,30.0,79,38,48.1,18,14,77.8,0,0,0,0,0,20,19,20,0,20,19,-15,23,96,37,9,46,0,1,0,0,MEM,107
MEM,MIL,42264,2017-11-14T01:00:00.000Z,1,5,110,5,14,50,26,52.0,26,11,42.3,76,37,48.7,21,18,85.7,0,0,0,0,0,25,19,25,0,26,19,-7,21,103,30,13,43,0,1,0,0,MEM,107
IND,MEM,42278,2017-11-16T01:00:00.000Z,10,6,116,5,15,54,36,66.7,32,8,25.0,86,44,51.2,22,17,77.3,0,0,0,0,0,19,17,19,0,20,17,-3,29,113,34,14,48,0,1,0,0,MEM,107
HOU,MEM,42301,2017-11-19T01:00:00.000Z,7,9,105,6,12,59,24,40.7,27,7,25.9,86,31,36.0,19,14,73.7,0,0,0,0,0,18,24,18,0,20,24,-22,18,83,34,21,55,0,1,0,0,MEM,107
POR,MEM,42315,2017-11-21T01:00:00.000Z,9,9,100,6,8,56,25,44.6,30,8,26.7,86,33,38.4,23,18,78.3,0,0,0,0,0,26,23,26,0,28,23,-8,23,92,32,9,41,0,1,0,0,MEM,107
DAL,MEM,42332,2017-11-23T01:00:00.000Z,6,2,95,7,17,52,30,57.7,29,7,24.1,81,37,45.7,14,13,92.9,0,0,0,0,0,25,14,25,0,25,14,-1,25,94,50,7,57,0,1,0,0,MEM,107
MEM,DEN,42343,2017-11-25T02:00:00.000Z,3,4,104,10,18,49,27,55.1,24,9,37.5,73,36,49.3,16,11,68.8,0,0,0,0,0,21,18,21,0,21,18,-12,28,92,25,6,31,0,1,0,0,MEM,107
BRO,MEM,42358,2017-11-26T23:00:00.000Z,3,7,98,8,14,55,24,43.6,25,8,32.0,80,32,40.0,18,16,88.9,0,0,0,0,0,24,22,24,0,24,22,-10,15,88,27,15,42,0,1,0,0,MEM,107
MEM,SAS,42379,2017-11-30T01:30:00.000Z,1,5,104,4,17,55,24,43.6,22,11,50.0,77,35,45.4,16,14,87.5,0,0,0,0,0,19,17,19,0,21,17,-9,21,95,26,15,41,0,1,0,0,MEM,107
SAS,MEM,42390,2017-12-02T01:00:00.000Z,7,5,95,8,16,59,25,42.4,15,5,33.3,74,30,40.5,18,14,77.8,0,0,0,0,0,26,18,26,0,26,18,-16,19,79,31,11,42,0,1,0,0,MEM,107
MEM,CLE,42398,2017-12-03T00:30:00.000Z,4,7,116,6,12,61,30,49.2,23,13,56.5,84,43,51.2,14,12,85.7,0,0,0,0,0,19,14,19,0,19,14,-5,31,111,32,11,43,0,1,0,0,MEM,107
MIN,MEM,42415,2017-12-05T01:00:00.000Z,8,2,92,6,16,51,28,54.9,21,6,28.6,72,34,47.2,24,21,87.5,0,0,0,0,0,22,16,22,0,22,16,3,22,95,36,13,49,0,0,1,1,MEM,107
MEM,NYK,42425,2017-12-07T00:30:00.000Z,5,3,99,8,15,42,17,40.5,28,12,42.9,70,29,41.4,22,18,81.8,0,0,0,0,0,24,21,24,1,24,21,-11,14,88,24,9,33,0,1,0,0,MEM,107
TOR,MEM,42441,2017-12-09T01:00:00.000Z,3,3,116,8,16,55,32,58.2,27,9,33.3,82,41,50.0,22,16,72.7,0,0,0,0,0,25,23,25,0,27,23,-9,24,107,33,20,53,0,1,0,0,MEM,107
OKL,MEM,42451,2017-12-10T02:00:00.000Z,5,5,102,5,14,55,26,47.3,33,13,39.4,88,39,44.3,17,10,58.8,0,0,0,0,0,30,21,30,0,33,21,-1,23,101,38,22,60,0,1,0,0,MEM,107
MIA,MEM,42461,2017-12-12T01:00:00.000Z,1,8,107,6,14,45,20,44.4,27,8,29.6,72,28,38.9,27,18,66.7,0,0,0,0,0,22,22,22,0,22,22,-25,17,82,27,18,45,0,1,0,0,MEM,107
MEM,WAS,42475,2017-12-14T00:00:00.000Z,2,8,93,6,17,53,21,39.6,28,10,35.7,81,31,38.3,16,15,93.8,0,0,0,0,0,23,22,23,0,25,22,-6,18,87,37,12,49,0,1,0,0,MEM,107
ATL,MEM,42494,2017-12-16T01:00:00.000Z,6,5,94,12,21,53,24,45.3,25,12,48.0,78,36,46.2,17,12,70.6,0,0,0,0,0,24,19,24,0,24,19,2,21,96,35,16,51,0,0,1,1,MEM,107
BOS,MEM,42505,2017-12-17T02:00:00.000Z,3,6,102,8,13,45,18,40.0,34,14,41.2,79,32,40.5,17,15,88.2,0,0,0,0,0,19,19,19,0,19,19,-9,18,93,28,16,44,0,1,0,0,MEM,107
MEM,GSW,42533,2017-12-21T03:30:00.000Z,6,8,97,10,16,53,16,30.2,31,12,38.7,84,28,33.3,19,16,84.2,0,0,0,0,0,23,19,23,0,24,19,-13,20,84,28,24,52,0,1,0,0,MEM,107
MEM,PHX,42538,2017-12-22T02:00:00.000Z,7,1,97,5,9,64,34,53.1,26,5,19.2,90,39,43.3,16,12,75.0,0,0,0,0,0,22,17,22,0,22,17,-2,15,95,36,21,57,0,1,0,0,MEM,107
LAC,MEM,42555,2017-12-24T01:00:00.000Z,5,7,112,5,9,59,27,45.8,31,13,41.9,90,40,44.4,25,22,88.0,0,0,0,0,0,26,22,26,0,27,22,3,28,115,34,19,53,0,0,1,1,MEM,107
MEM,PHX,42572,2017-12-27T02:00:00.000Z,11,5,99,10,10,67,32,47.8,20,3,15.0,87,35,40.2,29,24,82.8,0,0,0,0,0,28,29,28,1,29,29,-2,12,97,29,16,46,0,1,0,0,MEM,107
MEM,LAL,42583,2017-12-28T03:30:00.000Z,9,4,99,3,10,50,30,60.0,21,5,23.8,71,35,49.3,39,34,87.2,0,0,0,0,0,20,26,20,0,20,26,10,20,109,34,13,47,0,0,1,1,MEM,107
MEM,GSW,42604,2017-12-31T01:30:00.000Z,0,6,141,6,7,73,34,46.6,21,15,71.4,94,49,52.1,22,15,68.2,0,0,0,0,0,22,17,22,2,22,17,-13,29,128,27,19,46,0,1,0,0,MEM,107
MEM,SAC,42610,2018-01-01T00:00:00.000Z,8,2,96,11,16,46,27,58.7,30,14,46.7,76,41,54.0,24,18,75.0,0,0,0,0,0,21,21,21,0,22,21,18,22,114,42,10,52,0,0,1,1,MEM,107
MEM,LAC,42622,2018-01-03T03:30:00.000Z,2,3,113,10,14,53,30,56.6,26,8,30.8,79,38,48.1,33,21,63.6,0,0,0,0,0,29,24,29,0,30,24,-8,18,105,29,18,47,0,1,0,0,MEM,107
WAS,MEM,42644,2018-01-06T02:30:00.000Z,9,7,102,6,16,56,25,44.6,30,10,33.3,86,35,40.7,26,20,76.9,0,0,0,0,0,25,23,25,0,28,23,-2,20,100,38,18,56,0,1,0,0,MEM,107
NOP,MEM,42680,2018-01-11T01:00:00.000Z,5,7,102,7,9,69,32,46.4,19,5,26.3,88,37,42.0,32,26,81.2,0,0,0,0,0,26,26,26,0,27,26,3,21,105,37,24,61,0,0,1,1,MEM,107
MEM,DEN,42694,2018-01-13T02:00:00.000Z,5,3,87,8,14,53,23,43.4,24,7,29.2,77,30,39.0,14,11,78.6,0,0,0,0,0,28,18,28,0,28,18,-9,17,78,32,12,44,0,1,0,0,MEM,107
LAL,MEM,42714,2018-01-15T22:30:00.000Z,8,8,114,8,18,60,32,53.3,22,10,45.4,82,42,51.2,34,29,85.3,0,0,0,0,0,26,23,26,0,26,23,9,24,123,42,11,54,0,0,1,1,MEM,107
NYK,MEM,42728,2018-01-18T01:00:00.000Z,3,12,99,9,11,63,31,49.2,28,10,35.7,91,41,45.0,17,13,76.5,0,0,0,0,0,19,15,19,0,19,15,6,23,105,31,21,52,0,0,1,1,MEM,107
SAC,MEM,42738,2018-01-20T01:00:00.000Z,5,3,88,12,13,54,29,53.7,34,10,29.4,88,39,44.3,23,18,78.3,0,0,0,0,0,17,20,17,0,17,20,18,24,106,37,20,57,0,0,1,1,MEM,107
MEM,NOP,42745,2018-01-21T00:00:00.000Z,1,5,111,2,14,47,22,46.8,35,15,42.9,82,37,45.1,16,15,93.8,0,0,0,0,0,29,15,29,0,31,15,-7,22,104,35,11,46,0,1,0,0,MEM,107
PHI,MEM,42761,2018-01-23T01:00:00.000Z,2,4,101,14,12,52,23,44.2,26,10,38.5,78,33,42.3,35,29,82.9,0,0,0,0,0,26,28,26,0,28,28,4,14,105,24,18,42,0,0,1,1,MEM,107
SAS,MEM,42776,2018-01-25T01:00:00.000Z,4,6,108,7,17,65,34,52.3,18,2,11.1,83,36,43.4,14,11,78.6,0,0,0,0,0,25,19,25,0,25,19,-23,19,85,35,16,51,0,1,0,0,MEM,107
LAC,MEM,42787,2018-01-27T01:00:00.000Z,9,6,109,1,19,54,31,57.4,27,8,29.6,81,39,48.2,18,14,77.8,0,0,0,0,0,24,20,24,0,25,20,-9,31,100,39,12,51,0,1,0,0,MEM,107
PHX,MEM,42809,2018-01-30T01:00:00.000Z,9,2,109,7,20,61,36,59.0,22,11,50.0,83,47,56.6,18,15,83.3,0,0,0,0,0,27,20,27,0,28,20,11,29,120,29,16,45,0,0,1,1,MEM,107
MEM,IND,42823,2018-02-01T00:00:00.000Z,1,4,105,10,18,56,27,48.2,26,12,46.2,82,39,47.6,15,11,73.3,0,0,0,0,0,21,15,21,0,22,15,-4,20,101,28,21,49,0,1,0,0,MEM,107
MEM,DET,42831,2018-02-02T00:00:00.000Z,3,4,104,3,9,65,32,49.2,31,8,25.8,96,40,41.7,14,14,100.0,0,0,0,0,0,24,19,24,1,25,19,-2,22,102,40,17,57,0,1,0,0,MEM,107
MEM,TOR,42855,2018-02-04T17:00:00.000Z,6,7,101,7,19,56,21,37.5,25,8,32.0,81,29,35.8,23,20,87.0,0,0,0,0,0,23,20,23,0,23,20,-15,17,86,35,17,52,0,1,0,0,MEM,107
MEM,ATL,42870,2018-02-07T00:30:00.000Z,5,5,108,7,25,57,30,52.6,22,4,18.2,79,34,43.0,13,10,76.9,0,0,0,0,0,24,16,24,0,24,16,-26,23,82,32,17,49,0,1,0,0,MEM,107
UTA,MEM,42878,2018-02-08T01:00:00.000Z,5,4,92,12,15,58,26,44.8,23,8,34.8,81,34,42.0,16,12,75.0,0,0,0,0,0,26,16,26,0,30,16,-4,18,88,29,15,44,0,1,0,0,MEM,107
MEM,OKL,42908,2018-02-12T00:00:00.000Z,5,3,110,4,17,54,26,48.2,28,6,21.4,82,32,39.0,24,22,91.7,0,0,0,0,0,32,23,32,0,33,23,-18,21,92,37,22,59,0,1,0,0,MEM,107
OKL,MEM,42930,2018-02-15T01:00:00.000Z,2,6,121,6,12,59,30,50.8,27,14,51.8,86,44,51.2,15,12,80.0,0,0,0,0,0,25,19,25,0,29,19,-7,29,114,36,12,49,0,1,0,0,MEM,107
CLE,MEM,42946,2018-02-24T01:00:00.000Z,4,9,112,10,21,60,24,40.0,24,9,37.5,84,33,39.3,18,14,77.8,0,0,0,0,0,25,23,25,0,27,23,-23,22,89,36,14,50,0,1,0,0,MEM,107
MEM,MIA,42954,2018-02-25T00:30:00.000Z,3,6,115,7,19,69,30,43.5,11,5,45.4,80,35,43.8,17,14,82.4,0,0,0,0,0,22,17,22,0,22,17,-26,16,89,35,11,46,0,1,0,0,MEM,107
MEM,BOS,42969,2018-02-27T00:30:00.000Z,2,5,109,4,10,55,29,52.7,23,5,21.7,78,34,43.6,32,25,78.1,0,0,0,0,0,22,23,22,0,23,23,-11,27,98,40,12,52,0,1,0,0,MEM,107
