game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
MIA,ORL,42075,2017-10-18T23:00:00.000Z,4,10,116,6,13,72,36,50.0,30,8,26.7,102,44,43.1,17,13,76.5,0,0,0,0,0,20,18,20,0,20,18,-7,27,109,35,20,56,0,1,0,0,MIA,92
IND,MIA,42097,2017-10-22T00:00:00.000Z,11,4,108,6,14,53,31,58.5,34,14,41.2,87,45,51.7,14,8,57.1,0,0,0,0,0,19,18,19,0,20,18,4,24,112,39,12,53,0,0,1,1,MIA,92
ATL,MIA,42111,2017-10-23T23:30:00.000Z,6,1,93,12,19,48,25,52.1,37,14,37.8,85,39,45.9,18,12,66.7,0,0,1,0,0,19,17,19,0,21,17,11,21,104,33,16,49,0,0,1,1,MIA,92
SAS,MIA,42129,2017-10-26T00:00:00.000Z,2,3,117,6,9,54,28,51.8,26,9,34.6,80,37,46.2,18,17,94.4,0,0,0,0,0,25,20,25,0,25,20,-17,19,100,28,5,34,0,1,0,0,MIA,92
BOS,MIA,42148,2017-10-29T00:00:00.000Z,9,5,96,6,19,48,27,56.2,31,7,22.6,79,34,43.0,16,15,93.8,0,0,0,0,0,23,14,23,0,23,14,-6,17,90,35,14,49,0,1,0,0,MIA,92
MIN,MIA,43369,2017-10-30T23:00:00.000Z,5,4,125,8,24,66,42,63.6,27,7,25.9,93,49,52.7,25,17,68.0,0,0,1,0,0,28,25,28,0,28,25,-3,17,122,40,20,61,0,1,0,0,MIA,92
CHI,MIA,42179,2017-11-01T23:30:00.000Z,0,6,91,8,11,52,22,42.3,31,12,38.7,83,34,41.0,19,17,89.5,0,0,0,0,0,19,19,19,0,19,19,6,21,97,46,4,50,0,0,1,1,MIA,92
MIA,DEN,42197,2017-11-04T01:00:00.000Z,6,6,95,9,23,39,21,53.8,38,15,39.5,77,36,46.8,11,7,63.6,0,0,0,0,0,24,16,24,1,24,16,-1,23,94,33,14,48,0,1,0,0,MIA,92
MIA,LAC,42206,2017-11-05T20:30:00.000Z,6,4,101,12,16,48,23,47.9,36,14,38.9,84,37,44.0,19,16,84.2,0,0,0,0,0,26,22,26,0,26,22,3,23,104,34,15,49,0,0,1,1,MIA,92
MIA,GSW,42217,2017-11-07T03:30:00.000Z,6,10,97,10,20,57,22,38.6,26,8,30.8,83,30,36.1,17,12,70.6,0,0,0,0,0,20,21,20,0,20,21,-17,19,80,40,15,55,0,1,0,0,MIA,92
