game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
MIL,BOS,42076,2017-10-18T23:30:00.000Z,4,2,100,6,15,55,31,56.4,21,7,33.3,76,38,50.0,30,25,83.3,0,0,0,0,0,22,27,22,0,23,27,8,19,108,41,10,51,0,0,1,1,MIL,90
CLE,MIL,42087,2017-10-20T23:00:00.000Z,2,3,116,8,14,47,27,57.4,35,11,31.4,82,38,46.3,12,10,83.3,0,1,0,0,0,17,10,17,0,18,10,-19,23,97,24,11,35,0,1,0,0,MIL,90
POR,MIL,42103,2017-10-22T00:30:00.000Z,7,6,110,9,14,62,35,56.4,18,7,38.9,80,42,52.5,30,22,73.3,0,0,0,0,0,23,22,23,0,24,22,3,22,113,28,13,41,0,0,1,1,MIL,90
CHA,MIL,42112,2017-10-24T00:00:00.000Z,4,5,94,8,13,59,31,52.5,26,9,34.6,85,40,47.1,16,14,87.5,0,0,0,0,0,27,21,27,0,27,21,9,24,103,39,8,47,0,0,1,1,MIL,90
BOS,MIL,42136,2017-10-27T00:00:00.000Z,3,4,96,6,17,52,24,46.2,25,11,44.0,77,35,45.4,14,8,57.1,0,0,0,0,0,20,14,20,0,21,14,-7,22,89,35,8,44,0,1,0,0,MIL,90
MIL,ATL,42154,2017-10-29T19:30:00.000Z,3,2,106,9,14,55,31,56.4,26,13,50.0,81,44,54.3,21,16,76.2,0,0,0,0,0,27,21,27,0,27,21,11,30,117,40,7,47,0,0,1,1,MIL,90
OKL,MIL,42172,2017-11-01T00:00:00.000Z,4,3,110,8,14,46,23,50.0,30,9,30.0,76,32,42.1,22,18,81.8,0,0,0,0,0,22,20,22,0,23,20,-19,24,91,28,9,37,0,1,0,0,MIL,90
MIL,CHA,42176,2017-11-01T23:00:00.000Z,3,3,126,3,14,55,26,47.3,36,19,52.8,91,45,49.4,15,12,80.0,0,0,0,0,0,25,18,25,0,26,18,-5,29,121,33,15,48,0,1,0,0,MIL,90
MIL,DET,42188,2017-11-03T23:00:00.000Z,6,4,105,6,13,58,29,50.0,25,10,40.0,83,39,47.0,9,8,88.9,0,0,0,0,0,24,11,24,0,27,11,-9,27,96,31,11,42,0,1,0,0,MIL,90
MIL,CLE,42219,2017-11-08T00:00:00.000Z,8,4,124,6,17,53,34,64.2,30,13,43.3,83,47,56.6,16,12,75.0,0,0,0,0,0,31,16,31,0,32,16,-5,29,119,29,11,40,0,1,0,0,MIL,90
