game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
MIN,SAS,42080,2017-10-19T01:30:00.000Z,4,11,107,7,13,66,29,43.9,19,8,42.1,85,37,43.5,23,17,73.9,0,0,0,0,0,16,18,16,0,16,18,-8,23,99,32,16,48,0,1,0,0,MIN,100
UTA,MIN,42092,2017-10-21T00:00:00.000Z,2,8,97,11,15,59,29,49.2,22,7,31.8,81,36,44.4,26,21,80.8,0,0,0,0,0,17,21,17,0,19,21,3,17,100,34,16,51,0,0,1,1,MIN,100
MIN,OKL,42108,2017-10-22T23:00:00.000Z,1,6,113,5,17,61,33,54.1,25,10,40.0,86,43,50.0,23,19,82.6,0,0,0,0,0,17,22,17,0,17,22,2,25,115,39,19,58,0,0,1,1,MIN,100
IND,MIN,42121,2017-10-25T00:00:00.000Z,4,2,130,9,14,62,33,53.2,24,9,37.5,86,42,48.8,22,14,63.6,0,0,0,0,0,14,21,14,0,14,21,-23,27,107,20,14,35,0,1,0,0,MIN,100
MIN,DET,42125,2017-10-25T23:00:00.000Z,4,3,122,5,14,60,28,46.7,25,9,36.0,85,37,43.5,21,18,85.7,0,0,0,0,0,19,22,19,0,19,22,-21,19,101,31,14,46,0,1,0,0,MIN,100
OKL,MIN,42143,2017-10-28T00:00:00.000Z,7,9,116,5,15,64,34,53.1,22,8,36.4,86,42,48.8,35,27,77.1,0,0,0,0,0,21,29,21,0,21,29,3,23,119,30,25,55,0,0,1,1,MIN,100
MIN,MIA,43369,2017-10-30T23:00:00.000Z,4,5,122,16,16,68,30,44.1,23,11,47.8,91,41,45.0,35,32,91.4,0,1,0,0,0,25,28,25,0,25,28,3,20,125,30,13,43,0,0,1,1,MIN,100
MIN,NOP,42181,2017-11-02T00:00:00.000Z,3,4,98,13,21,61,35,57.4,22,6,27.3,83,41,49.4,24,16,66.7,0,0,0,0,0,21,24,21,0,21,24,6,20,104,36,20,56,0,0,1,1,MIN,100
DAL,MIN,42202,2017-11-05T00:00:00.000Z,8,2,99,7,18,55,33,60.0,24,10,41.7,79,43,54.4,20,16,80.0,0,0,0,0,0,20,19,20,0,20,19,13,33,112,40,16,56,0,0,1,1,MIN,100
CHA,MIN,42212,2017-11-06T01:00:00.000Z,4,3,94,4,16,59,28,47.5,24,10,41.7,83,38,45.8,30,26,86.7,0,0,0,0,0,19,24,19,0,19,24,18,20,112,45,17,62,0,0,1,1,MIN,100
MIN,GSW,42232,2017-11-09T03:30:00.000Z,0,9,125,15,13,68,33,48.5,24,5,20.8,92,38,41.3,27,20,74.1,0,0,0,0,0,14,23,14,0,14,23,-24,21,101,35,18,53,0,1,0,0,MIN,100
MIN,PHX,42256,2017-11-12T02:00:00.000Z,4,10,118,12,11,76,35,46.0,20,4,20.0,96,39,40.6,35,28,80.0,0,0,0,0,0,21,25,21,0,22,25,-8,16,110,31,24,55,0,1,0,0,MIN,100
MIN,UTA,42266,2017-11-14T02:00:00.000Z,5,4,98,9,15,51,27,52.9,20,10,50.0,71,37,52.1,29,25,86.2,0,0,0,0,0,13,23,13,0,14,23,11,22,109,38,11,49,0,0,1,1,MIN,100
