game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
NOP,MEM,42077,2017-10-19T00:00:00.000Z,12,8,103,4,18,54,23,42.6,25,7,28.0,79,30,38.0,29,24,82.8,0,0,0,0,0,31,29,31,0,33,29,-12,15,91,38,21,60,0,1,0,0,NOP,110
GSW,NOP,42094,2017-10-21T01:30:00.000Z,2,8,128,8,16,62,29,46.8,36,16,44.4,98,45,45.9,22,14,63.6,0,0,0,0,0,19,23,19,1,20,23,-8,28,120,36,20,57,0,1,0,0,NOP,110
NOP,LAL,42109,2017-10-23T01:30:00.000Z,5,6,112,14,18,51,37,72.6,32,10,31.2,83,47,56.6,21,15,71.4,0,0,0,0,0,20,24,20,0,20,24,7,26,119,39,11,50,0,0,1,1,NOP,110
NOP,POR,42122,2017-10-25T02:00:00.000Z,7,7,103,5,17,46,21,45.6,30,9,30.0,76,30,39.5,32,24,75.0,0,0,0,0,0,26,22,26,0,27,22,-10,17,93,40,7,48,0,1,0,0,NOP,110
NOP,SAC,42138,2017-10-27T02:30:00.000Z,3,5,106,5,15,54,29,53.7,32,13,40.6,86,42,48.8,23,17,73.9,0,0,0,0,0,24,17,24,0,26,17,8,22,114,39,16,55,0,0,1,1,NOP,110
CLE,NOP,42146,2017-10-28T23:00:00.000Z,4,2,101,10,11,60,36,60.0,33,13,39.4,93,49,52.7,16,12,75.0,0,0,0,0,0,20,19,20,0,21,19,22,33,123,39,14,53,0,0,1,1,NOP,110
ORL,NOP,42165,2017-10-31T00:00:00.000Z,5,1,115,9,19,57,32,56.1,28,7,25.0,85,39,45.9,18,14,77.8,0,0,0,0,0,23,18,23,0,23,18,-16,30,99,35,11,47,0,1,0,0,NOP,110
MIN,NOP,42181,2017-11-02T00:00:00.000Z,4,3,104,13,19,53,28,52.8,31,8,25.8,84,36,42.9,21,18,85.7,0,0,0,0,0,24,21,24,0,24,21,-6,27,98,30,15,45,0,1,0,0,NOP,110
NOP,DAL,42194,2017-11-04T00:30:00.000Z,4,7,94,9,12,60,29,48.3,29,7,24.1,89,36,40.4,26,20,76.9,0,1,0,0,0,22,24,22,1,24,24,5,23,99,46,20,67,0,0,1,1,NOP,110
NOP,CHI,43372,2017-11-05T00:00:00.000Z,4,5,90,9,13,56,26,46.4,31,9,29.0,87,35,40.2,22,17,77.3,0,0,0,0,0,9,19,9,0,9,19,6,23,96,49,12,61,0,0,1,1,NOP,110
