game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
NYK,OKL,42084,2017-10-20T00:00:00.000Z,4,7,105,8,25,55,25,45.4,24,7,29.2,79,32,40.5,20,13,65.0,0,0,0,0,0,23,22,23,0,25,22,-21,19,84,34,19,53,0,1,0,0,NYK,83
DET,NYK,42101,2017-10-22T00:00:00.000Z,2,2,111,6,12,51,29,56.9,30,8,26.7,81,37,45.7,31,25,80.6,0,0,0,0,0,21,25,21,0,22,25,-4,20,107,30,21,51,0,1,0,0,NYK,83
NYK,BOS,42120,2017-10-24T23:30:00.000Z,2,7,110,8,14,73,35,48.0,12,1,8.3,85,36,42.4,25,16,64.0,0,0,0,0,0,17,24,17,0,17,24,-21,20,89,32,19,51,0,1,0,0,NYK,83
BRO,NYK,42141,2017-10-27T23:30:00.000Z,6,1,86,7,11,71,35,49.3,27,9,33.3,98,44,44.9,17,10,58.8,0,0,0,0,0,19,20,19,1,20,20,21,19,107,41,27,68,0,0,1,1,NYK,83
NYK,CLE,42159,2017-10-29T23:00:00.000Z,6,5,95,9,14,61,29,47.5,28,13,46.4,89,42,47.2,21,17,81.0,0,0,0,0,0,26,23,26,0,26,23,19,27,114,41,16,57,0,0,1,1,NYK,83
DEN,NYK,42162,2017-10-30T23:30:00.000Z,10,5,110,8,22,50,28,56.0,32,13,40.6,82,41,50.0,23,21,91.3,0,0,0,0,0,27,22,27,0,27,22,6,27,116,40,18,59,0,0,1,1,NYK,83
HOU,NYK,42180,2017-11-02T00:00:00.000Z,1,4,119,8,19,63,31,49.2,27,8,29.6,90,39,43.3,13,11,84.6,0,0,0,0,0,18,20,18,0,18,20,-22,23,97,37,14,51,0,1,0,0,NYK,83
PHX,NYK,42193,2017-11-03T23:30:00.000Z,7,3,107,5,12,61,37,60.7,26,8,30.8,87,45,51.7,25,22,88.0,0,0,0,0,0,24,25,24,0,25,25,13,24,120,41,14,55,0,0,1,1,NYK,83
IND,NYK,42211,2017-11-06T00:30:00.000Z,7,2,101,8,12,65,38,58.5,23,6,26.1,88,44,50.0,19,14,73.7,0,0,0,0,0,21,17,21,0,23,17,7,24,108,37,15,52,0,0,1,1,NYK,83
CHA,NYK,42221,2017-11-08T00:30:00.000Z,5,2,113,5,16,50,33,66.0,25,12,48.0,75,45,60.0,21,16,76.2,0,0,0,0,0,19,22,19,0,20,22,5,29,118,30,10,41,0,0,1,1,NYK,83
