game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
NYK,OKL,42084,2017-10-20T00:00:00.000Z,7,4,84,14,18,52,28,53.8,38,11,29.0,90,39,43.3,22,16,72.7,0,0,0,0,0,22,23,22,0,23,23,21,26,105,34,22,57,0,0,1,1,OKL,96
OKL,UTA,42105,2017-10-22T01:00:00.000Z,4,4,96,14,17,45,21,46.7,33,11,33.3,78,32,41.0,19,12,63.2,0,0,0,0,0,16,21,16,0,20,21,-9,15,87,32,18,50,0,1,0,0,OKL,96
MIN,OKL,42108,2017-10-22T23:00:00.000Z,6,1,115,9,11,65,35,53.8,31,11,35.5,96,46,47.9,16,10,62.5,0,0,0,0,0,22,17,22,0,22,17,-2,26,113,28,16,45,0,1,0,0,OKL,96
IND,OKL,42128,2017-10-26T00:00:00.000Z,8,2,96,8,20,62,33,53.2,27,10,37.0,89,43,48.3,26,18,69.2,0,0,0,0,0,27,23,27,0,27,23,18,26,114,38,22,62,0,0,1,1,OKL,96
OKL,MIN,42143,2017-10-28T00:00:00.000Z,9,7,119,8,14,58,35,60.3,28,8,28.6,86,43,50.0,25,22,88.0,0,0,0,0,0,29,21,29,0,29,21,-3,19,116,27,16,43,0,1,0,0,OKL,96
OKL,CHI,42147,2017-10-29T00:00:00.000Z,8,5,69,16,11,54,26,48.2,34,13,38.2,88,39,44.3,14,10,71.4,0,0,0,0,0,17,16,17,0,18,16,32,28,101,42,16,60,0,0,1,1,OKL,96
OKL,MIL,42172,2017-11-01T00:00:00.000Z,3,4,91,6,15,53,28,52.8,28,12,42.9,81,40,49.4,21,18,85.7,0,0,0,0,0,20,22,20,0,26,22,19,23,110,39,15,55,0,0,1,1,OKL,96
BOS,OKL,42198,2017-11-04T01:30:00.000Z,7,2,101,4,12,52,22,42.3,35,13,37.1,87,35,40.2,14,11,78.6,0,0,0,0,0,18,14,18,0,18,14,-7,20,94,36,15,52,0,1,0,0,OKL,96
OKL,POR,42213,2017-11-06T02:00:00.000Z,2,7,103,11,13,56,29,51.8,33,11,33.3,89,40,44.9,15,8,53.3,0,0,0,0,0,27,20,27,0,29,20,-4,17,99,29,14,43,0,1,0,0,OKL,96
OKL,SAC,42226,2017-11-08T03:00:00.000Z,2,5,94,16,14,49,19,38.8,37,10,27.0,86,29,33.7,23,18,78.3,0,1,0,0,0,17,24,17,0,18,24,-8,15,86,37,18,55,0,1,0,0,OKL,96
OKL,DEN,42237,2017-11-10T03:30:00.000Z,7,7,102,15,16,60,27,45.0,30,11,36.7,90,38,42.2,14,7,50.0,0,0,0,0,0,23,15,23,0,24,15,-8,16,94,28,26,54,0,1,0,0,OKL,96
LAC,OKL,42241,2017-11-11T02:00:00.000Z,7,2,111,8,12,52,29,55.8,26,11,42.3,78,40,51.3,40,29,72.5,0,0,0,0,0,29,30,29,0,32,30,9,23,120,28,17,48,0,0,1,1,OKL,96
DAL,OKL,42260,2017-11-13T00:00:00.000Z,4,4,99,10,15,40,21,52.5,32,15,46.9,72,36,50.0,33,25,75.8,0,0,0,0,0,23,20,23,0,24,20,13,21,112,37,10,47,0,0,1,1,OKL,96
CHI,OKL,42276,2017-11-16T01:00:00.000Z,2,2,79,7,13,42,18,42.9,30,8,26.7,72,26,36.1,37,32,86.5,0,0,0,0,0,19,27,19,0,19,27,13,15,92,39,16,55,0,0,1,1,OKL,96
OKL,SAS,42291,2017-11-18T01:00:00.000Z,3,7,104,7,8,66,30,45.4,23,9,39.1,89,39,43.8,21,14,66.7,0,0,0,0,0,22,18,22,0,23,18,-3,24,101,31,18,50,0,1,0,0,OKL,96
OKL,NOP,42316,2017-11-21T01:00:00.000Z,2,3,114,14,14,54,27,50.0,35,11,31.4,89,38,42.7,26,20,76.9,0,0,0,0,0,25,22,25,0,27,22,-7,22,107,32,14,47,0,1,0,0,OKL,96
GSW,OKL,42330,2017-11-23T01:00:00.000Z,5,8,91,15,16,65,33,50.8,25,8,32.0,90,41,45.6,26,18,69.2,0,0,0,0,0,21,20,21,0,22,20,17,16,108,38,22,60,0,0,1,1,OKL,96
