game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
MIA,ORL,42075,2017-10-18T23:00:00.000Z,10,4,109,8,14,69,35,50.7,21,8,38.1,90,43,47.8,29,22,75.9,0,0,0,0,0,18,20,18,0,18,20,7,22,116,41,18,60,0,0,1,1,ORL,95
ORL,BRO,42091,2017-10-20T23:30:00.000Z,3,6,126,9,23,56,27,48.2,33,18,54.6,89,45,50.6,15,13,86.7,0,0,0,0,0,27,17,27,0,27,17,-5,30,121,33,12,45,0,1,0,0,ORL,95
ORL,CLE,42099,2017-10-22T00:00:00.000Z,6,7,93,7,12,55,23,41.8,35,17,48.6,90,40,44.4,20,17,85.0,0,0,0,0,0,28,14,28,0,28,14,21,28,114,40,18,58,0,0,1,1,ORL,95
BRO,ORL,42118,2017-10-24T23:00:00.000Z,5,4,121,8,11,60,33,55.0,23,8,34.8,83,41,49.4,40,35,87.5,0,0,0,0,0,23,27,23,0,25,27,4,20,125,39,11,50,0,0,1,1,ORL,95
SAS,ORL,42140,2017-10-27T23:00:00.000Z,7,8,87,9,18,61,37,60.7,23,11,47.8,84,48,57.1,14,7,50.0,0,0,0,0,0,24,15,24,0,25,15,27,22,114,40,11,51,0,0,1,1,ORL,95
ORL,CHA,42156,2017-10-29T22:00:00.000Z,5,7,120,10,11,64,30,46.9,33,11,33.3,97,41,42.3,26,20,76.9,0,0,0,0,0,20,24,20,0,20,24,-7,28,113,31,14,45,0,1,0,0,ORL,95
ORL,NOP,42165,2017-10-31T00:00:00.000Z,1,5,99,10,16,51,27,52.9,34,16,47.1,85,43,50.6,18,13,72.2,0,0,0,0,0,18,23,18,0,18,23,16,27,115,39,10,50,0,0,1,1,ORL,95
ORL,MEM,42182,2017-11-02T00:00:00.000Z,8,3,99,6,24,46,25,54.4,29,13,44.8,75,38,50.7,14,12,85.7,0,0,0,0,0,22,16,22,1,23,16,2,25,101,36,9,45,0,0,1,1,ORL,95
CHI,ORL,42191,2017-11-03T23:00:00.000Z,2,2,105,6,16,51,25,49.0,35,10,28.6,86,35,40.7,5,3,60.0,0,0,0,0,0,11,13,11,0,11,13,-22,23,83,32,11,43,0,1,0,0,ORL,95
BOS,ORL,42208,2017-11-05T23:00:00.000Z,4,1,104,4,13,62,27,43.6,29,6,20.7,91,33,36.3,18,16,88.9,0,0,0,0,0,19,21,19,0,19,21,-16,18,88,39,13,52,0,1,0,0,ORL,95
NYK,ORL,42228,2017-11-09T00:00:00.000Z,7,2,99,16,12,52,30,57.7,28,13,46.4,80,43,53.8,22,13,59.1,0,0,0,0,0,15,21,15,0,16,21,13,31,112,24,14,38,0,0,1,1,ORL,95
ORL,PHX,42243,2017-11-11T02:00:00.000Z,5,5,112,8,18,54,30,55.6,28,13,46.4,82,43,52.4,43,29,67.4,0,0,0,0,0,20,29,20,0,21,29,16,29,128,39,18,58,0,0,1,1,ORL,95
