game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
PHI,WAS,42073,2017-10-18T23:00:00.000Z,6,10,120,6,17,59,28,47.5,35,15,42.9,94,43,45.7,19,14,73.7,0,0,0,0,0,28,20,28,0,28,20,-5,25,115,39,18,57,0,1,0,0,PHI,85
BOS,PHI,42090,2017-10-20T23:00:00.000Z,4,5,102,7,16,60,25,41.7,32,10,31.2,92,35,38.0,16,12,75.0,0,0,0,0,0,30,24,30,0,31,24,-10,20,92,36,20,56,0,1,0,0,PHI,85
PHI,TOR,42096,2017-10-21T23:30:00.000Z,4,10,128,5,20,58,24,41.4,24,8,33.3,82,32,39.0,36,22,61.1,0,0,0,0,0,26,29,26,0,26,29,-34,18,94,38,20,58,0,1,0,0,PHI,85
PHI,DET,42110,2017-10-23T23:00:00.000Z,0,2,86,11,21,51,26,51.0,24,9,37.5,75,35,46.7,24,18,75.0,0,0,0,0,0,24,21,24,0,24,21,11,25,97,42,15,57,0,0,1,1,PHI,85
HOU,PHI,42126,2017-10-25T23:00:00.000Z,7,13,105,14,14,61,31,50.8,36,12,33.3,97,43,44.3,10,6,60.0,0,0,0,0,0,19,13,19,0,19,13,-1,29,104,33,24,57,0,1,0,0,PHI,85
PHI,DAL,42150,2017-10-29T00:30:00.000Z,1,2,110,10,13,52,27,51.9,35,16,45.7,87,43,49.4,14,10,71.4,0,0,0,0,0,21,15,21,0,21,15,2,25,112,32,13,48,0,0,1,1,PHI,85
PHI,HOU,42166,2017-10-31T00:00:00.000Z,4,3,107,10,19,56,34,60.7,24,10,41.7,80,44,55.0,24,17,70.8,0,0,0,0,0,31,23,31,0,32,23,8,27,115,42,15,57,0,0,1,1,PHI,85
ATL,PHI,42175,2017-11-01T23:00:00.000Z,4,4,109,10,17,64,33,51.6,35,13,37.1,99,46,46.5,25,14,56.0,0,0,0,0,0,26,28,26,0,26,28,10,36,119,41,25,66,0,0,1,1,PHI,85
IND,PHI,42190,2017-11-03T23:00:00.000Z,9,6,110,7,18,56,28,50.0,36,18,50.0,92,46,50.0,14,11,78.6,0,0,0,0,0,20,18,20,0,20,18,11,34,121,40,15,55,0,0,1,1,PHI,85
PHI,UTA,42225,2017-11-08T02:00:00.000Z,6,6,97,5,22,54,22,40.7,27,12,44.4,81,34,42.0,30,24,80.0,0,0,0,0,0,35,22,35,0,37,22,7,23,104,52,16,68,0,0,1,1,PHI,85
PHI,SAC,42236,2017-11-10T03:00:00.000Z,5,5,109,6,17,50,22,44.0,37,15,40.5,87,37,42.5,27,19,70.4,0,0,0,0,0,28,19,28,0,29,19,-1,23,108,43,19,62,0,1,0,0,PHI,85
PHI,GSW,42253,2017-11-12T01:30:00.000Z,2,11,135,10,19,66,32,48.5,28,12,42.9,94,44,46.8,20,14,70.0,0,0,0,0,0,19,23,19,0,20,23,-21,30,114,28,17,45,0,1,0,0,PHI,85
PHI,LAC,42269,2017-11-14T03:30:00.000Z,2,4,105,9,20,45,31,68.9,32,7,21.9,77,38,49.4,35,26,74.3,0,0,0,0,0,26,26,26,0,28,26,4,27,109,42,20,63,0,0,1,1,PHI,85
PHI,LAL,42283,2017-11-16T03:30:00.000Z,15,6,109,7,16,54,35,64.8,32,7,21.9,86,42,48.8,30,24,80.0,0,0,0,0,0,19,23,19,0,20,23,6,27,115,44,12,56,0,0,1,1,PHI,85
GSW,PHI,42299,2017-11-19T00:30:00.000Z,5,6,124,8,12,68,37,54.4,28,10,35.7,96,47,49.0,16,12,75.0,0,0,0,0,0,22,18,22,0,23,18,-8,28,116,30,14,44,0,1,0,0,PHI,85
UTA,PHI,42312,2017-11-21T00:00:00.000Z,7,4,86,11,19,70,40,57.1,15,4,26.7,85,44,51.8,22,15,68.2,0,0,0,0,0,18,19,18,0,19,19,21,20,107,48,17,65,0,0,1,1,PHI,85
POR,PHI,42322,2017-11-23T00:00:00.000Z,8,6,81,12,18,58,28,48.3,32,11,34.4,90,39,43.3,17,12,70.6,0,0,0,0,0,21,17,21,0,21,17,20,23,101,49,14,64,0,0,1,1,PHI,85
ORL,PHI,42346,2017-11-26T00:00:00.000Z,2,5,111,7,11,61,32,52.5,34,16,47.1,95,48,50.5,20,18,90.0,0,0,0,0,0,22,17,22,0,22,17,19,35,130,43,13,56,0,0,1,1,PHI,85
CLE,PHI,42360,2017-11-28T00:00:00.000Z,1,3,113,6,12,68,33,48.5,28,3,10.7,96,36,37.5,20,16,80.0,0,0,0,0,0,18,21,18,0,18,21,-22,15,91,34,28,62,0,1,0,0,PHI,85
WAS,PHI,42374,2017-11-30T00:00:00.000Z,8,4,113,6,17,63,34,54.0,18,3,16.7,81,37,45.7,64,41,64.1,0,0,0,0,0,27,42,27,0,30,42,5,23,118,44,35,79,0,0,1,1,PHI,85
PHI,BOS,42383,2017-12-01T00:30:00.000Z,1,7,108,11,19,52,19,36.5,32,16,50.0,84,35,41.7,18,11,61.1,0,0,0,0,0,22,20,22,0,24,20,-11,24,97,31,22,53,0,1,0,0,PHI,85
DET,PHI,42399,2017-12-03T00:30:00.000Z,4,2,103,7,17,58,25,43.1,28,10,35.7,86,35,40.7,32,28,87.5,0,0,0,0,0,24,27,24,0,24,27,5,27,108,33,24,57,0,0,1,1,PHI,85
