game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
POR,PHX,42082,2017-10-19T02:00:00.000Z,8,7,124,9,16,62,21,33.9,27,7,25.9,89,28,31.5,18,13,72.2,0,0,0,0,0,22,20,22,0,22,20,-48,10,76,25,20,45,0,1,0,0,PHX,104
LAL,PHX,42095,2017-10-21T02:00:00.000Z,9,3,132,8,20,63,31,49.2,29,14,48.3,92,45,48.9,38,26,68.4,0,0,0,0,0,25,31,25,0,29,31,-2,17,130,43,17,62,0,1,0,0,PHX,104
PHX,LAC,42106,2017-10-22T02:30:00.000Z,3,2,130,8,19,47,21,44.7,24,6,25.0,71,27,38.0,38,28,73.7,0,0,0,0,0,27,32,27,0,28,32,-42,19,88,33,12,45,0,1,0,0,PHX,104
SAC,PHX,42117,2017-10-24T02:00:00.000Z,5,2,115,6,21,47,32,68.1,30,10,33.3,77,42,54.6,27,23,85.2,0,0,0,0,0,25,25,25,0,25,25,2,20,117,41,13,54,0,0,1,1,PHX,104
UTA,PHX,42131,2017-10-26T02:00:00.000Z,5,10,88,8,16,77,36,46.8,19,6,31.6,96,42,43.8,9,7,77.8,0,0,0,0,0,25,19,25,0,26,19,9,18,97,40,19,59,0,0,1,1,PHX,104
PHX,POR,42152,2017-10-29T02:00:00.000Z,7,7,114,12,17,61,28,45.9,26,9,34.6,87,37,42.5,30,24,80.0,0,0,0,0,0,23,26,23,0,23,26,-7,21,107,36,14,50,0,1,0,0,PHX,104
PHX,BRO,42171,2017-10-31T23:30:00.000Z,5,4,114,5,18,74,35,47.3,22,10,45.4,96,45,46.9,24,22,91.7,0,0,0,0,0,26,22,26,0,29,22,8,18,122,56,14,70,0,0,1,1,PHX,104
PHX,WAS,42177,2017-11-01T23:00:00.000Z,5,4,116,5,9,59,32,54.2,24,9,37.5,83,41,49.4,38,31,81.6,0,0,0,0,0,24,28,24,1,25,28,6,23,122,36,16,52,0,0,1,1,PHX,104
PHX,NYK,42193,2017-11-03T23:30:00.000Z,3,7,120,7,10,65,25,38.5,32,9,28.1,97,34,35.0,37,30,81.1,0,0,0,0,0,25,24,25,0,25,24,-13,17,107,31,29,60,0,1,0,0,PHX,104
PHX,SAS,42209,2017-11-06T00:00:00.000Z,4,4,112,5,18,58,29,50.0,23,8,34.8,81,37,45.7,22,13,59.1,0,0,0,0,0,16,19,16,0,16,19,-17,23,95,35,16,53,0,1,0,0,PHX,104
