game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
HOU,SAC,42081,2017-10-19T02:00:00.000Z,4,3,105,5,17,65,34,52.3,23,8,34.8,88,42,47.7,10,8,80.0,0,0,0,0,0,20,14,20,0,20,14,-5,19,100,35,14,49,0,1,0,0,SAC,103
SAC,DAL,42093,2017-10-21T00:30:00.000Z,3,7,88,8,14,64,27,42.2,23,10,43.5,87,37,42.5,13,9,69.2,0,0,0,0,0,18,13,18,0,18,13,5,20,93,40,22,63,0,0,1,1,SAC,103
SAC,DEN,42104,2017-10-22T01:00:00.000Z,3,2,96,6,13,62,23,37.1,23,8,34.8,85,31,36.5,13,9,69.2,0,0,0,0,0,21,19,21,0,22,19,-17,15,79,31,14,47,0,1,0,0,SAC,103
SAC,PHX,42117,2017-10-24T02:00:00.000Z,2,5,117,13,9,77,34,44.2,22,9,40.9,99,43,43.4,29,20,69.0,0,0,0,0,0,25,25,25,0,25,25,-2,19,115,26,24,50,0,1,0,0,SAC,103
NOP,SAC,42138,2017-10-27T02:30:00.000Z,5,3,114,7,12,61,31,50.8,20,7,35.0,81,38,46.9,25,23,92.0,0,0,0,0,0,17,24,17,0,21,24,-8,25,106,34,6,40,0,1,0,0,SAC,103
WAS,SAC,42158,2017-10-29T22:00:00.000Z,2,3,110,8,17,60,26,43.3,22,6,27.3,82,32,39.0,16,13,81.2,0,0,0,0,0,20,18,20,0,20,18,-27,13,83,33,16,50,0,1,0,0,SAC,103
SAC,IND,42170,2017-10-31T23:00:00.000Z,5,7,101,8,14,74,35,47.3,14,2,14.3,88,37,42.0,14,7,50.0,0,0,0,0,0,18,17,18,0,19,17,-18,15,83,37,19,57,0,1,0,0,SAC,103
SAC,BOS,42178,2017-11-01T23:30:00.000Z,5,3,113,10,15,61,29,47.5,20,6,30.0,81,35,43.2,12,10,83.3,0,0,0,0,0,18,19,18,0,18,19,-27,24,86,23,11,34,0,1,0,0,SAC,103
SAC,DET,42201,2017-11-04T23:00:00.000Z,1,3,108,6,17,55,30,54.6,21,10,47.6,76,40,52.6,13,9,69.2,0,0,0,0,0,23,19,23,0,24,19,-9,24,99,30,8,38,0,1,0,0,SAC,103
OKL,SAC,42226,2017-11-08T03:00:00.000Z,5,2,86,6,23,55,28,50.9,24,9,37.5,79,37,46.8,12,11,91.7,0,0,1,0,0,24,17,24,1,25,17,8,21,94,44,6,50,0,0,1,1,SAC,103
PHI,SAC,42236,2017-11-10T03:00:00.000Z,5,5,108,6,9,66,28,42.4,27,12,44.4,93,40,43.0,28,17,60.7,0,0,0,0,0,19,28,19,0,19,28,1,29,109,39,20,60,0,0,1,1,SAC,103
SAC,NYK,42248,2017-11-12T01:00:00.000Z,4,6,118,6,13,58,23,39.7,22,7,31.8,80,30,37.5,30,24,80.0,0,0,0,0,0,18,22,18,0,18,22,-27,19,91,34,18,52,0,1,0,0,SAC,103
SAC,WAS,42261,2017-11-14T00:00:00.000Z,3,1,110,9,10,61,22,36.1,23,12,52.2,84,34,40.5,18,12,66.7,0,0,0,0,0,15,21,15,0,15,21,-18,19,92,28,15,43,0,1,0,0,SAC,103
SAC,ATL,42275,2017-11-16T00:30:00.000Z,2,6,126,12,12,60,25,41.7,28,6,21.4,88,31,35.2,20,12,60.0,0,0,0,0,0,19,23,19,0,19,23,-46,18,80,21,18,39,0,1,0,0,SAC,103
POR,SAC,43376,2017-11-18T03:00:00.000Z,5,1,82,11,13,71,32,45.1,14,4,28.6,85,36,42.4,15,10,66.7,0,0,0,0,0,22,20,22,0,23,20,4,20,86,36,18,54,0,0,1,1,SAC,103
SAC,POR,42303,2017-11-19T03:00:00.000Z,4,8,102,9,11,72,26,36.1,17,8,47.1,89,34,38.2,18,14,77.8,0,0,0,0,0,24,22,24,0,24,22,-12,14,90,29,16,45,0,1,0,0,SAC,103
