game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
MIN,SAS,42080,2017-10-19T01:30:00.000Z,11,4,99,8,11,68,33,48.5,21,8,38.1,89,41,46.1,19,17,89.5,0,0,0,0,0,18,16,18,0,18,16,8,22,107,38,18,56,0,0,1,1,SAS,106
SAS,CHI,42102,2017-10-22T00:00:00.000Z,3,5,77,8,11,81,37,45.7,12,1,8.3,93,38,40.9,16,10,62.5,0,0,0,0,0,14,15,14,0,14,15,10,25,87,42,21,63,0,0,1,1,SAS,106
TOR,SAS,42115,2017-10-24T00:30:00.000Z,12,4,97,4,20,70,35,50.0,20,5,25.0,90,40,44.4,23,16,69.6,0,0,0,0,0,22,30,22,0,23,30,4,19,101,40,25,65,0,0,1,1,SAS,106
SAS,MIA,42129,2017-10-26T00:00:00.000Z,3,2,100,6,15,59,32,54.2,17,10,58.8,76,42,55.3,30,23,76.7,0,0,0,0,0,20,25,20,0,20,25,17,18,117,38,13,51,0,0,1,1,SAS,106
SAS,ORL,42140,2017-10-27T23:00:00.000Z,8,7,114,8,17,65,26,40.0,24,4,16.7,89,30,33.7,27,23,85.2,0,0,0,0,0,15,24,15,0,15,24,-27,19,87,32,22,55,0,1,0,0,SAS,106
SAS,IND,42155,2017-10-29T20:30:00.000Z,8,3,97,12,15,62,27,43.6,28,9,32.1,90,36,40.0,18,13,72.2,0,0,0,0,0,11,20,11,0,11,20,-3,19,94,32,19,51,0,1,0,0,SAS,106
SAS,BOS,42163,2017-10-30T23:30:00.000Z,4,6,108,8,11,61,24,39.3,26,12,46.2,87,36,41.4,20,10,50.0,0,0,0,0,0,14,22,14,0,14,22,-14,24,94,30,18,49,0,1,0,0,SAS,106
GSW,SAS,42186,2017-11-03T00:00:00.000Z,7,11,112,6,16,63,27,42.9,24,7,29.2,87,34,39.1,23,17,73.9,0,0,0,0,0,10,20,10,0,12,20,-20,19,92,34,21,55,0,1,0,0,SAS,106
CHA,SAS,42195,2017-11-04T00:30:00.000Z,6,1,101,7,15,56,30,53.6,27,9,33.3,83,39,47.0,26,21,80.8,0,0,0,0,0,26,20,26,0,26,20,7,31,108,40,11,51,0,0,1,1,SAS,106
PHX,SAS,42209,2017-11-06T00:00:00.000Z,4,4,95,9,9,66,33,50.0,22,11,50.0,88,44,50.0,18,13,72.2,0,0,0,0,0,19,16,19,0,19,16,17,21,112,35,14,49,0,0,1,1,SAS,106
LAC,SAS,42223,2017-11-08T01:30:00.000Z,3,4,107,13,13,56,30,53.6,28,15,53.6,84,45,53.6,19,15,79.0,0,0,0,0,0,21,19,21,0,21,19,13,33,120,27,12,40,0,0,1,1,SAS,106
MIL,SAS,42244,2017-11-11T02:00:00.000Z,6,7,94,8,18,51,25,49.0,29,9,31.0,80,34,42.5,11,10,90.9,0,0,0,0,0,15,13,15,0,15,13,-7,23,87,35,9,44,0,1,0,0,SAS,106
CHI,SAS,42252,2017-11-12T01:30:00.000Z,6,4,94,5,13,58,33,56.9,27,18,66.7,85,51,60.0,16,13,81.2,0,0,0,0,0,16,15,16,0,16,15,39,33,133,42,11,53,0,0,1,1,SAS,106
SAS,DAL,42272,2017-11-15T01:30:00.000Z,7,4,91,9,12,53,29,54.7,26,6,23.1,79,35,44.3,27,21,77.8,0,0,0,0,0,16,23,16,0,17,23,6,18,97,40,14,54,0,0,1,1,SAS,106
SAS,MIN,42280,2017-11-16T01:00:00.000Z,4,4,98,4,16,55,26,47.3,24,7,29.2,79,33,41.8,15,13,86.7,0,0,0,0,0,18,16,18,0,18,16,-12,20,86,34,18,52,0,1,0,0,SAS,106
OKL,SAS,42291,2017-11-18T01:00:00.000Z,7,3,101,6,13,42,20,47.6,35,14,40.0,77,34,44.2,28,22,78.6,0,0,0,0,0,18,22,18,1,18,22,3,23,104,38,18,56,0,0,1,1,SAS,106
ATL,SAS,42318,2017-11-21T01:30:00.000Z,5,7,85,7,18,58,30,51.7,31,10,32.3,89,40,44.9,6,6,100.0,0,0,0,0,0,17,15,17,0,17,15,11,29,96,41,17,58,0,0,1,1,SAS,106
SAS,NOP,42331,2017-11-23T01:00:00.000Z,5,2,107,10,15,64,29,45.3,24,6,25.0,88,35,39.8,15,14,93.3,0,0,0,0,0,23,18,23,0,23,18,-17,22,90,32,12,44,0,1,0,0,SAS,106
SAS,CHA,42347,2017-11-26T00:00:00.000Z,7,3,86,8,11,55,33,60.0,25,6,24.0,80,39,48.8,25,22,88.0,0,0,0,0,0,19,19,19,0,20,19,20,22,106,38,13,51,0,0,1,1,SAS,106
DAL,SAS,42364,2017-11-28T01:30:00.000Z,5,0,108,7,10,58,33,56.9,24,10,41.7,82,43,52.4,21,19,90.5,0,0,0,0,0,16,19,16,0,19,19,7,27,115,40,5,45,0,0,1,1,SAS,106
MEM,SAS,42379,2017-11-30T01:30:00.000Z,5,1,95,9,9,55,30,54.6,20,8,40.0,75,38,50.7,24,20,83.3,0,0,0,0,0,17,19,17,1,18,19,9,22,104,29,14,44,0,0,1,1,SAS,106
SAS,MEM,42390,2017-12-02T01:00:00.000Z,5,7,79,8,13,43,20,46.5,27,11,40.7,70,31,44.3,32,22,68.8,0,0,0,0,0,18,26,18,0,18,26,16,20,95,37,18,55,0,0,1,1,SAS,106
SAS,OKL,42405,2017-12-04T00:00:00.000Z,10,2,90,11,17,48,23,47.9,28,8,28.6,76,31,40.8,23,17,73.9,0,0,0,0,0,24,19,24,0,25,19,-3,14,87,33,17,50,0,1,0,0,SAS,106
DET,SAS,42417,2017-12-05T01:30:00.000Z,7,2,93,2,16,51,21,41.2,31,14,45.2,82,35,42.7,12,12,100.0,0,0,0,0,0,20,22,20,0,20,22,3,30,96,43,11,54,0,0,1,1,SAS,106
MIA,SAS,42430,2017-12-07T01:30:00.000Z,7,4,105,6,11,62,33,53.2,25,13,52.0,87,46,52.9,14,12,85.7,0,0,0,0,0,14,17,14,0,14,17,12,30,117,25,17,42,0,0,1,1,SAS,106
BOS,SAS,42443,2017-12-09T02:30:00.000Z,3,0,102,6,13,54,30,55.6,27,8,29.6,81,38,46.9,24,21,87.5,0,0,0,0,0,13,23,13,0,14,23,3,16,105,34,18,52,0,0,1,1,SAS,106
SAS,PHX,42452,2017-12-10T02:00:00.000Z,6,1,101,5,15,68,34,50.0,19,6,31.6,87,40,46.0,25,18,72.0,0,0,0,0,0,23,21,23,0,23,21,3,18,104,35,24,59,0,0,1,1,SAS,106
SAS,DAL,42471,2017-12-13T01:30:00.000Z,5,2,95,4,10,59,28,47.5,28,7,25.0,87,35,40.2,19,12,63.2,0,0,0,0,0,11,19,11,0,12,19,-6,20,89,41,15,56,0,1,0,0,SAS,106
