game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
CHI,TOR,42083,2017-10-19T23:30:00.000Z,4,2,101,10,17,54,26,48.2,29,13,44.8,83,39,47.0,28,26,92.9,0,0,0,0,0,20,23,20,0,20,23,16,26,117,37,16,53,0,0,1,1,TOR,81
PHI,TOR,42096,2017-10-21T23:30:00.000Z,10,4,94,5,13,45,29,64.4,44,13,29.6,89,42,47.2,37,31,83.8,0,0,0,0,0,29,26,29,0,29,26,34,23,128,44,15,59,0,0,1,1,TOR,81
TOR,SAS,42115,2017-10-24T00:30:00.000Z,4,12,101,11,14,43,24,55.8,37,10,27.0,80,34,42.5,24,19,79.2,0,0,0,0,0,30,22,30,0,31,22,-4,17,97,32,11,43,0,1,0,0,TOR,81
TOR,GSW,42132,2017-10-26T02:30:00.000Z,6,7,117,10,16,60,35,58.3,34,8,23.5,94,43,45.7,19,18,94.7,0,0,0,0,0,16,15,16,0,16,15,-5,30,112,28,19,48,0,1,0,0,TOR,81
TOR,LAL,42144,2017-10-28T02:30:00.000Z,4,6,92,12,12,64,33,51.6,29,7,24.1,93,40,43.0,20,14,70.0,0,0,0,0,0,24,22,24,0,24,22,9,27,101,34,17,51,0,0,1,1,TOR,81
TOR,POR,42168,2017-10-31T02:00:00.000Z,9,7,85,10,9,63,31,49.2,24,8,33.3,87,39,44.8,17,13,76.5,0,0,0,0,0,14,15,14,0,15,15,14,17,99,40,18,58,0,0,1,1,TOR,81
TOR,DEN,42184,2017-11-02T01:00:00.000Z,4,4,129,7,13,54,31,57.4,31,11,35.5,85,42,49.4,25,16,64.0,0,0,0,0,0,25,20,25,0,25,20,-18,20,111,31,15,46,0,1,0,0,TOR,81
TOR,UTA,42196,2017-11-04T01:00:00.000Z,4,5,100,9,16,41,27,65.8,30,11,36.7,71,38,53.5,28,22,78.6,0,0,0,0,0,28,24,28,0,29,24,9,20,109,35,11,46,0,0,1,1,TOR,81
WAS,TOR,42207,2017-11-05T23:00:00.000Z,8,3,107,7,13,56,32,57.1,24,5,20.8,80,37,46.2,27,17,63.0,0,0,0,0,0,24,26,24,0,26,26,-11,17,96,30,14,44,0,1,0,0,TOR,81
CHI,TOR,42222,2017-11-08T00:30:00.000Z,0,2,114,5,15,56,31,55.4,25,13,52.0,81,44,54.3,24,18,75.0,0,0,0,0,0,22,23,22,0,22,23,5,22,119,32,12,44,0,0,1,1,TOR,81
