game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
DEN,UTA,42079,2017-10-19T01:00:00.000Z,5,3,96,9,15,57,32,56.1,24,9,37.5,81,41,50.6,16,15,93.8,0,0,0,0,0,18,18,18,0,18,18,10,28,106,31,9,40,0,0,1,1,UTA,98
UTA,MIN,42092,2017-10-21T00:00:00.000Z,8,2,100,10,19,55,28,50.9,22,9,40.9,77,37,48.0,17,14,82.4,0,0,0,0,0,21,17,21,0,22,17,-3,23,97,33,9,42,0,1,0,0,UTA,98
OKL,UTA,42105,2017-10-22T01:00:00.000Z,4,4,87,11,18,48,29,60.4,29,9,31.0,77,38,49.4,14,11,78.6,0,0,0,0,0,21,16,21,0,21,16,9,22,96,35,10,45,0,0,1,1,UTA,98
UTA,LAC,42123,2017-10-25T02:30:00.000Z,7,4,102,7,18,51,27,52.9,28,7,25.0,79,34,43.0,11,9,81.8,0,0,0,0,0,23,16,23,0,23,16,-18,20,84,36,11,47,0,1,0,0,UTA,98
UTA,PHX,42131,2017-10-26T02:00:00.000Z,10,5,97,8,24,52,26,50.0,25,6,24.0,77,32,41.6,25,18,72.0,0,0,0,0,0,19,25,19,0,19,25,-9,20,88,37,12,49,0,1,0,0,UTA,98
LAL,UTA,42151,2017-10-29T01:00:00.000Z,5,4,81,9,21,48,24,50.0,31,13,41.9,79,37,46.8,13,9,69.2,0,0,0,0,0,20,20,20,0,22,20,15,18,96,35,21,56,0,0,1,1,UTA,98
DAL,UTA,42167,2017-10-31T01:00:00.000Z,8,2,89,16,14,45,22,48.9,35,16,45.7,80,38,47.5,15,12,80.0,0,0,0,0,0,17,16,17,0,17,16,15,25,104,30,10,40,0,0,1,1,UTA,98
POR,UTA,43370,2017-11-02T01:00:00.000Z,8,8,103,9,14,61,21,34.4,29,13,44.8,90,34,37.8,36,31,86.1,0,0,0,0,0,21,25,21,0,23,25,9,16,112,48,15,63,0,0,1,1,UTA,98
TOR,UTA,42196,2017-11-04T01:00:00.000Z,5,4,109,9,13,57,27,47.4,23,8,34.8,80,35,43.8,24,22,91.7,0,0,0,0,0,24,28,24,0,24,28,-9,11,100,28,12,40,0,1,0,0,UTA,98
UTA,HOU,42210,2017-11-06T00:00:00.000Z,3,7,137,7,14,54,25,46.3,34,13,38.2,88,38,43.2,24,21,87.5,0,0,0,0,0,18,24,18,0,19,24,-27,22,110,27,14,41,0,1,0,0,UTA,98
PHI,UTA,42225,2017-11-08T02:00:00.000Z,6,6,104,14,12,60,21,35.0,39,9,23.1,99,30,30.3,35,28,80.0,0,0,0,0,0,22,35,22,0,22,35,-7,15,97,37,23,61,0,1,0,0,UTA,98
MIA,UTA,42242,2017-11-11T02:00:00.000Z,7,6,84,10,17,53,20,37.7,21,5,23.8,74,25,33.8,22,19,86.4,0,0,0,0,0,20,20,20,0,20,20,-10,12,74,37,9,46,0,1,0,0,UTA,98
BRO,UTA,42255,2017-11-12T02:00:00.000Z,3,4,106,12,16,56,30,53.6,29,11,37.9,85,41,48.2,25,21,84.0,0,0,0,0,0,29,22,29,0,29,22,8,19,114,37,14,51,0,0,1,1,UTA,98
MIN,UTA,42266,2017-11-14T02:00:00.000Z,4,5,109,8,15,44,23,52.3,40,14,35.0,84,37,44.0,11,10,90.9,0,0,0,0,0,23,13,23,0,23,13,-11,23,98,27,10,37,0,1,0,0,UTA,98
UTA,NYK,42273,2017-11-16T00:30:00.000Z,10,5,106,5,14,44,17,38.6,35,17,48.6,79,34,43.0,17,16,94.1,0,0,0,0,0,23,19,23,0,23,19,-5,19,101,29,12,41,0,1,0,0,UTA,98
UTA,BRO,42288,2017-11-18T00:30:00.000Z,6,2,118,6,16,53,27,50.9,26,12,46.2,79,39,49.4,24,17,70.8,0,0,0,0,0,19,21,19,0,20,21,-11,21,107,34,14,48,0,1,0,0,UTA,98
UTA,ORL,42298,2017-11-19T00:00:00.000Z,4,5,85,10,10,64,33,51.6,34,14,41.2,98,47,48.0,18,17,94.4,0,0,0,0,0,19,20,19,1,19,20,40,31,125,44,16,60,0,0,1,1,UTA,98
UTA,PHI,42312,2017-11-21T00:00:00.000Z,4,7,107,16,14,57,21,36.8,28,9,32.1,85,30,35.3,19,17,89.5,0,0,0,0,0,19,18,19,0,20,18,-21,18,86,31,9,40,0,1,0,0,UTA,98
CHI,UTA,42334,2017-11-23T02:00:00.000Z,5,1,80,10,7,51,26,51.0,35,14,40.0,86,40,46.5,19,16,84.2,0,0,0,0,0,15,21,15,0,15,21,30,23,110,39,14,53,0,0,1,1,UTA,98
MIL,UTA,42354,2017-11-26T02:00:00.000Z,2,6,108,8,10,49,28,57.1,32,18,56.2,81,46,56.8,19,11,57.9,0,0,0,0,0,19,21,19,0,20,21,13,31,121,25,10,36,0,0,1,1,UTA,98
DEN,UTA,42371,2017-11-29T03:00:00.000Z,6,4,77,7,11,55,28,50.9,32,14,43.8,87,42,48.3,9,8,88.9,0,0,0,0,0,20,13,20,0,20,13,29,24,106,38,13,51,0,0,1,1,UTA,98
UTA,LAC,42386,2017-12-01T03:30:00.000Z,2,6,107,13,13,50,32,64.0,35,17,48.6,85,49,57.6,14,11,78.6,0,0,0,0,0,20,16,20,0,20,16,19,38,126,25,13,38,0,0,1,1,UTA,98
NOP,UTA,42394,2017-12-02T02:00:00.000Z,3,7,108,7,8,55,30,54.6,30,12,40.0,85,42,49.4,25,18,72.0,0,0,0,0,0,15,20,15,0,16,20,6,25,114,39,14,53,0,0,1,1,UTA,98
WAS,UTA,42418,2017-12-05T02:00:00.000Z,3,2,69,9,16,42,27,64.3,34,16,47.1,76,43,56.6,18,14,77.8,0,0,0,0,0,20,21,20,0,21,21,47,29,116,46,15,61,0,0,1,1,UTA,98
UTA,OKL,42420,2017-12-06T01:00:00.000Z,5,6,100,16,16,46,23,50.0,33,11,33.3,79,34,43.0,21,15,71.4,0,0,0,0,0,21,18,21,0,21,18,-6,18,94,27,15,42,0,1,0,0,UTA,98
HOU,UTA,42435,2017-12-08T03:30:00.000Z,5,5,112,10,13,47,23,48.9,30,11,36.7,77,34,44.2,27,22,81.5,0,0,0,0,0,21,25,21,1,21,25,-11,17,101,32,8,40,0,1,0,0,UTA,98
UTA,MIL,42450,2017-12-10T01:30:00.000Z,3,6,117,7,16,53,25,47.2,23,8,34.8,76,33,43.4,37,26,70.3,0,0,0,0,0,23,29,23,0,24,29,-17,20,100,30,19,49,0,1,0,0,UTA,98
UTA,CHI,42478,2017-12-14T01:00:00.000Z,8,3,103,3,16,61,33,54.1,30,9,30.0,91,42,46.2,7,7,100.0,0,0,0,0,0,19,14,19,0,19,14,-3,24,100,45,10,55,0,1,0,0,UTA,98
UTA,BOS,42493,2017-12-16T00:30:00.000Z,3,5,95,6,15,58,27,46.6,25,13,52.0,83,40,48.2,18,14,77.8,0,0,0,0,0,20,18,20,0,20,18,12,19,107,46,13,59,0,0,1,1,UTA,98
UTA,CLE,42499,2017-12-17T00:30:00.000Z,7,1,109,9,12,47,20,42.6,34,17,50.0,81,37,45.7,14,9,64.3,0,0,0,0,0,14,15,14,0,14,15,-9,24,100,28,14,42,0,1,0,0,UTA,98
UTA,HOU,42513,2017-12-19T01:00:00.000Z,1,7,120,12,6,64,34,53.1,27,8,29.6,91,42,46.2,8,7,87.5,0,0,0,0,0,22,13,22,0,22,13,-21,17,99,28,8,36,0,1,0,0,UTA,98
UTA,OKL,42529,2017-12-21T01:00:00.000Z,3,5,107,6,18,42,19,45.2,31,7,22.6,73,26,35.6,27,20,74.1,0,0,0,0,0,15,26,15,0,16,26,-28,13,79,29,19,48,0,1,0,0,UTA,98
SAS,UTA,42539,2017-12-22T03:30:00.000Z,4,3,89,7,12,48,22,45.8,26,12,46.2,74,34,46.0,24,20,83.3,0,0,0,0,0,18,21,18,0,18,21,11,18,100,39,10,49,0,0,1,1,UTA,98
OKL,UTA,42557,2017-12-24T01:00:00.000Z,2,5,103,3,12,46,27,58.7,26,6,23.1,72,33,45.8,20,17,85.0,0,0,0,0,0,13,16,13,0,13,16,-14,16,89,32,11,43,0,1,0,0,UTA,98
UTA,DEN,42573,2017-12-27T02:00:00.000Z,0,1,107,7,7,49,17,34.7,35,10,28.6,84,27,32.1,23,19,82.6,0,0,0,0,0,22,21,22,0,22,21,-24,19,83,33,18,51,0,1,0,0,UTA,98
UTA,GSW,42584,2017-12-28T03:30:00.000Z,2,7,126,10,13,69,31,44.9,23,6,26.1,92,37,40.2,27,21,77.8,0,0,0,0,0,22,18,22,0,23,18,-25,21,101,33,14,47,0,1,0,0,UTA,98
CLE,UTA,42603,2017-12-31T01:00:00.000Z,4,5,101,12,11,51,28,54.9,31,10,32.3,82,38,46.3,21,18,85.7,0,0,0,0,0,24,19,24,0,25,19,3,24,104,40,8,48,0,0,1,1,UTA,98
NOP,UTA,42633,2018-01-04T02:00:00.000Z,1,2,108,12,14,52,31,59.6,32,7,21.9,84,38,45.2,17,15,88.2,0,0,0,0,0,21,18,21,0,21,18,-10,23,98,32,11,43,0,1,0,0,UTA,98
UTA,DEN,42643,2018-01-06T02:00:00.000Z,5,1,99,7,17,51,26,51.0,33,12,36.4,84,38,45.2,6,3,50.0,0,0,0,0,0,16,11,16,0,17,11,-8,26,91,46,11,57,0,1,0,0,UTA,98
UTA,MIA,42655,2018-01-07T20:30:00.000Z,5,6,103,6,11,50,27,54.0,32,10,31.2,82,37,45.1,20,18,90.0,0,0,0,0,0,18,16,18,0,18,16,-1,15,102,37,13,50,0,1,0,0,UTA,98
UTA,WAS,42674,2018-01-11T00:00:00.000Z,3,1,104,15,12,59,32,54.2,33,11,33.3,92,43,46.7,13,10,76.9,0,0,0,0,0,17,17,17,0,19,17,3,23,107,28,15,43,0,0,1,1,UTA,98
UTA,CHA,42688,2018-01-13T00:00:00.000Z,8,2,99,5,14,42,16,38.1,35,12,34.3,77,28,36.4,23,20,87.0,0,0,0,0,0,26,19,26,0,27,19,-11,19,88,39,11,50,0,1,0,0,UTA,98
IND,UTA,42716,2018-01-16T02:00:00.000Z,7,2,109,11,13,48,27,56.2,33,9,27.3,81,36,44.4,17,13,76.5,0,0,0,0,0,12,18,12,0,14,18,-15,11,94,29,13,42,0,1,0,0,UTA,98
UTA,SAC,42730,2018-01-18T03:00:00.000Z,4,4,105,15,10,52,34,65.4,29,12,41.4,81,46,56.8,20,16,80.0,0,0,0,0,0,20,21,20,0,20,21,15,26,120,25,9,34,0,0,1,1,UTA,98
NYK,UTA,42742,2018-01-20T03:30:00.000Z,6,6,117,4,17,60,31,51.7,31,11,35.5,91,42,46.2,30,20,66.7,0,0,0,0,0,20,26,20,0,20,26,-2,19,115,39,25,64,0,1,0,0,UTA,98
LAC,UTA,42749,2018-01-21T02:00:00.000Z,3,2,113,9,20,54,34,63.0,28,11,39.3,82,45,54.9,32,24,75.0,0,0,0,0,0,29,24,29,0,29,24,12,21,125,45,17,62,0,0,1,1,UTA,98
UTA,ATL,42757,2018-01-23T00:30:00.000Z,6,5,104,8,16,61,29,47.5,15,4,26.7,76,33,43.4,28,20,71.4,0,0,0,0,0,15,24,15,0,15,24,-14,20,90,32,15,47,0,1,0,0,UTA,98
UTA,DET,42771,2018-01-25T00:00:00.000Z,9,7,95,11,14,65,28,43.1,31,10,32.3,96,38,39.6,16,12,75.0,0,0,0,0,0,15,16,15,0,15,16,3,24,98,43,15,58,0,0,1,1,UTA,98
UTA,TOR,42785,2018-01-27T00:30:00.000Z,5,13,93,7,13,66,26,39.4,21,10,47.6,87,36,41.4,21,15,71.4,0,0,0,0,0,16,18,16,0,18,18,4,20,97,40,21,61,0,0,1,1,UTA,98
GSW,UTA,42820,2018-01-31T02:00:00.000Z,3,7,99,16,11,63,39,61.9,28,14,50.0,91,53,58.2,14,9,64.3,0,0,0,0,0,22,16,22,0,23,16,30,25,129,38,14,52,0,0,1,1,UTA,98
UTA,PHX,42841,2018-02-03T02:00:00.000Z,6,5,97,7,11,61,36,59.0,29,15,51.7,90,51,56.7,17,12,70.6,0,0,0,0,0,21,25,21,0,21,25,32,30,129,43,12,55,0,0,1,1,UTA,98
UTA,SAS,42849,2018-02-04T02:00:00.000Z,5,5,111,6,17,46,27,58.7,23,12,52.2,69,39,56.5,36,30,83.3,0,0,0,0,0,19,27,19,0,19,27,9,26,120,34,10,44,0,0,1,1,UTA,98
UTA,NOP,42862,2018-02-06T01:00:00.000Z,5,6,109,6,13,68,38,55.9,21,14,66.7,89,52,58.4,17,15,88.2,0,0,0,0,0,18,15,18,0,19,15,24,29,133,37,13,50,0,0,1,1,UTA,98
