game.awayTeamAbbreviation,game.homeTeamAbbreviation,game.id,game.startTime,stats.defense.blk,stats.defense.blkAgainst,stats.defense.ptsAgainst,stats.defense.stl,stats.defense.tov,stats.fieldGoals.fg2PtAtt,stats.fieldGoals.fg2PtMade,stats.fieldGoals.fg2PtPct,stats.fieldGoals.fg3PtAtt,stats.fieldGoals.fg3PtMade,stats.fieldGoals.fg3PtPct,stats.fieldGoals.fgAtt,stats.fieldGoals.fgMade,stats.fieldGoals.fgPct,stats.freeThrows.ftAtt,stats.freeThrows.ftMade,stats.freeThrows.ftPct,stats.miscellaneous.ejections,stats.miscellaneous.foulFlag1,stats.miscellaneous.foulFlag1Drawn,stats.miscellaneous.foulFlag2,stats.miscellaneous.foulFlag2Drawn,stats.miscellaneous.foulPers,stats.miscellaneous.foulPersDrawn,stats.miscellaneous.foulTech,stats.miscellaneous.foulTechDrawn,stats.miscellaneous.fouls,stats.miscellaneous.foulsDrawn,stats.miscellaneous.plusMinus,stats.offense.ast,stats.offense.pts,stats.rebounds.defReb,stats.rebounds.offReb,stats.rebounds.reb,stats.standings.gamesBack,stats.standings.losses,stats.standings.winPct,stats.standings.wins,team.abbreviation,team.id
PHI,WAS,42073,2017-10-18T23:00:00.000Z,10,6,115,8,9,75,36,48.0,22,6,27.3,97,42,43.3,38,30,79.0,0,0,0,0,0,20,28,20,0,20,28,5,21,120,38,23,62,0,0,1,1,WAS,94
DET,WAS,42086,2017-10-20T23:00:00.000Z,7,1,111,12,16,58,34,58.6,17,6,35.3,75,40,53.3,35,29,82.9,0,0,0,0,0,18,32,18,0,18,32,4,25,115,35,12,47,0,0,1,1,WAS,94
WAS,DEN,42116,2017-10-24T01:00:00.000Z,3,2,104,13,15,54,28,51.8,30,9,30.0,84,37,44.0,28,26,92.9,0,0,0,0,0,24,22,24,0,24,22,5,24,109,31,12,43,0,0,1,1,WAS,94
WAS,LAL,43365,2017-10-26T02:30:00.000Z,5,5,102,11,13,69,33,47.8,26,6,23.1,95,39,41.0,23,15,65.2,0,0,0,0,0,19,26,19,0,20,26,-3,20,99,40,16,56,0,1,0,0,WAS,94
WAS,GSW,42145,2017-10-28T02:30:00.000Z,6,13,120,7,14,64,28,43.8,33,15,45.4,97,43,44.3,22,16,72.7,0,0,0,0,0,21,20,21,1,22,20,-3,30,117,29,21,52,0,1,0,0,WAS,94
WAS,SAC,42158,2017-10-29T22:00:00.000Z,3,2,83,9,15,51,23,45.1,34,17,50.0,85,40,47.1,20,13,65.0,0,0,0,0,0,18,20,18,0,18,20,27,28,110,36,19,55,0,0,1,1,WAS,94
PHX,WAS,42177,2017-11-01T23:00:00.000Z,4,5,122,5,12,62,31,50.0,30,10,33.3,92,41,44.6,30,24,80.0,0,0,0,0,0,28,24,28,0,29,24,-6,20,116,33,21,54,0,1,0,0,WAS,94
CLE,WAS,42189,2017-11-03T23:00:00.000Z,2,4,130,5,16,56,34,60.7,28,11,39.3,84,45,53.6,31,21,67.7,0,0,0,0,0,24,27,24,0,25,27,-8,25,122,28,20,48,0,1,0,0,WAS,94
WAS,TOR,42207,2017-11-05T23:00:00.000Z,3,8,96,9,17,62,29,46.8,23,11,47.8,85,40,47.1,23,16,69.6,0,0,0,0,0,27,24,27,0,27,24,11,19,107,39,22,61,0,0,1,1,WAS,94
DAL,WAS,42220,2017-11-08T00:00:00.000Z,5,8,113,5,15,50,22,44.0,25,10,40.0,75,32,42.7,32,25,78.1,0,0,0,0,0,19,23,19,0,20,23,-14,21,99,37,8,45,0,1,0,0,WAS,94
